,term,QID,wd_bow,cs_combined
180069,ethnicities,Q112934212,"['influence', 'shifting', 'pacific', 'identity', 'learning', 'experience', 'parent', 'raising', 'child', 'mixed', 'pacific', 'ethnicity', 'thesis', 'thesis', 'rachael', 'violeti', 'leafe', 'massey', 'university']",0.905
180078,ethnicities,Q2560112,"['white', 'separatism', 'political', 'social', 'movement', 'seek', 'separation', 'white', 'people', 'people', 'race', 'ethnicity']",0.898
180080,ethnicities,Q3707278,"['bangsa', 'malaysia', 'malaysian', 'policy', 'advocating', 'ethnicity', 'represented', 'national', 'culture']",0.884
180077,ethnicities,Q2509271,"['jewish', 'ethnic', 'division', 'jewish', 'ethnic', 'group', 'jewish', 'community', 'jewish', 'ethnicity', 'community', 'varying', 'ethnicity', 'adhere', 'judaism']",0.883
180083,ethnicities,Q5404305,"['ethnic', 'relation', 'india', 'behaviour', 'toward', 'people', 'ethnicity', 'race', 'india']",0.8809999999999999
180064,ethnicities,Q110147908,"['political', 'affiliation', 'database', 'political', 'affiliation', 'database', 'plad', 'database', 'information', 'birthplace', 'ethnicity', 'political', 'leader']",0.873
180074,ethnicities,Q16320185,"['celt', 'celtic', 'people', 'modern', 'celtic', 'people', 'modern', 'celt', 'modern', 'group', 'ethnicity', 'share', 'celtic', 'language', 'culture']",0.868
180079,ethnicities,Q311977,"['hindustani', 'ethnic', 'madhyadeshi', 'nation', 'nation', 'consists', 'multiple', 'ethnicity', 'people', 'living', 'indian', 'subcontinent']",0.863
180073,ethnicities,Q16141544,"['ethnic', 'group', 'chinese', 'history', 'ethnicity', 'significance', 'history', 'china']",0.851
180085,ethnicities,Q5450894,"['finno', 'ugrian', 'suicide', 'hypothesis', 'hypothesis', 'link', 'genetic', 'tie', 'originating', 'among', 'finno', 'ugric', 'culture', 'ethnicity', 'high', 'rate', 'suicide']",0.846
180692,ethnicity,Q113465752,"['cultural', 'identity', 'cg', 'identification', 'sense', 'belonging', 'particular', 'group', 'based', 'various', 'cultural', 'category', 'including', 'nationality', 'race', 'gender']",0.945
180589,ethnicity,Q89668650,"['intercultural', 'relationship', 'multicultural', 'relationship', 'transcultural', 'relationship', 'intimate', 'relationship', 'person', 'different', 'nationality', 'culture']",0.935
180532,ethnicity,Q7604529,"['status', 'group', 'group', 'people', 'within', 'society', 'differentiated', 'basis', 'non', 'economic', 'quality', 'honour', 'prestige', 'race', 'religion']",0.925
180123,ethnicity,Q107575245,"['gendering', 'united', 'state', 'democratic', 'assistance', 'understanding', 'implication', 'impact', 'gendered', 'doctoral', 'thesis', 'doctoral', 'thesis', 'lori', 'handrahan']",0.9229999999999999
180590,ethnicity,Q89669411,"['intercultural', 'marriage', 'multicultural', 'marriage', 'trancultural', 'marriage', 'marriage', 'person', 'different', 'nationality', 'class', 'culture']",0.922
180403,ethnicity,Q59581366,"['movement', 'asian', 'swahili', 'identity', 'impact', 'tourism', 'construction', 'community', 'gender', 'relation', 'zanzibar', 'town', 'thesis', 'doctoral', 'thesis', 'akbar', 'abdulali', 'keshodkar']",0.917
180302,ethnicity,Q30103,"['minority', 'group', 'special', 'population', 'minority', 'group', 'demographic', 'minority', 'minority', 'minority', 'group', 'people', 'practice', 'race', 'religion', 'characteristic', 'fewer', 'number', 'main', 'group', 'classification']",0.91
180175,ethnicity,Q112873503,"['canadian', 'ethnic', 'study', 'association', 'cesa', 'cesa', 'scee', 'research', 'centre', 'canadian', 'ethnic', 'study', 'non', 'profit', 'interdisciplinary', 'organization', 'devoted', 'study', 'multiculturalism', 'immigration', 'inter', 'group', 'relation', 'cultural', 'life', 'ethnic', 'group', 'canada']",0.91
180160,ethnicity,Q112078715,"['inferred', 'nationality', 'heuristic', 'reasoning', 'heuristic', 'attributing', 'referencing', 'wikidata', 'statement']",0.909
180568,ethnicity,Q85613573,"['rethinking', 'early', 'medieval', 'social', 'identity', 'technological', 'choice', 'community', 'practice', 'academic', 'chapter', 'chapter', 'published']",0.905
25181,exotic,Q99938170,"['bigg', 'bos', 'hindi', 'season', 'reality', 'show']",
25180,exotics,Q99938170,"['bigg', 'bos', 'hindi', 'season', 'reality', 'show']",
179672,first world,Q876830,"['first', 'world', 'classification', 'system', 'group', 'conceptual', 'country', 'classification']",0.938
179266,first world,Q112890352,"['contribution', 'first', 'world', 'city', 'region', 'global', 'sustainability', 'case', 'transboundary', 'externality', 'planning', 'auckland', 'new', 'zealand', 'doctoral', 'thesis', 'contribution', 'first', 'world', 'city', 'region', 'global', 'case', 'transboundary', 'externality', 'planning', 'auckland', 'new', 'zealand', 'doctoral', 'thesis', 'nathaniel', 'caramat', 'landingin', 'university', 'auckland']",0.912
179696,first world,Q100097293,"['persia', 'creating', 'new', 'context', 'understanding', 'emergence', 'first', 'world', 'empire', 'research', 'grant', 'research', 'project', 'persia', 'babylonia', 'eu', 'funded', 'research', 'project']",0.888
179361,first world,Q211168,"['watt', 'society', 'political', 'model', 'envisaging', 'average', 'first', 'world', 'citizen', 'reducing', 'average', 'energy', 'usage', 'watt']",0.885
179669,first world,Q85816262,"['regionialism', 'regional', 'architectural', 'style', 'inspired', 'local', 'material', 'technique', 'design', 'frequently', 'applied', 'reconstruction', 'first', 'world', 'war']",0.882
179218,first world,Q104915635,"['official', 'british', 'propaganda', 'allied', 'neutral', 'country', 'first', 'world', 'war', 'particular', 'reference', 'organisation', 'method', 'thesis', 'mphil', 'thesis', 'michael', 'lewis', 'sander']",0.877
179763,first world,Q112867983,"['plight', 'kurdish', 'critical', 'analysis', 'kurd', 'turkey', 'iran', 'iran', 'syria', 'around', 'first', 'world', 'thesis', 'thesis', 'handren', 'delan', 'university', 'waikato']",0.871
179638,first world,Q7561245,"['songdo', 'first', 'world', 'architectural', 'structure', 'residential', 'project', 'songdo', 'ibd', 'south', 'korea']",0.8690000000000001
180047,first world,Q99660483,"['innovating', 'telecommunication', 'intellectual', 'property', 'first', 'world', 'war', 'research', 'grant', 'research', 'project', 'ahrc', 'research', 'grant']",0.8690000000000001
179329,first world,Q16930872,"['europeana', 'project', 'digitise', 'publish', 'primary', 'secondary', 'historical', 'source', 'first', 'world', 'war']",0.8640000000000001
175308,footman,Q4382663,"['occupation', 'domestic', 'worker', 'footboy', 'male', 'servant']",0.845
175284,footman,Q107794240,"['u', 'colored', 'infantry', 'misc', 'camble', 'collection', 'file', 'unit', 'national', 'archive', 'record', 'holding']",0.725
175285,footman,Q107865522,"['u', 'colored', 'amos', 'collection', 'file', 'unit', 'national', 'archive', 'record', 'holding', 'naid']",0.7
175319,footman,Q63884271,"['fictional', 'human', 'musical', 'theatre', 'character', 'musical', 'character', 'musical', 'cinder', 'ellen', 'late']",0.6920000000000001
175291,footman,Q110684852,"['running', 'naples', 'leaf', 'collection', 'dress', 'david', 'allan', 'mostly', 'david', 'allan', 'work', 'art', 'work', 'art', 'david', 'allan']",0.682
175294,footman,Q19912727,"['sleeping', 'painting', 'painting', 'charles', 'bargue']",0.682
175330,footman,Q897404,"['berlin', 'berline', 'type', 'covered', 'fast', 'light', 'four', 'wheeled', 'travelling', 'horse', 'carriage', 'two', 'interior', 'seat', 'separate', 'hooded', 'rear', 'seat', 'detached', 'body']",0.664
175309,footman,Q49638341,"['island', 'island', 'island', 'strafford', 'county', 'new', 'hampshire', 'united', 'state', 'america']",0.664
175313,footman,Q5247283,"['death', 'dancing', 'literary', 'work', 'book', 'ngaio', 'marsh']",0.659
175316,footman,Q55033563,"['operatic', 'character', 'fictional', 'human', 'operatic', 'character', 'opera', 'irrelohe', 'franz', 'schreker']",0.649
175336,footmen,Q63883739,"['musical', 'character', 'musical', 'bluebell', 'fairyland', 'walter', 'also', 'reigning', 'king', 'queen']",0.705
175334,footmen,Q60481736,"['charioteer', 'riding', 'rocky', 'landscape', 'entourage', 'footman', 'musician', 'page', 'razm', 'nama', 'book', 'war', 'adapted', 'sanskrit', 'mahabharata', 'translated', 'persian', 'mir', 'ghiyath', 'al', 'din', 'ali', 'qazvini', 'known', 'naqib', 'khan', 'p', 'painting', 'painting', 'yusuf', 'ali', 'indian', 'active', 'early']",0.6970000000000001
175333,footmen,Q52270723,"['pamela', 'flying', 'coach', 'lady', 'davers', 'sends', 'two', 'footman', 'stop', 'samuel', 'virtue', 'rewarded', 'vauxhall', 'supper', 'box', 'picture', 'painting', 'painting', 'francis', 'hayman', 'ra']",0.6409999999999999
175338,footmen,Q65085160,"['direction', 'footman', 'print', 'print', 'national', 'gallery', 'art', 'nga']",0.626
175337,footmen,Q63892545,"['footman', 'guest', 'gibson', 'girl', 'bridesmaid', 'fictional', 'human', 'musical', 'theatre', 'character', 'musical', 'character', 'musical', 'catch', 'season', 'herbert', 'haines']",0.593
175339,footmen,Q80004651,"['combat', 'horseman', 'footman', 'print', 'print', 'hieronymous', 'hopfer', 'german']",0.575
175335,footmen,Q63526989,"['ball', 'guest', 'operatic', 'character', 'opera', 'lady', 'royal', 'footman']",0.515
175332,footmen,Q114761400,"['battle', 'dutch', 'horseman', 'spanish', 'footman', 'painting', 'painting', 'paulus', 'van', 'hillegaert']",0.506
175340,footmen,Q97788384,"['direction', 'footman', 'print', 'print', 'thomas', 'rowlandson', 'met']",0.505
175341,footmen,Q97788386,"['direction', 'footman', 'print', 'print', 'thomas', 'rowlandson', 'met']",0.505
186661,full blood,Q99720797,"['togoland', 'policy', 'country', 'subject', 'folder', 'folder', 'century', 'press', 'archive']",
97782,gay,Q592,"['sexual', 'orientation', 'sexual', 'minority', 'lgbt', 'homosexuality', 'homosexual', 'person', 'homosexual', 'homosexual', 'people', 'people', 'person', 'ghey', 'ゲイ', 'term', 'referring', 'homosexual', 'person', 'trait', 'homosexuality']",0.955
100890,gay,Q850698,"['lavender', 'marriage', 'marriage', 'convenience', 'mixed', 'orientation', 'marriage', 'relation', 'men', 'heterosexual', 'woman', 'marriage', 'feign', 'heterosexuality', 'one', 'spouse']",0.9279999999999999
97495,gay,Q17015701,"['sexual', 'practice', 'homosexual', 'sexual', 'practice', 'sex', 'sex', 'men', 'sexual', 'activity', 'involving', 'men', 'sex', 'men', 'regardless', 'sexual', 'orientation', 'sexual', 'identity']",0.927
100752,gay,Q5207989,"['daddy', 'daddy', 'slang', 'term', 'culture', 'meaning', 'older', 'man', 'sexually', 'involved', 'relationship', 'sexual', 'interest', 'younger', 'man']",0.919
100556,gay,Q110266417,"['abbreviation', 'used', 'describe', 'two', 'spirit', 'people', 'lesbian', 'men', 'bisexual', 'people', 'transgender', 'people', 'queer', 'people', 'gender', 'sexual', 'minority', 'commonly', 'used', 'canada', 'place', 'indigenous', 'people', 'first']",0.917
100902,gay,Q979368,"['straight', 'acting', 'straight', 'acting', 'gender', 'attracted', 'person', 'exhibit', 'appearance', 'mannerism', 'seen', 'typical', 'people']",0.9079999999999999
99639,gay,Q40246,"['gaydar', 'colloquialism', 'referring', 'intuitive', 'ability', 'person', 'ass', 'sexual', 'orientation', 'bisexual', 'heterosexual']",0.9059999999999999
99699,gay,Q5528686,"['men', 'united', 'state', 'history', 'aspect', 'history', 'history', 'men', 'history', 'united', 'state', 'history', 'men', 'united', 'state', 'history', 'american', 'men', 'men', 'american', 'history', 'history', 'examining', 'men', 'male', 'homosexual', 'experience', 'united', 'state']",0.9009999999999999
101774,gay,Q58457673,"['coming', 'parent', 'exploration', 'relational', 'dynamic', 'influence', 'identity', 'men', 'doctoral', 'thesis', 'doctoral', 'thesis']",0.898
103364,gay,Q116295197,"['toric', 'sexual', 'orientation', 'monosexuality', 'androphilia', 'non', 'binary', 'nblm', 'nlm', 'non', 'binary', 'people', 'attracted', 'men']",0.8909999999999999
97088,gayer,Q75889321,"['france', 'dobbs', 'human', 'france', 'peerage', 'person']",0.769
97089,gayer,Q75907417,"['agnes', 'echlin', 'human', 'agnes', 'peerage', 'person']",0.742
97087,gayer,Q75377183,"['marilyn', 'emma', 'margaret', 'will', 'human', 'marilyn', 'will', 'marilyn']",0.667
97091,gayer,Q99057528,"['edmund', 'richard', 'biographical', 'article', 'entry', 'men', 'bar']",0.606
97051,gayer,Q1031241,"['gyula', 'gáyer', 'human', 'gyula', 'gyula', 'julius', 'gáyer', 'gáyer', 'julius', 'gáyer', 'botanist']",0.537
97062,gayer,Q19042266,"['arthur', 'edward', 'biographical', 'article', 'entry', 'dictionary', 'national', 'biography']",0.523
97063,gayer,Q19042276,"['john', 'biographical', 'article', 'entry', 'dictionary', 'national', 'biography']",0.522
97064,gayer,Q19042285,"['john', 'biographical', 'article', 'entry', 'dictionary', 'national', 'biography']",0.522
97068,gayer,Q6235013,"['john', 'wikimedia', 'human', 'name', 'disambiguation', 'page', 'wikimedia', 'disambiguation', 'page']",0.508
97056,gayer,Q110550290,"['william', 'biographical', 'article', 'entry', 'alumnus', 'member', 'university', 'oxford']",0.508
96907,gayest,Q5528629,"['time', 'jonny', 'mcgovern', 'podcast', 'gay', 'jonny', 'mcgovern', 'english', 'lgbtq', 'audio', 'podcast']",0.542
96906,gayest,Q3312937,"['miguel', 'angel', 'garcia', 'human', 'miguel', 'angel', 'garcia', 'cortez', 'miguel', 'ángel', 'garcía', 'mikey', 'garcia', 'american', 'boxer']",0.433
97039,gays,Q701161,"['hirschfeld', 'eddy', 'foundation', 'german', 'foundation', 'human', 'right', 'lesbian', 'gay', 'bisexual', 'transgender', 'people']",0.878
96926,gays,Q115140251,"['living', 'cohabitation', 'republic', 'reported', 'experience', 'lesbian', 'gay', 'heterosexual', 'doctoral', 'thesis', 'doctoral', 'thesis']",0.872
96991,gays,Q5098454,"['child', 'lesbian', 'gay', 'everywhere', 'right', 'organization', 'virtual', 'organization', 'colage', 'organization']",0.851
97009,gays,Q5770369,"['homonormativity', 'cishomonormativity', 'assimilation', 'heteronormative', 'ideal', 'institution', 'gay', 'lesbian']",0.845
96921,gays,Q112776353,"['gay', 'gray', 'münchen', 'gay', 'gray', 'münchen', 'association', 'self', 'help', 'leisure', 'group', 'older', 'gay']",0.8059999999999999
97025,gays,Q65070953,"['gay', 'gun', 'direct', 'action', 'organization', 'gag', 'group', 'lgbtq', 'people', 'committed', 'ending', 'gun', 'violence']",0.805
96911,gays,Q108737944,"['gay', 'lgbt', 'slang', 'gay', 'gay', 'list', 'gay', 'gay', 'gay', 'class', 'gay', 'people', 'considered', 'money', 'power']",0.7959999999999999
97047,gays,Q9035018,"['monument', 'memory', 'gay', 'lesbian', 'retaliated', 'transsexual', 'lgbt', 'historic', 'place', 'monument']",0.7909999999999999
96946,gays,Q23786616,"['memorial', 'gay', 'lesbian', 'persecuted', 'nai', 'regime', 'lgbt', 'historic', 'place', 'memorial', 'cautionary', 'monument', 'monument', 'homosexual', 'persecuted', 'national', 'socialism', 'lgbt', 'memorial', 'germany']",0.7909999999999999
96915,gays,Q109480172,"['old', 'gay', 'group', 'human', 'old', 'gay', 'group', 'social', 'medium', 'personality']",0.789
35693,gypsies,Q875651,"['traveller', 'ethnic', 'group', 'itinerant', 'group', 'europe', 'gypsy', 'pavee', 'mink', 'pickies', 'irish', 'traveller', 'traditionally', 'nomadic', 'people', 'ethnic', 'irish', 'origin']",0.857
35583,gypsies,Q17150753,"['itinerant', 'group', 'europe', 'ethnic', 'group', 'itinerant', 'group', 'europe', 'european', 'itinerant', 'group', 'traveler', 'traveller', 'gypsy', 'traditionally', 'nomadic', 'group', 'europe']",0.836
35676,gypsies,Q7437768,"['scottish', 'gypsy', 'traveller', 'group', 'people', 'scotland', 'loosely', 'termed', 'gypsy', 'traveller']",0.8140000000000001
35563,gypsies,Q110922133,"['sea', 'gypsy', 'ethnic', 'group', 'indigenous', 'people', 'sea', 'nomad', 'sea', 'gypsy', 'sea', 'nomad', 'seafarer', 'mořští', 'nomádi', 'three', 'four', 'ethnolinguistic', 'group', 'southeast', 'asia', 'combined', 'one', 'ethnic', 'category']",0.813
35649,gypsies,Q52153180,"['extensive', 'woody', 'landscape', 'gypsy', 'telling', 'fortune', 'painting', 'painting', 'attributed', 'jacques']",0.789
35608,gypsies,Q23777561,"['social', 'democratic', 'party', 'hungarian', 'gypsy', 'political', 'party', 'short', 'lived', 'hungarian', 'political', 'party']",0.77
35531,gypsies,Q105395324,"['sónia', 'matos', 'gypsy', 'socio', 'cultural', 'mediatorfounder', 'president', 'associationfor', 'development', 'portuguese', 'gypsy']",0.759
35703,gypsies,Q99832322,"['housing', 'assessment', 'accommodation', 'need', 'meaning', 'gypsy', 'traveller', 'england', 'regulation', 'uk', 'statutory', 'instrument', 'uk', 'statutory', 'instrument']",0.755
35685,gypsies,Q7776882,"['zincali', 'literary', 'work', 'account', 'gypsy', 'spain', 'literary', 'work']",0.752
35562,gypsies,Q110684093,"['guitarist', 'study', 'among', 'verso', 'mother', 'child', 'highland', 'john', 'phillip', 'work', 'art', 'work', 'art', 'john', 'phillip']",0.7509999999999999
36311,gypsy,Q12766588,"['spirit', 'project', 'project', 'improve', 'situation', 'romani', 'people', 'slovakia']",0.835
36003,gypsy,Q4451351,"['romani', 'dance', 'type', 'dance', 'dance', 'ethnicity', 'european', 'dance', 'middle', 'eastern', 'dance', 'dance', 'rom', 'dance', 'dance', 'romani', 'people']",0.8290000000000001
35730,gypsy,Q105395491,"['toya', 'prudêncio', 'sónia', 'prudêncio', 'ethnic', 'activist', 'portuguese', 'dedicated', 'fight', 'discrimination', 'defending', 'social', 'recognized', 'dedication', 'defending', 'human']",0.825
36170,gypsy,Q7437768,"['scottish', 'traveller', 'group', 'people', 'scotland', 'loosely', 'termed', 'traveller']",0.8140000000000001
36260,gypsy,Q104867069,"['white', 'irish', 'traveller', 'ethnicity', 'classification', 'used', 'united', 'kingdom', 'census']",0.813
35801,gypsy,Q110922133,"['sea', 'ethnic', 'group', 'indigenous', 'people', 'sea', 'nomad', 'sea', 'sea', 'nomad', 'seafarer', 'mořští', 'nomádi', 'three', 'four', 'ethnolinguistic', 'group', 'southeast', 'asia', 'combined', 'one', 'ethnic', 'category']",0.813
35772,gypsy,Q108531492,"['budapest', 'social', 'cultural', 'methodological', 'institution', 'organization', 'romano', 'kher', 'metropolitan', 'municipality', 'house']",0.81
36040,gypsy,Q51412682,"['moth', 'management', 'united', 'state', 'cooperative', 'approach', 'final', 'environmental', 'impact', 'statement', 'publication', 'radnor', 'pa', 'agriculture', 'forest', 'service', 'northeastern', 'area', 'state', 'privat']",0.804
36441,gypsy,Q51521182,"['predicting', 'rate', 'change', 'timber', 'value', 'forest', 'stand', 'infested', 'moth', 'publication', 'agriculture', 'forest', 'service', 'northeastern', 'forest', 'experiment', 'department', 'agriculture', 'national']",0.802
36041,gypsy,Q51478366,"['forest', 'stand', 'loss', 'moth', 'poconos', 'publication', 'broomall', 'agriculture', 'forest', 'service', 'northeastern', 'forest', 'experiment', 'departmen']",0.7959999999999999
35705,gypsys,Q18640459,"['gypsy', 'gift', 'musical', 'group', 'musical', 'artist']",0.546
35710,gypsys,Q4854258,"['band', 'gypsy', 'written', 'work', 'book', 'gwyneth', 'jones']",0.545
35707,gypsys,Q3038098,"['distress', 'gypsy', 'rhapsodie']",0.537
35713,gypsys,Q8287763,"['gypsy', 'member', 'wikimedia', 'category', 'wikimedia', 'category']",0.52
35704,gypsys,Q13581327,"['band', 'gypsy', 'musical', 'group', 'band', 'founded', 'jimi', 'hendrix']",0.501
35709,gypsys,Q4636510,"['melancholy', 'gypsy', 'musical', 'group', 'american', 'hip', 'hop', 'group']",0.489
35706,gypsys,Q21963911,"['gypsy', 'hill', 'mountain', 'hill', 'mountain', 'australia']",0.48200000000000004
35712,gypsys,Q56292350,"['band', 'gypsy', 'rock', 'group']",0.415
35708,gypsys,Q3233136,"['le', 'gypsy', 'musical', 'group']",0.317
35711,gypsys,Q5625379,"['gypsy', 'tramp', 'thief', 'single', 'single', 'cher']",0.294
155245,half-blood,Q97788366,"['vauxhall', 'grotesque', 'border', 'room', 'hall', 'print', 'print', 'thomas', 'rowlandson', 'met']",
155244,half-bloods,Q97788366,"['vauxhall', 'grotesque', 'border', 'room', 'hall', 'print', 'print', 'thomas', 'rowlandson', 'met']",
155190,half-breed,Q17144151,"['half', 'breed', 'obsolete', 'term', 'mixed', 'native', 'american', 'european', 'ancestry']",0.889
155203,half-breed,Q59935954,"['list', 'allotted', 'unallotted', 'mixed', 'blood', 'nemaha', 'half', 'breed', 'reserve', 'naid', 'collection', 'series', 'national', 'archive', 'record', 'holding']",0.84
155221,half-breed,Q66196096,"['paper', 'relating', 'application', 'morgan', 'weir', 'locate', 'sioux', 'mixed', 'blood', 'land', 'western', 'michigan', 'using', 'sioux', 'half', 'breed', 'scrip', 'naid', 'collection', 'series', 'national', 'archive', 'record', 'holding']",0.835
155201,half-breed,Q59935951,"['abstract', 'claim', 'allotment', 'nemaha', 'half', 'breed', 'reserve', 'naid', 'collection', 'series', 'national', 'archive', 'record', 'holding']",0.8190000000000001
155226,half-breed,Q6990906,"['nemaha', 'half', 'breed', 'reservation', 'indian', 'reservation', 'united', 'state', 'place', 'nebraska', 'united', 'state']",0.816
155200,half-breed,Q59935943,"['schedule', 'mixed', 'blood', 'entitled', 'participate', 'distribution', 'fund', 'nemaha', 'half', 'breed', 'reservation', 'naid', 'collection', 'series', 'national', 'archive', 'record', 'holding']",0.81
155222,half-breed,Q66205641,"['record', 'concerning', 'mckee', 'sioux', 'half', 'breed', 'valentine', 'scrip', 'location', 'naid', 'collection', 'series', 'national', 'archive', 'record', 'holding']",0.8079999999999999
155207,half-breed,Q64400362,"['canceled', 'homestead', 'file', 'chippewa', 'indian', 'lake', 'superior', 'half', 'breed', 'scrip', 'file', 'naid', 'collection', 'series', 'national', 'archive', 'record', 'holding']",0.8059999999999999
155208,half-breed,Q64400587,"['timber', 'culture', 'file', 'chippewa', 'indian', 'half', 'breed', 'scrip', 'file', 'naid', 'collection', 'series', 'national', 'archive', 'record', 'holding']",0.8
155219,half-breed,Q66151028,"['record', 'concerning', 'sioux', 'half', 'breed', 'scrip', 'naid', 'collection', 'series', 'national', 'archive', 'record', 'holding']",0.7979999999999999
155185,half-breeds,Q3024207,"['half', 'breed', 'venus', 'literary', 'work', 'short', 'story', 'isaac', 'asimov']",0.74
172140,handicap,Q16649002,"['person', 'visual', 'disability', 'person', 'disability', 'person', 'visual', 'impairment', 'people', 'visual', 'impairment', 'people', 'visual', 'disability', 'visually', 'impaired', 'person', 'visually', 'impaired', 'people', 'visually', 'impaired', 'person', 'person', 'visual', 'disability', 'person', 'visual', 'impairment', 'person', 'visual', 'disability', 'person', 'visual', 'disability', 'people', 'visual', 'disability', 'visually', 'disabled', 'person', 'visually', 'disabled', 'visually', 'disabled', 'person', 'visually', 'disabled', 'people', 'partially', 'seeing', 'person', 'partially', 'seeing', 'person', 'partially', 'seeing', 'people', 'partially', 'sighted', 'person', 'partially', 'sighted', 'person', 'partially', 'sighted', 'people', 'visually', 'handicapped', 'visually', 'handicapped', 'person', 'visually', 'handicapped', 'person', 'visually', 'handicapped', 'people', 'person', 'visual', 'person', 'visual', 'person', 'visual', 'person', 'visual', 'people', 'visual', 'people', 'visual', 'person', 'loss', 'vision', 'impact', 'activity', 'daily', 'living']",0.929
172126,handicap,Q12131,"['disability', 'property', 'physical', 'impairment', 'activity', 'limitation', 'participation', 'restriction']",0.922
172267,handicap,Q5508820,"['functional', 'diversity', 'term', 'special', 'need', 'disability', 'impairment']",0.8759999999999999
172107,handicap,Q113095566,"['danish', 'association', 'physically', 'disabled', 'danish', 'organisation']",0.8690000000000001
172317,handicap,Q64847362,"['disability', 'evaluation', 'determination', 'degree', 'physical', 'mental', 'emotional']",0.868
172463,handicap,Q112889444,"['hearing', 'loss', 'disability', 'elderly', 'experience', 'hearing', 'loss', 'thesis', 'thesis', 'sally', 'crook', 'university', 'auckland']",0.865
172314,handicap,Q63817401,"['relationship', 'hearing', 'threshold', 'time', 'treatment', 'seeking', 'clinical', 'trial', 'clinical', 'trial']",0.8420000000000001
172645,handicap,Q87930723,"['italian', 'translation', 'transcultural', 'validation', 'two', 'tool', 'assessing', 'participation', 'stroke', 'frenchay', 'activity', 'index', 'walking', 'classification', 'faiwhc', 'clinical', 'trial', 'clinical', 'trial']",0.841
172408,handicap,Q76652377,"['report', 'profound', 'special', 'need', 'sub', 'group', 'wale', 'advisory', 'panel', 'development', 'service', 'mentally', 'handicapped', 'people', 'version', 'edition', 'translation', 'published']",0.821
172292,handicap,Q57622943,"['clause', 'abortion', 'act', 'healthcare', 'interpretation', 'ground', 'termination', 'pregnancy', 'doctoral', 'thesis', 'doctoral', 'thesis']",0.8170000000000001
172055,handicaps,Q16649002,"['person', 'visual', 'disability', 'person', 'disability', 'person', 'visual', 'impairment', 'people', 'visual', 'impairment', 'people', 'visual', 'disability', 'visually', 'impaired', 'person', 'visually', 'impaired', 'people', 'visually', 'impaired', 'person', 'person', 'visual', 'disability', 'person', 'visual', 'impairment', 'person', 'visual', 'disability', 'person', 'visual', 'disability', 'people', 'visual', 'disability', 'visually', 'disabled', 'person', 'visually', 'disabled', 'visually', 'disabled', 'person', 'visually', 'disabled', 'people', 'partially', 'seeing', 'person', 'partially', 'seeing', 'person', 'partially', 'seeing', 'people', 'partially', 'sighted', 'person', 'partially', 'sighted', 'person', 'partially', 'sighted', 'people', 'visually', 'handicapped', 'visually', 'handicapped', 'person', 'visually', 'handicapped', 'person', 'visually', 'handicapped', 'people', 'person', 'visual', 'handicap', 'person', 'visual', 'handicap', 'person', 'visual', 'handicap', 'person', 'visual', 'handicap', 'people', 'visual', 'handicap', 'people', 'visual', 'handicap', 'person', 'loss', 'vision', 'impact', 'activity', 'daily', 'living']",0.929
172068,handicaps,Q61965765,"['reduction', 'prevention', 'seizure', 'occurrence', 'exposure', 'auditory', 'stimulation', 'individual', 'neurological', 'handicap', 'clinical', 'trial', 'clinical', 'trial']",0.8640000000000001
172072,handicaps,Q7669399,"['tash', 'nonprofit', 'organization', 'american', 'association', 'education', 'severely', 'profoundly', 'handicapped', 'aaesph', 'association', 'severely', 'handicapped', 'association', 'person', 'severe', 'handicap', 'american', 'disability', 'advocacy', 'association']",0.8590000000000001
172049,handicaps,Q108563084,"['bonner', 'testing', 'commitment', 'aid', 'individual', 'handicap', 'article']",0.8290000000000001
172081,handicaps,Q77213109,"['social', 'activity', 'centre', 'people', 'mental', 'handicap', 'dyfed', 'report', 'inspection', 'july', 'written', 'work', 'book', 'work']",0.8270000000000001
172080,handicaps,Q77212716,"['service', 'adult', 'training', 'centre', 'people', 'mental', 'handicap', 'powys', 'report', 'inspection', 'november', 'written', 'work', 'book', 'work']",0.813
172050,handicaps,Q112882417,"['engagement', 'music', 'therapy', 'detailed', 'study', 'communication', 'therapist', 'client', 'presenting', 'severe', 'multiple', 'handicap', 'thesis', 'engagement', 'music', 'detailed', 'study', 'communication', 'therapist', 'client', 'presenting', 'severe', 'multiple', 'handicap', 'thesis', 'miona', 'stamenovic', 'new', 'zealand', 'school', 'music']",0.805
172079,handicaps,Q77212710,"['service', 'younger', 'people', 'physical', 'handicap', 'west', 'glamorgan', 'report', 'inspection', 'june', 'written', 'work', 'book', 'work']",0.804
172077,handicaps,Q77187860,"['wale', 'advisory', 'panel', 'development', 'service', 'people', 'mental', 'handicap', 'report', 'progress', 'written', 'work', 'book', 'work']",0.802
172067,handicaps,Q51780079,"['epidemiology', 'public', 'health', 'analysis', 'risk', 'chronic', 'disease', 'handicap', 'laboratory']",0.7909999999999999
2074,headhunter,Q116214238,"['forest', 'act']",
2073,headhunters,Q116214238,"['forest', 'act']",
