,term,entity_id,text_1,text_2,text_3,text_4,text_5,check
290,ethnic group,Q107565306,music by language,,"music whose main distinguishing criterion is language (for cultural or regional criteria, use ""music by country and region"" or ""music by ethnic group"")",['Wikidata metaclass'],['music'],
291,ethnic groups,Q41710,ethnic group,"['people group', 'ethnic groups', 'ethnicity']",['socially defined category of people who identify with each other'],"['classification system', 'personal data']",['population group'],
292,ethnic groups,Q110441926,white nationalist,,"person who supports the perceived political interests of the white population within a particular country, especially to the exclusion or detriment of other racial and ethnic groups",['occupation'],['nationalist'],
293,ethnic groups,Q2531956,ethnic group,['ethnic groups'],"['ethnic group, minority within a state, especially a single ethnic group within a polyethnic state']",[],['social group'],
294,ethnic groups,Q97455294,Australian Standard Classification of Cultural and Ethnic Groups identifier,"['ASCCEG ID', 'ASCCEG 2019 ID']",['identifier for classification of cultural and ethnic groups'],['identifier'],[],
295,ethnic groups,Q8085998,"Category:""Related ethnic groups"" needing confirmation",,['Wikimedia category'],['Wikimedia administration category'],[],
296,ethnic groups,Q2509271,Jewish ethnic divisions,"['Jewish ethnic groups', 'Jewish communities', 'Jewish ethnicity']",['communities of varying ethnicities that adhere to Judaism'],['group of humans'],"['Jewish people', 'ethnic group']",True
297,ethnic groups,Q105999586,Wikidata property related to ethnic groups or indigenous people,,['type of Wikidata property'],['type of Wikidata property'],['Wikidata property'],
298,ethnic groups,Q56613395,Understanding the self-management of type 2 diabetes in black and minority ethnic groups using a health literacy framework,,['doctoral thesis'],['doctoral thesis'],[],
299,ethnic groups,Q2002622,ethnic groups in the Philippines,,['Demography of the Philippines'],"['aspect in a geographic region', 'human migration']",[],True
300,ethnic groups,Q6822251,Meta-ethnicity,,large group of related ethnic groups who identify with each other,['ethnicity'],['ethnic studies'],True
301,ethnicities,Q112934212,The influence of shifting Pacific identities in learning : the experience of parents raising children of mixed Pacific ethnicities,,"[""2017 master's thesis by Rachael Violeti Leafe at Massey University""]","[""master's thesis""]",[],True
302,ethnicities,Q2560112,White separatism,,a political and social movement that seeks the separation of white people from people of other races and ethnicities,"['political movement', 'social movement']",['white supremacy'],
303,ethnicities,Q2509271,Jewish ethnic divisions,"['Jewish ethnic groups', 'Jewish communities', 'Jewish ethnicity']",communities of varying ethnicities that adhere to Judaism,['group of humans'],"['Jewish people', 'ethnic group']",
304,ethnicities,Q110147908,The Political Leaders’ Affiliation Database,"['Political Leaders’ Affiliation Database', 'PLAD']",database with information on birthplaces and ethnicities of political leaders,['database'],[],True
305,ethnicities,Q3707278,Bangsa Malaysia,,Malaysian policy advocating for all ethnicities to be represented in the national culture,[],[],True
306,ethnicities,Q5404305,Ethnic relations in India,,behaviours toward people of other ethnicities or races in India,[],[],
307,ethnicities,Q16320185,Celts,"['Celtic people', 'modern Celtic people', 'modern Celts']",modern group of ethnicities who share Celtic languages and cultures,[],['Indo-European people'],True
308,ethnicities,Q704501,Sergey Uvarov,"['Count Sergey Semionovich Uvarov', 'Sergey Semionovich Uvarov']","Russian noble who was a classical scholar and formulated the famous doctrine ""Orthodoxy, Autocracy, and Nationality"" to united many ethnicities (1786-1855)",['human'],[],True
309,ethnicities,Q311977,Hindustani ethnics,['Madhyadeshi nation'],a nation consists of multiple ethnicities of people living in the Indian subcontinent,"['panethnicity', 'nation']",[],
310,ethnicities,Q16141544,Ethnic groups in Chinese history,,ethnicities of significance to the history of China,[],[],
311,ethnicity,Q113465752,Cultural identity,['CG'],"identification with, or sense of belonging to, a particular group based on various cultural categories, including nationality, ethnicity, race, gender, and religion.",['Core competencies'],[],True
312,ethnicity,Q89668650,intercultural relationship,"['multicultural relationship', 'transcultural relationship']","intimate relationship between persons of different nationality, ethnicity or culture",[],['intimate relationship'],True
313,ethnicity,Q89669411,intercultural marriage,"['multicultural marriage', 'trancultural marriage']","marriage between persons of different nationality, ethnicity, class or culture",[],"['intercultural relationship', 'marriage']",
314,ethnicity,Q7604529,status group,,"group of people within a society differentiated on the basis of non-economic qualities such as honour, prestige, ethnicity, race and religion",['classification'],['group of humans'],True
315,ethnicity,Q107575245,Gendering United States democratic assistance in Kyrgyzstan: Understanding the implications and impact of gendered ethnicity,,['doctoral thesis by Lori M Handrahan'],['doctoral thesis'],[],
316,ethnicity,Q59581366,"Movement of Asian and Swahili identities : impact of tourism on constructions of community, ethnicity, and gender relations in Zanzibar town",,['doctoral thesis by Akbar Abdulali Keshodkar'],['thesis'],[],True
317,ethnicity,Q112078715,inferred from nationality or ethnicity,,['heuristics for attributing and referencing Wikidata statements'],"['heuristic', 'reasoning']",[],
318,ethnicity,Q112873503,Canadian Ethnic Studies Association,"['CESA', 'CESA-SCEE', 'Research Centre for Canadian Ethnic Studies']","non-profit interdisciplinary organization devoted to the study of ethnicity, multiculturalism, immigration, inter-group relations and the cultural life of ethnic groups in Canada","['publisher', 'voluntary association', 'nonprofit organization']",[],
319,ethnicity,Q80100972,fairness,,"trait of an algorithm, whose its results are independent of given variables, e.g. gender, ethnicity, sexual orientation, disability",[],[],
320,ethnicity,Q6266,nation,,"community of people who share a common language, culture, ethnicity, descent, or history","['construct', 'political concept']",['group of humans'],
321,exotic,Q1401536,menagerie,,form of keeping common and exotic animals in captivity that preceded the modern zoological garden,[],['zoo'],
322,exotic,Q3723095,Antiprotonic helium,,exotic matter with an antiproton in place of an electron,[],[],
323,exotic,Q112903729,exotic resonance,['exotic resonances'],['concept in particle physics'],[],['resonance'],
324,exotic,Q1068126,exotic atom,,['neutral composite particle with some components not found in normal atoms'],[],['atom'],
325,exotic,Q61989753,"Centerpiece presented to Prince and Princess Albert of Belgium, October 2, 1900",,Continental silver hollow ware centerpiece in organic form with openwork repoussé design of large exotic orchid blossoms and stylized foliage.,['sculpture'],[],
326,exotic,Q16872679,Exotic affine space,,['Real affine space of even dimension that is not isomorphic to a complex affine space'],[],['complex algebraic variety'],
327,exotic,Q103920449,"She belonged in this garden, in the checker of light and shadow and exotic color, slender like a young bamboo and rounded as a purple passion fruit.",,['painting by N. C. Wyeth'],['painting'],[],
328,exotic,Q112856680,Effects of litter and woody debris quality on decomposition and nutrient release in exotic forests in New Zealand,,['2001 doctoral thesis by G. K. Girisha at Lincoln University'],['doctoral thesis'],[],
329,exotic,Q15218857,exotic star,,['hypothetical compact star composed of exotic matter'],[],"['compact star', 'hypothetical entity']",
330,exotic,Q1920232,Menagerie van Aken,"['Menagerie van Aaken', 'Menagerie van Acken']","collection of captive animals, frequently exotic, kept for display; or the place where such a collection is kept, a precursor to the modern zoological garden","['business', 'travelling menagerie']",[],
331,exotics,Q58022418,Exotics,,['painting by Paul Klee'],['painting'],[],
332,exotics,Q11289736,EXOTICS,,,['musical group'],[],
333,exotics,Q66634324,Exotics,,['instrumental recording by Kevin MacLeod'],['music track without vocals'],[],
334,exotics,Q55180341,Exotics,,['song by Kevin MacLeod'],['musical work/composition'],[],
335,exotics,Q7342734,Robert Cantley,,plant conservationist and managing director of Borneo Exotics,['human'],[],
336,first world,Q876830,First World,,['conceptual country classification'],"['classification system', 'group']",[],True
337,first world,Q112890352,"The contribution of first world city-regions to global sustainability : the case of transboundary externalities and planning in Auckland, New Zealand","['The contribution of First World city-regions to global sustainability: The case of transboundary externalities and planning in Auckland, New Zealand']",['2012 doctoral thesis by Nathaniel Caramat Landingin at University of Auckland'],['doctoral thesis'],[],True
338,first world,Q100097293,Persia and Babylonia: Creating a New Context for Understanding the Emergence of the First World Empire,['Persia and Babylonia'],['EU Funded (H2020) Research Project'],"['research grant', 'research project']",[],True
339,first world,Q211168,2000-watt society,,political model envisaging the average First World citizen reducing their average energy usage to no more than 2000 watts by 2050,[],[],
340,first world,Q85816262,Regionialism,,"regional architectural style, inspired by local materials, techniques and design, frequently applied during reconstructions after the First World War",['architectural style'],[],False
341,first world,Q5362123,First World problem,['First World problems'],['frustration experienced by a privileged person in a First World country'],"['Internet meme', 'notion']",['problem'],True
342,first world,Q104915635,"Official British propaganda in Allied and neutral countries during the First World War, with particular reference to organisation and methods",,['MPhil thesis by Michael Lewis Sanders'],"[""master's thesis""]",[],False
343,first world,Q112158693,Memoirs of First World War Nurses: Making Meaning of Traumatic Experiences: Connections (Critical Component),,['2013 doctoral thesis by Maxine G Alterio at Victoria University of Wellington'],['doctoral thesis'],[],
344,first world,Q99660483,Innovating in Combat: telecommunications and intellectual property in the First World War,,['AHRC Research Grant (2013)'],"['research grant', 'research project']",[],
345,first world,Q60463389,Central Committee on Women's Employment,,UK organization set up during the First World War to provide employment for women,['organization'],[],
346,footman,Q4382663,footman,['footboy'],['male servant'],['occupation'],['domestic worker'],
347,footman,Q107865522,"77th US Colored Infantry: Footman, Amos",,"[""file unit in the National Archives and Records Administration's holdings (NAID 170772979)""]",['collection'],[],False
348,footman,Q19912727,A Footman Sleeping,,['painting by Charles Bargue'],['painting'],[],False
349,footman,Q49638341,Footman Islands,,"['island in Strafford County, New Hampshire, United States of America']",['island'],[],False
350,footman,Q897404,berlin,['berline'],"type of covered, fast and light, four-wheeled, travelling horse carriage with two interior seats and a separate hooded rear seat for a footman, detached from the body","['horse-drawn vehicle', 'wheeled vehicle']","['coach', 'vis-à-vis']",True
351,footman,Q107794240,"33rd US Colored Infantry, Misc Cards: Camble, Footman",,"[""file unit in the National Archives and Records Administration's holdings""]",['collection'],[],False
352,footman,Q110684852,"Running Footman of Naples, leaf from 'A Collection of Dresses by David Allan Mostly from Nature' - David Allan",,['work of art by David Allan'],['work of art'],[],
353,footman,Q63884271,Footman,,['musical character in the musical Cinder Ellen up too Late'],"['fictional human', 'musical theatre character']",[],True
354,footman,Q63486481,The Footman,,['operatic character in the opera Vanessa by Samuel Barber'],"['operatic character', 'fictional human']",[],True
355,footman,Q63891493,Footman,,['musical character in the musical Marriage a la Carte by Ivan Caryll'],"['fictional human', 'musical theatre character']",[],
356,footmen,Q52270723,"The Elopement: Pamela flying to the Coach, while Lady Davers sends Two of her Footmen to stop her (from Samuel Richardson's Pamela; or Virtue Rewarded, 1740-1) (a Vauxhall Supper Box Picture)",,"['painting by Francis Hayman, RA']",['painting'],[],True
357,footmen,Q63883739,Will and Won't,,musical character in the musical Bluebell in Fairyland by Walter Slaughter; mr. Joplin's footmen; also the Reigning King and Queen,"['fictional human', 'musical theatre character']",[],True
358,footmen,Q60481736,"A charioteer riding through a rocky landscape with an entourage of footmen and musicians, page from a Razm-nama (Book of Wars) adapted from the Sanskrit Mahabharata and translated into Persian by Mir Ghiyath al-Din Ali Qazvini, known as Naqib Khan (P",,"['painting by Yusuf Ali (Indian, active early 1600s) (2013.322)']",['painting'],[],True
359,footmen,Q63526989,Ball guests,,"operatic character in the opera Cendrillon; ladies, royal footmen",['group of fictional characters'],['operatic character'],True
360,footmen,Q63892545,"Footmen, Guests, Gibson Girls, Bridesmaids",,['musical character in the musical The Catch of the Season by Herbert Haines'],"['fictional human', 'musical theatre character']",[],True
361,footmen,Q80004651,Combat between horsemen and footmen,,['print by Hieronymous Hopfer (German) (1930.576)'],['print'],[],True
362,footmen,Q114761400,Battle between Dutch horsemen and Spanish footmen,,['painting by Paulus van Hillegaert (I)'],['painting'],[],True
363,footmen,Q65085160,Directions to Footmen,,['print in the National Gallery of Art (NGA 31622)'],['print'],[],True
364,footmen,Q97788384,Directions to Footmen,,"['print by Thomas Rowlandson (MET, 59.533.1002)']",['print'],[],True
365,footmen,Q97788386,Directions to Footmen,,"['print by Thomas Rowlandson (MET, 59.533.1213)']",['print'],[],True
366,gay,Q592,gay,"['homosexual person', 'homosexuals', 'homosexual people', 'gay people', 'gay person', 'ghey', 'ゲイ']",['term referring to a homosexual person or the trait of homosexuality'],"['sexual orientation', 'sexual minority']","['LGBT', 'homosexuality']",
367,gay,Q40246,gaydar,,"colloquialism referring to the intuitive ability of a person to assess others' sexual orientations as gay, bisexual or heterosexual",['LGBT slang'],[],True
368,gay,Q5207989,daddy,['gay daddy'],['slang term in gay culture meaning an older man sexually involved in a relationship or having a sexual interest in a younger man'],[],[],True
369,gay,Q17015701,gay sexual practices,"['gay sex', 'sex between men']","['sexual activities involving men who have sex with men, regardless of their sexual orientation or sexual identity']",[],['homosexual sexual practices'],True
370,gay,Q850698,lavender marriage,['relations between gay men and heterosexual women'],['marriage to feign heterosexuality for one or both spouses'],[],"['marriage of convenience', 'mixed-orientation marriage']",
371,gay,Q979368,straight-acting,['straight acting'],same gender-attracted person who does not exhibit the appearance or mannerisms of what is seen as typical for gay people,['behavior'],['LGBT'],
372,gay,Q110266417,2SLGBTQ+,['LGBTQ2S+'],"abbreviation used to describe two-spirit people, lesbians, gay men, bisexual people, transgender people, queer people, and other gender and sexual minorities as a group; commonly used in Canada to place indigenous people first",['community'],"['sexual minority', 'LGBT']",
373,gay,Q51424,LGBT stereotypes,,"conventional, formulaic generalizations, opinions, or images about lesbian, gay, bisexual and transgender (LGBT) people",['social movement'],[],True
374,gay,Q849216,ex-gay movement,,['movement that encourages people to refrain from homosexual relationships'],['social movement'],[],
375,gay,Q116033699,sex instruction for gay men,"['gay sexual education', 'sex ed for gay men', 'sex education for gay men', 'gay sex ed', 'gay sex education']","[""instruction on issues relating to gay men's sexuality""]",['sex education'],[],
376,gayer,Q75889321,Frances Dobbs,['Frances Gayer'],['Peerage person ID=383133'],['human'],[],False
377,gayer,Q75907417,Agnes Echlin,['Agnes Gayer'],['Peerage person ID=395679'],['human'],[],False
378,gayer,Q75377183,Marilyn Emma Margaret Wills,"['Marilyn Wills', 'Marilyn Gayer']",['(1947-1970)'],['human'],[],False
379,gayer,Q99057528,"Gayer, Edmund Richard",,['entry in Men-at-the-Bar'],['biographical article'],[],False
380,gayer,Q1031241,Gyula Gáyer,"['Gyula Gayer', 'Gyula Julius Gáyer', 'Gáyer', 'Julius Gáyer']",['botanist (1883-1932)'],['human'],[],False
381,gayer,Q79408924,Gayer Gari Daspara SSK,,,"['primary school', 'co-educational school', 'rural school']",[],
382,gayer,Q6235013,John Gayer,,['Wikimedia disambiguation page'],['Wikimedia human name disambiguation page'],[],
383,gayer,Q19042266,"Gayer, Arthur Edward (DNB00)",,['entry in Dictionary of National Biography'],['biographical article'],[],False
384,gayer,Q19042276,"Gayer, John (d.1649) (DNB00)",,['entry in Dictionary of National Biography'],['biographical article'],[],False
385,gayer,Q19042285,"Gayer, John (d.1711?) (DNB00)",,['entry in Dictionary of National Biography'],['biographical article'],[],False
386,gayest,Q5528629,Gayest Of All Time With Jonny McGovern,"[""Gay Pimpin' with Jonny McGovern""]",['English LGBTQ audio podcast'],['podcast'],[],True
387,gayest,Q3312937,Miguel Angel Garcia,"['Miguel Angel Garcia Cortez', 'Miguel Ángel García', 'Mikey Garcia', 'the gayest of them all']",['American boxer'],['human'],[],False
388,gays,Q701161,Hirschfeld Eddy Foundation,,"German foundation for the Human Rights of Lesbians, Gays, Bisexuals and Transgender People","['pressure group', 'foundation', 'LGBTQ+ association', 'charitable corporation']",[],True
389,gays,Q115140251,"Living Cohabitation In The Republic Of Korea: The Reported Experiences Of Lesbians, Gays And Heterosexuals",,['doctoral thesis'],['doctoral thesis'],[],
390,gays,Q5770369,homonormativity,['cishomonormativity'],assimilation of heteronormative ideals and institutions by gays and lesbians,['social norm'],[],True
391,gays,Q5098454,Children of Lesbians and Gays Everywhere,['COLAGE'],['organization'],"['LGBTQ+ rights organization', 'virtual organization']",[],True
392,gays,Q9035018,"Monument in memory of gays, lesbians and retaliated transsexuals",,,"['LGBT historic place', 'monument']",[],
393,gays,Q112776353,Gay & Gray München e.V.,['Gay & Gray München'],"Association, self-help and leisure group for older gays",['club'],[],True
394,gays,Q109480172,Old Gays,['The Old Gays'],['group of social media personalities'],['group of humans'],[],
395,gays,Q65070953,Gays Against Guns,['GAG'],['group of LGBTQ people committed to ending gun violence'],"['direct action', 'organization']",[],
396,gays,Q63729817,"president of the State Federation of Lesbians, Gays, Trans and Bisexuals",,,['position'],['chairperson'],
397,gays,Q23786616,Memorial for gays and lesbians persecuted by the nai regime,['Monument to homosexuals persecuted under National Socialism in Lübeck[2]'],['LGBT memorial in Germany'],"['LGBT historic place', 'memorial', 'cautionary monument']",[],
398,gypsies,Q110922133,Sea Gypsies,"['Sea Nomads', 'Sea Gypsy', 'Sea Nomad', 'Seafarers', 'mořští nomádi']",['three or four ethnolinguistic groups in Southeast Asia combined into one ethnic category'],['ethnic group'],['indigenous people'],True
399,gypsies,Q875651,Travellers,"['Gypsies', 'Pavee', 'Mink', 'Pickies', 'Irish Travellers']",['traditionally nomadic people of ethnic Irish origin'],"['ethnic group', 'itinerant groups in Europe']",[],True
400,gypsies,Q17150753,itinerant groups in Europe,"['itinerant group in Europe', 'European itinerant groups', 'Travelers', 'Travellers', 'Gypsies']",['Traditionally nomadic groups in Europe'],[],['ethnic group'],True
401,gypsies,Q7437768,Scottish Gypsy and Traveller groups,,people in Scotland loosely termed gypsies or travellers,[],[],True
402,gypsies,Q99832322,The Housing (Assessment of Accommodation Needs) (Meaning of Gypsies and Travellers) (England) Regulations 2006,,['UK Statutory Instrument 2006\xa0No. 3190'],['UK Statutory Instrument'],[],
403,gypsies,Q110684093,"A Guitarist - Study for ""Life Among the Gypsies"" & verso Mother and Child - for ""A Highland Interior"" - John Phillip",,['work of art by John Phillip'],['work of art'],[],
404,gypsies,Q48800884,The Tinkers' Heart,"[""The Gypsy's Heart"", ""Gypsies' Heart"", ""The Gypsy's Wedding Heart"", ""Tinkers' Heart, Scottish Travellers' commemorative monument 820m E of Ardno""]","['architectural structure in Argyll and Bute, Scotland, UK']",['monument'],[],
405,gypsies,Q99830406,Housing (Assessment of Accommodation Needs) (Meaning of Gypsies and Travellers) (Wales) Regulations 2007,,['Wales Statutory Instrument 2007\xa0No. 3235 (W.\xa0285)'],"['UK Statutory Instrument', 'Welsh Statutory Instrument']",[],
406,gypsies,Q52153180,Extensive Woody Landscape with Gypsies telling a Gentleman's Fortune,,"[""painting by attributed to Jacques d'Arthois""]",['painting'],[],True
407,gypsies,Q23777561,Social Democratic Party of Hungarian Gypsies,,['short-lived Hungarian political party'],['political party'],[],
408,gypsy,Q105395491,Toya Prudêncio,['Sónia Prudêncio'],"Ethnic activist, Portuguese gypsy, dedicated to the fight against discrimination and defending social equity. In 2016, she was recognized as ""Gypsy of the Year"" for her dedication to defending Human Rights.",['human'],[],True
409,gypsy,Q110922133,Sea Gypsies,"['Sea Nomads', 'Sea Gypsy', 'Sea Nomad', 'Seafarers', 'mořští nomádi']",['three or four ethnolinguistic groups in Southeast Asia combined into one ethnic category'],['ethnic group'],['indigenous people'],
410,gypsy,Q51412682,Gypsy moth management in the United States : a cooperative approach : final environmental impact statement,,"['Radnor, PA :U.S. Dept. of Agriculture, Forest Service, Northeastern Area State and Privat']",['publication'],[],False
411,gypsy,Q51521182,Predicting the rate of change in timber value for forest stands infested with gypsy moth,,"['[Broomall, Pa.?] :U.S. Dept. of Agriculture, Forest Service, Northeastern Forest Experiment Station,1982. | U.S. Department of Agriculture, National']",['publication'],[],False
412,gypsy,Q51506962,Mortality risks for forest trees threatened with gypsy moth infestation,,"['[Broomall, Pa.] :United States Dept. of Agriculture Forest Service, Northeastern Forest Experiment Station,[1987] | U.S. Department of Agriculture,']",['publication'],[],
413,gypsy,Q4451351,Romani dance,"['Gypsy dance', 'Roma dance']",['dances of the Romani people'],"['type of dance', 'dance by ethnicity']","['European dance', 'Middle Eastern dance']",
414,gypsy,Q104867069,White Gypsy or Irish Traveller,,['ethnicity classification used in the 2011 United Kingdom Census'],[],[],True
415,gypsy,Q19880131,Gypsy,"['Gypsy, Louisiana', 'Gypsy, LA']",['human settlement in United States of America'],['unincorporated community in the United States'],[],
416,gypsy,Q108531492,Budapest Gypsy Social Cultural and Methodological Institution,"['Romano Kher', 'Metropolitan Municipality Gypsy House']",,['organization'],[],True
417,gypsy,Q51478366,Forest stand losses to gypsy moth in the Poconos,,"['Broomall, Pa. :Dept. of Agriculture, Forest Service, Northeastern Forest Experiment Station,1979. | U.S. Departmen']",['publication'],[],
418,gypsys,Q4854258,Band of Gypsys,,['book by Gwyneth Jones'],['written work'],[],False
419,gypsys,Q18640459,Gypsys Gift,,['musical artist'],['musical group'],[],False
420,gypsys,Q3038098,"The Distress, Gypsys Rhapsodie",,,[],[],False
421,gypsys,Q13581327,Band of Gypsys,,['band founded by Jimi Hendrix'],['musical group'],[],False
422,gypsys,Q21963911,Gypsys Hill,,['mountain in Australia'],"['mountain', 'hill']",[],False
423,gypsys,Q8287763,Category:Band of Gypsys members,,['Wikimedia category'],['Wikimedia category'],[],False
424,gypsys,Q4636510,3 Melancholy Gypsys,,['American hip hop group'],['musical group'],[],False
425,gypsys,Q56292350,Band 'O Gypsys,,,['rock group'],[],False
426,gypsys,Q3233136,Les Gypsys,,,['musical group'],[],False
427,gypsys,Q5625379,"Gypsys, Tramps & Thieves",,['1971 single by Cher'],['single'],[],False
428,half-breed,Q17144151,Half-breed,,['obsolete term for mixed Native American and European ancestry'],[],[],True
429,half-breed,Q6990906,Nemaha Half-Breed Reservation,,"['place in Nebraska, United States']",['Indian reservation of the United States'],[],True
430,half-breed,Q66196096,Papers Relating to the Application of Morgan H. Weir to Locate Sioux Mixed Bloods on Lands in Western Michigan Using Sioux Half-Breed Scrip (NAID 6002264),,"[""a series in the National Archives and Records Administration's holdings""]",['collection'],[],True
431,half-breed,Q64400587,Timber Culture File and Chippewa Indian Half-Breed Scrip Files (NAID 7820194),,"[""series in the National Archives and Records Administration's holdings""]",['collection'],[],
432,half-breed,Q59935954,Lists of Allotted and Unallotted Mixed-Bloods for the Nemaha Half-Breed Reserve (NAID 2058839),,"[""series in the National Archives and Records Administration's holdings""]",['collection'],[],True
433,half-breed,Q59935951,Abstracts of Claims to Allotments on the Nemaha Half-Breed Reserve (NAID 2058536),,"[""series in the National Archives and Records Administration's holdings""]",['collection'],[],True
434,half-breed,Q66205641,"Records Concerning McKee, Sioux Half-Breed (S.H.B.), and Valentine Scrip Locations (NAID 5701119)",,"[""a series in the National Archives and Records Administration's holdings""]",['collection'],[],
435,half-breed,Q64400362,Canceled Homestead Files and Chippewa Indian of Lake Superior Half-Breed Scrip Files (NAID 7794429),,"[""a series in the National Archives and Records Administration's holdings""]",['collection'],[],
436,half-breed,Q66151028,Records Concerning Sioux Half-Breed Scrip (NAID 7585319),,"[""a series in the National Archives and Records Administration's holdings""]",['collection'],[],
437,half-breed,Q64402298,Abstracts of Sioux Half-Breed Scrip in the Dakotas (NAID 3129118),,"[""series in the National Archives and Records Administration's holdings""]",['collection'],[],True
438,half-breeds,Q3024207,Half-Breeds on Venus,,['short story by Isaac Asimov'],['literary work'],[],False
439,handicap,Q12131,disability,"['handicap', 'physical handicap']","['impairments, activity limitations, and participation restrictions']",[],['property'],True
440,handicap,Q16649002,person with visual disabilities,"['person with visual impairment', 'people with visual impairment', 'people with visual disabilities', 'visually impaired person', 'visually impaired people', 'visually impaired persons', 'persons with visual disabilities', 'persons with visual impairment', 'person with visual disability', 'persons with visual disability', 'people with visual disability', 'visually disabled person', 'visually disabled', 'visually disabled persons', 'visually disabled people', 'partially seeing person', 'partially seeing persons', 'partially seeing people', 'partially sighted person', 'partially sighted persons', 'partially sighted people', 'visually handicapped', 'visually handicapped person', 'visually handicapped persons', 'visually handicapped people', 'person with visual handicap', 'person with visual handicaps', 'persons with visual handicap', 'persons with visual handicaps', 'people with visual handicap', 'people with visual handicaps']",['person with loss of vision such that there is an impact on activities of daily living'],[],['person with disabilities'],
441,handicap,Q5508820,functional diversity,,"term for special needs, disability, impairment and handicap",[],['diversity'],True
442,handicap,Q64847362,disability evaluation,,"determination of the degree of a physical, mental or emotional handicap",[],['medical diagnosis'],True
443,handicap,Q113095566,Danish Association of the Physically Disabled,,Danish handicap organisation,"[""disabled people's organisation""]",[],
444,handicap,Q57622943,"The ""serious handicap"" clause in the Abortion Act 1967 : healthcare professionals' interpretations of the grounds for termination of pregnancy",,['doctoral thesis'],['doctoral thesis'],[],True
445,handicap,Q99892850,The Cornwall and Isles of Scilly Mental Handicap National Health Service Trust (Change of Name) Order 1993,,['UK Statutory Instrument 1993\xa0No. 1069'],['UK Statutory Instrument'],[],
446,handicap,Q112889444,"Hearing loss, Disability and Handicap in the Elderly: How the Elderly experience Hearing Loss",,"[""2012 master's thesis by Sally Crook at University of Auckland""]","[""master's thesis""]",[],True
447,handicap,Q99898256,The Cornwall and Isles of Scilly Mental Handicap National Health Service Trust (Establishment) Order 1990,,['UK Statutory Instrument 1990\xa0No. 2408'],['UK Statutory Instrument'],[],
448,handicap,Q63817401,"Relationship Between Hearing Thresholds, Handicap and Time for Treatment-seeking",,['clinical trial'],['clinical trial'],[],True
449,handicaps,Q16649002,person with visual disabilities,"['person with visual impairment', 'people with visual impairment', 'people with visual disabilities', 'visually impaired person', 'visually impaired people', 'visually impaired persons', 'persons with visual disabilities', 'persons with visual impairment', 'person with visual disability', 'persons with visual disability', 'people with visual disability', 'visually disabled person', 'visually disabled', 'visually disabled persons', 'visually disabled people', 'partially seeing person', 'partially seeing persons', 'partially seeing people', 'partially sighted person', 'partially sighted persons', 'partially sighted people', 'visually handicapped', 'visually handicapped person', 'visually handicapped persons', 'visually handicapped people', 'person with visual handicap', 'person with visual handicaps', 'persons with visual handicap', 'persons with visual handicaps', 'people with visual handicap', 'people with visual handicaps']",['person with loss of vision such that there is an impact on activities of daily living'],[],['person with disabilities'],
450,handicaps,Q61965765,Reduction and Prevention of Seizure Occurrence From Exposure to Auditory Stimulation in Individuals With Neurological Handicaps,,['clinical trial'],['clinical trial'],[],True
451,handicaps,Q7669399,TASH,"['American Association for the Education of the Severely / Profoundly Handicapped', 'AAESPH', 'The Association for the Severely Handicapped', 'The Association for Persons with Severe Handicaps']",['American disability advocacy association'],['nonprofit organization'],[],True
452,handicaps,Q108563084,Bonner v. Lewis: Testing Society's Commitment To Aid Individuals With Handicaps,,,['article'],[],True
453,handicaps,Q77213109,"Social activity centres for people with mental handicaps in Dyfed : report of an inspection, July 1989",,['book (work)'],['written work'],[],True
454,handicaps,Q77212716,"Services in adult training centres for people with mental handicaps in Powys, report of an inspection November 1990",,['book (work)'],['written work'],[],True
455,handicaps,Q77212710,"Services for younger people with physical handicaps in West Glamorgan : report of an inspection, June 1989",,['book (work)'],['written work'],[],True
456,handicaps,Q112882417,Engagement in music therapy : a detailed study of communication between the therapist and client presenting with severe and multiple handicaps,['Engagement in Music Therapy: A Detailed study of Communication Between the Therapist and Client Presenting with Severe and Multiple Handicaps'],"[""2009 master's thesis by Miona Stamenovic at New Zealand School of Music""]","[""master's thesis""]",[],True
457,handicaps,Q51780079,"Epidemiology and Public Health Analysis : Risks, Chronic Diseases, Handicaps",,,['laboratory'],[],True
458,handicaps,Q76745214,"Social activity centres for people with mental handicaps in Dyfed : report of an inspection, July 1989",,['edition; published in 1989'],"['version, edition, or translation']",[],True
459,headhunter,Q290088,gunner,"['shooter', 'headhunter', 'kamikaze']","['specialist position in American football special teams, who runs down the sideline very quickly in an attempt to tackle the kick or punt returner']",['American football position'],[],
460,headhunter,Q6902629,Monsopiad,,Malaysian headhunter,['human'],[],
461,headhunter,Q50719667,"Set 1. No. 2: from the ""Headhunter Set""",,['painting by Thomas Nandjiwarra amagula'],['painting'],[],
462,headhunter,Q50719630,"Set 1. No. 6: from the ""Headhunter Set""",,['painting by Thomas Nandjiwarra amagula'],['painting'],[],
463,headhunter,Q50719763,"Set 1. No. 8: from the ""Headhunter Set""",,['painting by Thomas Nandjiwarra amagula'],['painting'],[],
464,headhunter,Q50719747,"Set 1. No. 4: from the ""Headhunter Set""",,['painting by Thomas Nandjiwarra amagula'],['painting'],[],
465,headhunter,Q50719724,"Set 1. No. 5: from the ""Headhunter Set""",,['painting by Thomas Nandjiwarra amagula'],['painting'],[],
