,term_x,entity_id,text_1,text_2,text_3,text_4,text_5,term_y,check
232,etniciteit,Q5404323,etniciteit,,['sociaal-culturele\xa0identiteit die een bepaalde groep mensen of bevolkingsgroepen verbindt'],['eigenschap'],[],,
233,etniciteit,Q41710,etnische groep,"['etniciteit', 'bevolkingsgroep', 'etnisch', 'etnische bevolking']",['groep mensen of bevolkingsgroep met een bepaalde sociaal-culturele\xa0identiteit'],"['classificatiesysteem', 'persoonsgegevens']",['bevolkingsgroep'],ethnic group,True
235,etniciteit,Q133032,hongaren,"['Magyaren', 'Magiaren']",een nationaliteit en een etniciteit in hoofdzakelijk Centraal-Europa,"['bevolking', 'etnische groep']",['inwoner'],,
236,etniciteit,Q851126,Gorani,['Gorani (etniciteit)'],['etniciteit'],['etnische groep'],[],,
237,etniciteit,Q115771874,Hongaren,,"mensen uit of inwoners van Hongarije, ongeacht etniciteit",['bevolking'],['inwoner'],,
238,etniciteit,Q8461,racisme,,op ras of etniciteit gebaseerde discriminatie,"['politieke ideologie', 'misdaad']","['vooroordeel', 'sociale ongelijkheid']",,
239,etniciteit,Q110891832,,,"inwoners of mensen van Tahiti, Frans-Polynesië, ongeacht etniciteit","['inwoner', 'bevolking']",[],,
240,etniciteit,Q7128854,Categorie:Persoon naar etniciteit,,['Wikimedia-categorie'],['metacategorie'],[],,
241,etniciteit,Q111654081,Kroaten,,"inwoners of staatsburgers van Kroatië, ongeacht etniciteit","['bevolking', 'natie']",['inwoner'],,
242,etniciteit,Q7325,Joden,"['Joodse volk', 'Joodse gemeenschap']",aanhangers van de joodse religie (joden) dan wel iemand met de joodse etniciteit (Joden),"['natie', 'volk']",['Semieten'],,
243,etnische groep,Q41710,etnische groep,"['etniciteit', 'bevolkingsgroep', 'etnisch', 'etnische bevolking']",['groep mensen of bevolkingsgroep met een bepaalde sociaal-culturele\xa0identiteit'],"['classificatiesysteem', 'persoonsgegevens']",['bevolkingsgroep'],ethnic group,True
245,etnische groep,Q154278,etnische zuivering,['etnisch zuiveren'],gewelddadige actie om de aanwezigheid etnische groep in een gebied te doen dalen,[],"['misdrijf', 'etnisch conflict', 'gedwongen migratie']",,
246,etnische groep,Q12223,Koerden,,etnische groep,['etnische groep'],[],,
247,etnische groep,Q1988847,Russische minderheid in Litouwen,,etnische groep,['etnische groep'],['Russen'],,
248,etnische groep,Q3502570,Bevolking van de Falklandeilanden,"['Kelpers', 'Demografie van de Falklandeilanden']",etnische groep,['volk'],[],,
249,etnische groep,Q4204501,historische etnische groep,,,[],"['etnische groep', 'voormalige entiteit']",,
250,etnische groep,Q3676128,Koerden in Georgië,,etnische groep,['etnische groep'],[],,
251,etnische groep,Q16513600,thuisland,['land van herkomst'],de plaats waar een etnische groep zich cultureel en historisch mee identificeert,[],['locatie'],,
252,etnische groep,Q533226,Greeks in Albania,['Griekse minderheid in Albanie'],etnische groep,['etnische groep'],['Grieken'],,
253,etnische groep,Q2455014,Bargo mensen,,etnische groep,['etnische groep'],[],,
254,etnische groepen,Q105999586,Wikidata-eigenschap gerelateerd aan etnische groepen of inheemse volkeren,,,['type Wikidata-eigenschap'],['Wikidata-eigenschap'],ethnic groups,True
255,etnische groepen,Q2636673,aljama,,stad exclusief bezet door Moren of Joden of wijk van de christelijke stad bezet door deze etnische groepen in de Middeleeuwen,['woonplaats'],['migrantenwijk'],moors,True
256,etnische groepen,Q14411133,Sjabloon:Navigatie etnische groepen Roemenië,,['Wikimedia-sjabloon'],['Wikimedia-navigatiesjabloon'],[],,
257,etnische groepen,Q12630766,Etnische groepen van Urdu,,['etnische groep'],['etnische groep'],[],,
258,gay,Q592,gay,['homoseksueel persoon'],['synoniem voor homosexueel'],"['seksuele geaardheid', 'seksuele minderheid']","['LGBTI', 'homoseksualiteit']",gay,True
261,gay,Q104969456,homoseksuele man,"['homoseksueel', 'homo', 'gay']",['mannen die zich aangetrokken voelen tot andere mannen'],['seksuele geaardheid'],['mannelijke mens'],,
262,gay,Q1383254,Ex-ex-gay,,,['seksuele geaardheid'],['niet-heteroseksueel'],,
263,gay,Q12012782,docking,"['gay docking', 'cock docking']",['seksuele handeling waarbij een man zijn eikel met teruggeslagen voorhuid onder de voorhuid van een andere man plaatst'],"['menselijke seksuele activiteit', 'homoseksuele handelingen']","['frottage', 'aftrekken']",,
264,gay,Q1496534,Gay,['Gay (voornaam)'],['mannelijke voornaam'],['genderneutrale voornaam'],[],,
265,gay,Q55186653,Mister Gay Netherlands,,['schoonheidswedstrijd voor homoseksuele mannen'],['onderscheiding'],[],,
266,gay,Q111748392,Gay,,['vrouwelijke voornaam'],['vrouwelijke voornaam'],[],,
267,gay,Q189758,Marvin Gaye,"['Marvin P. Gaye', 'Marvin Pentz Gay, Jr.']",['Amerikaans zanger'],['mens'],[],,
268,gay,Q958953,Jean-Baptiste Sylvère Gaye de Martignac,"['Jean-Baptiste Sylvere Gaye de Martignac', 'Jean Baptiste Gay de Martignac', 'Conde de Martignac']",['Frans politicus (1778-1832)'],['mens'],[],,
269,gay,Q3723183,Elisabeth Gay,,['personage'],"['stripfiguur', 'fictief mens']",[],,
270,gaye,Q7405239,Sally Newmarch,['Sally Gaye Newmarch'],['roeister uit Australië'],['mens'],[],,
271,gaye,Q7573860,Monster Chetwynd,"['Spartacus Chetwynd', 'Lali Chetwynd', 'Alalia Chetwynd', 'Marvin Gaye Chetwynd']",['kunstenaar'],['mens'],[],,
272,gaye,Q28529539,Angela Walker,['Angela Gaye Walker'],,['mens'],[],,
273,gaye,Q7846428,Trouble Man,,single van Marvin Gaye,['single'],[],,
274,gaye,Q7627350,Stubborn Kind of Fellow,,single van Marvin Gaye,['single'],[],,
275,gaye,Q21493825,Gaye,,['achternaam'],['familienaam'],[],,
276,gaye,Q696898,Gaye Bykers on Acid,,['muziekgroep uit Verenigd Koninkrijk'],['muziekgroep'],[],,
277,gaye,Q4763128,Anger,,single van Marvin Gaye,['single'],[],,
278,gaye,Q55348304,Marvin Gaye Chetwynd,,['tentoonstelling'],['tijdelijke tentoonstelling'],[],,
279,gaye,Q110350308,,,"begraafplaats in Gaye, Frankrijk",['begraafplaats'],[],,
280,gayer,Q108440345,Gayer,,['voornaam'],['voornaam'],[],,
281,gayer,Q5528757,Gayer,,['achternaam'],['familienaam'],[],,
282,gayer,Q2190649,Gayer-Anderson Museum,,['museum in Egypte'],['museum'],[],,
283,gayer,Q129260,Gayer-Anderson cat,,,['sculptuur'],[],,
284,gayer,Q6235013,John Gayer,,['Wikimedia-doorverwijspagina'],['Wikimedia-doorverwijspagina voor een persoonsnaam'],[],gayer,False
285,gayer,Q79408924,Gayer Gari Daspara SSK,,,"['basisschool', 'rurale school']",[],gayer,False
286,gayer,Q2772538,Gayer,,['motorfietsmerk uit Oostenrijk'],['historische motorfietsfabrikant'],[],,
287,gays,Q59465378,,,"uitgave van Families We Choose: Lesbians, Gays, Kinship","['editie, versie of vertaling']",[],,
288,gays,Q5439956,"Federación Estatal de Lesbianas, Gays, Transexuales y Bisexuales",,,"['belangenorganisatie', 'niet-gouvernementele organisatie', 'koepelorganisatie']",[],,
289,gays,Q49031227,Gays Hill,,['berg in Verenigde Staten van Amerika'],['berg'],[],,
290,gays,Q49012865,Bill Gays Butte,,['berg in Verenigde Staten van Amerika'],['berg'],[],,
291,gays,Q3026736,Dictionnaire des cultures gays et lesbiennes,,['boek van writers collective'],['geschreven werk'],[],,
292,gays,Q49687455,Gays Mills Ridge,,"['heuvel in Crawford County, Verenigde Staten van Amerika']",['heuvel'],[],,
293,gays,Q5528916,Gays River,,['nederzetting in Canada'],"['woonplaats', 'watergang']",[],,
294,gays,Q287284,"Associação Brasileira de Gays, Lésbicas, Bissexuais, Travestis e Transexuais",,,['koepelorganisatie'],[],,
295,gays,Q2685955,Gays Mills,,['plaats in Wisconsin'],['village in Wisconsin'],[],,
296,gays,Q2671174,Gays,,['zakaria Mohafid'],['village'],[],,
297,gehandicapte,Q90665701,Wet zorg en dwang,"['Wet zorg en dwang psychogeriatrische en verstandelijk gehandicapte cliënten', 'Wzd']",['wetgeving rondom gedwongen zorg in de ouderenzorg en zorg voor mensen met een verstandelijke beperking'],['Nederlandse wet'],[],,
298,gehandicapte,Q183560,Verstandelijke beperking,"['Zwakzinnigheid', 'Verstandelijk gehandicapte', 'Retardatie', 'mentale handicap', 'verstandelijke handicap', 'verstandelijk gehandicapt', 'zwakzinnig', 'idioot', 'mentale retardatie']",['ontwikkelingsstoornis in de verstandelijke vermogens'],['klasse van een ziekte'],"['specifieke ontwikkelingsstoornis', 'handicap']",,
299,gehandicapte,Q15978181,gehandicapte,"['gehandicapt persoon', 'invalide', 'persoon met een beperking', 'gehandicapte persoon', 'persoon met een handicap']",,[],['persoon'],disabled,True
300,gehandicapte,Q3292743,Nederlandse Stichting voor het Gehandicapte Kind,,['Nederlandse organisatie'],['organisatie'],[],,
301,gehandicapte,Q1153025,rolstoeltennis,,tennisvariant voor gehandicapte sporters,['Paralympische sport'],"['rolstoelsport', 'tennis']",,
302,gehandicapte,Q2078744,Gehandicapte sporter van het jaar,['Gehandicapte sporter van het jaar (Nederland)'],['Nederland'],['onderscheiding'],[],,
303,gehandicapte,Q4308422,Jolanda Venema,,gehandicapte vrouw in de media,['mens'],[],,
304,gehandicapte,Q104662543,"Archiefbestanddeel uit het archief van Joseph-Louis Stynen, ref. BE/653717/0008-JLS/0181",,Projectdossier over een schoolcomplex voor gehandicapte kinderen in Heist-op-den-Berg (Kastanjedreef),"['collectie', 'archief']",[],,
305,gehandicapten,Q29584864,Maatschappelijke dienstverlening zonder huisvesting voor ouderen en lichamelijk gehandicapten,,['economische activiteit'],['economische activiteit'],['Maatschappelijke dienstverlening zonder huisvesting'],,
306,gehandicapten,Q2380034,Wet voorzieningen gehandicapten,,['wet'],['wet'],[],,
307,gehandicapten,Q2523708,Wet tegemoetkoming chronisch zieken en gehandicapten,,['wet'],['wet'],[],,
308,gehandicapten,Q2423714,CG-Raad,['Chronisch zieken en Gehandicapten Raad Nederland'],,['koepelorganisatie'],[],,
309,gehandicapten,Q61857538,activist voor rechten van gehandicapten,,,['bezigheid'],['mensenrechtenverdediger'],,
310,gehandicapten,Q47189385,Vormingsinstituut voor Begeleiding van Gehandicapten,,['organisatie uit België'],['organisatie'],[],,
311,gehandicapten,Q18089065,Partij Voor Gehandicapten en Welzijn,,['politieke partij uit België'],['politieke partij'],[],,
312,gehandicapten,Q2425737,Algemene Nederlandse Gehandicapten Organisatie,,['Nederlandse organisatie'],['organisatie'],[],,
313,gehandicapten,Q688498,hulpmiddel voor gehandicapten,,,[],['apparaat'],,
314,gehandicapten,Q2369561,Jongerenorganisatie voor gehandicapten,,,[],['jongerenorganisatie'],,
315,gekleurd,Q1836236,Kleur op doek. Hoe exotische weefsels worden gekleurd,,,['tijdelijke tentoonstelling'],[],,
316,gekleurd,Q506,bloem,['blom'],vaak fraai gekleurd voortplantingsorgaan van bedektzadige planten,[],"['plantenorgaan', 'plantonderdeel']",,
317,gekleurd,Q20002491,,,gebruik van gekleurd object in voorts monochrome afbeelding,['filmtechniek'],[],,
318,gekleurd,Q1127759,denkfout,"['cognitieve fout', 'redeneerfout']",'Gekleurd' denken of waarnemen,['type bias'],"['vooroordeel', 'psychologisch fenomeen']",,
319,gekleurd,Q1473346,gebrandschilderd raam,['glas-in-lood'],raam samengesteld uit stukken gekleurd glas,"['kunstmateriaal', 'materiaal']",['kunstwerk'],,
320,gekleurd,Q22987553,Brussels Gekleurd,,,['organisatie'],[],,
321,gekleurd,Q221163,uraniumglas,['Anna-groen'],Glas gekleurd met uraniumerts,[],['glas'],,
322,gekleurd,Q86914958,,,"ets door James Ensor (gekleurd), PK.MP.04958, staat: IV",['ets'],[],,
323,gekleurd,Q47458599,vzw Brussels Gekleurd/Bruxellles en Couleurs asbl,,,['vereniging zonder winstoogmerk'],[],,
324,gekleurde,Q2072081,gekleurde,,['persoon die niet blank/wit is'],['sociale groep'],['mens'],white,True
325,gekleurde,Q739550,M&M's,"['Bonitos', 'Treets', 'M&M']",snoepjes van Amerikaanse oorsprong van chocolade met een gekleurde buitenlaag,['voedingsmerk'],[],,
326,gekleurde,Q8230758,gekleurde contactlens,,,[],['contactlens'],,
327,gekleurde,Q4854529,gekleurde ruis,['bruine ruis'],,['classificatiesysteem'],[],,
328,gekleurde,Q61944902,"Moeder Gods Kazanskaja, met koperen oklad en textiel met gekleurde glasstenen",,['schilderij van onbekend'],['schilderij'],[],,
329,gekleurde,Q6544309,Liesegang banden,,gekleurde banden van cement in sedimentair gesteente,[],[],,
330,gekleurde,Q133067,mozaïek,"['mozaiek', 'vloermozaïek', 'vloermozaiek']",een grote afbeelding wordt vervaardigd uit een groot aantal kleine gekleurde steentjes,[],"['tweedimensionaal visueel kunstwerk', 'assemblage', 'materiaal', 'architecturaal element']",,
331,gekleurde,Q22245963,Vrouw met gekleurde hond,,['schilderij van Yvan Theys'],['schilderij'],[],,
332,gekleurde,Q29910751,Man opgetild door hand en meisje in gekleurde jurk,,['tekening van Co Westerik'],['tekening'],[],,
333,gekleurde,Q14290457,schaakpatroon,"['ruitpatroon', 'geruit patroon', 'schaakbordpatroon', 'dambordpatroon']",patroon van om en om gekleurde vlakken,[],['geometrisch patroon'],,
334,halfbloed,Q18336298,De halfbloed,,['korte stomme film uit Verenigde Staten van Amerika'],['korte film'],[],,
335,halfbloed,Q862524,Harry Potter en de Halfbloed Prins,['Harry Potter en de half bloed prins'],['computerspel'],['computerspel'],[],,
336,halfbloed,Q63348154,Halfbloed,,['film van Norman Dawn'],['stomme film'],[],,
337,halfbloed,Q46887,Harry Potter en de Halfbloed Prins,"['Harry Potter and the Half-Blood Prince', 'Harry Potter en de Halfbloed Prins (boek)']",['boek van Joanne Rowling'],['literair werk'],[],,
338,handicap,Q12131,handicap,,"['een lichamelijke, intellectuele of psychische beperking']",[],['eigenschap'],handicap,True
339,handicap,Q183560,Verstandelijke beperking,"['Zwakzinnigheid', 'Verstandelijk gehandicapte', 'Retardatie', 'mentale handicap', 'verstandelijke handicap', 'verstandelijk gehandicapt', 'zwakzinnig', 'idioot', 'mentale retardatie']",['ontwikkelingsstoornis in de verstandelijke vermogens'],['klasse van een ziekte'],"['specifieke ontwikkelingsstoornis', 'handicap']",,
340,handicap,Q13635220,Buitengewoon onderwijs,['BUO'],"in Vlaanderen voor kinderen die het gewone onderwijs niet kunnen volgen vanwege leer- of gedragsproblemen of vanwege een lichamelijke, zintuiglijke of verstandelijke handicap",[],['orthopedagogiek'],,
341,handicap,Q1179623,lichamelijke handicap,,,['aandoening'],['handicap'],,
342,handicap,Q264231,dorpsgek,,persoon die plaatselijk bekend staat om excentriciteit of een mentale handicap,"['archetypisch personage', 'sociale rol', 'personage uit literatuur']",['idioot'],,
343,handicap,Q1818174,Wet gelijke behandeling op grond van handicap of chronische ziekte,,['wet'],['wet'],[],,
344,handicap,Q114572905,parastronaut,,astronaut met een lichamelijke handicap,['beroep'],['ruimtevaarder'],,
345,handicap,Q29584861,Instellingen met huisvesting voor ouderen en voor personen met een lichamelijke handicap,,['economische activiteit'],['economische activiteit'],['Maatschappelijke dienstverlening met huisvesting'],,
346,handicap,Q29584860,Instellingen met huisvesting voor personen met een mentale handicap of psychiatrische problemen en voor drugs- en alcoholverslaafden,,['economische activiteit'],['economische activiteit'],['Maatschappelijke dienstverlening met huisvesting'],,
347,handicap,Q42255152,Wikidata-eigenschap gerelateerd aan handicap,,,['type Wikidata-eigenschap'],['Wikidata-eigenschap gerelateerd aan persoonlijk leven'],,
348,handicaps,Q104643388,Ernstig meervoudig beperkt,,combinatie van verschillende handicaps,['handicap'],[],,
349,handicaps,Q3233152,Les Handicaps de la vie,,['boek van Rudyard Kipling'],['verhalenbundel'],[],,
350,hermafrodiet,Q303479,hermafrodiet,,['het bezit van zowel mannelijke als vrouwelijke voortplantingsorganen'],['sekse'],"['organisme', 'intersekse']",hermaphrodite,True
351,hermafrodiet,Q16674976,tweeslachtigheid,"['hermafroditisme', 'hermafrodiet']",,['voortplantingssysteem'],['geslachtelijke voortplanting'],,
352,hermafrodiet,Q28097260,Hermafrodiet,,['schilderij van R.L.J. Henkes'],['schilderij'],[],,
353,hermafrodiet,Q22257088,"Werkkledij van de belgische hermafrodiet, maar niet te fanatiek",,['schilderij van Pjeroo Roobjee'],['schilderij'],[],,
354,hermafrodiet,Q24063809,Hermafrodiet,,['schilderij van Laurens van Kuik'],['schilderij'],[],,
355,homo,Q104969456,homoseksuele man,"['homoseksueel', 'homo', 'gay']",['mannen die zich aangetrokken voelen tot andere mannen'],['seksuele geaardheid'],['mannelijke mens'],,
356,homo,Q131464,Rhodesiëmens,"['Rhodesië man', 'Rhodesie man', 'Homo rhodesiensis', 'Rhodesiemens']",['soort uit het geslacht Homo'],['fossiel taxon'],[],,
357,homo,Q3786468,Homo magi,,['personage'],['klasse van fictieve entiteiten'],['fictief mens'],,
358,homo,Q40221,Homo-icoon,['Homoseksueel icoon'],['voorbeeldfiguur uit de homogemeenschap'],['sociale beweging'],[],,
359,homo,Q54993583,Wan-BL,,cellijn van een Homo sapiens,"['cellijn', 'kankercellijn']",[],,
360,homo,Q5,mens,"['Homo sapiens', 'mensen', 'Mens']",['tweevoetige primatensoort uit de familie van de hominidae'],['klasse van organismen bekend onder één bepaalde gemeenschappelijke naam'],"['natuurlijk persoon', 'omnivoor', 'zoogdier', 'persoon']",homo,False
361,homo,Q105784,Homo heidelbergensis,"['Heidelbergmens', 'Heidelberg-mens']",['soort uit het geslacht Homo'],['fossiel taxon'],['organisme'],,
362,homo,Q54882501,HEL,,cellijn van een Homo sapiens,"['cellijn', 'kankercellijn']",[],,
363,homo,Q54882504,HEL 92.1.7,,cellijn van een Homo sapiens,"['cellijn', 'kankercellijn']",[],,
364,homo,Q849216,ex-gaybeweging,['ex-homo'],,['sociale beweging'],[],gay,True
366,homo's,Q1975772,mietje,['flikker'],denigrerende term voor homo's,['pejoratief'],[],,
367,homo's,Q55657493,Gayropa,,"denigrerende term die de tolerantie van Europa ten opzichte van homo's belachelijk maakt, wat impliceert dat heel Europa door homo's wordt bevolkt","['pejoratief', 'concept']",[],,
368,homoseksualiteit,Q6636,homoseksualiteit,,['romantisch of seksueel aangetrokken voelen tot leden van hetzelfde geslacht of gender'],['seksuele geaardheid'],"['niet-heteroseksueel', 'relatie met iemand van hetzelfde geslacht', 'monoseksualiteit']",,
369,homoseksualiteit,Q1054678,Outing,['Outen'],"Het naar buiten brengen iemands seksuele voorkeur, in het bijzonder homoseksualiteit",[],"['denunciation', 'gepland proces', 'openbaring', 'overtreding']",,
370,homoseksualiteit,Q27333507,homoseksualiteit in Koerdistan,,['Homoseksualiteit in Koerdistan'],[],['homoseksualiteit in de samenleving'],,
371,homoseksualiteit,Q8225766,homoseksualiteit in de samenleving,,,[],['homoseksualiteit'],,
372,homoseksualiteit,Q8035007,Categorie:Mannelijke homoseksualiteit,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
373,homoseksualiteit,Q1348938,homoseksualiteit in India,,,[],['homoseksualiteit in de samenleving'],,
374,homoseksualiteit,Q3882309,Homoseksualiteit in de middeleeuwen,,,[],[],,
375,homoseksualiteit,Q1626313,homoseksualiteit in Japan,['Nanshoku'],,[],['homoseksualiteit in de samenleving'],,
376,homoseksualiteit,Q18349938,homoseksualiteit in Mexico,,,[],['homoseksualiteit in de samenleving'],,
377,homoseksualiteit,Q6457893,homoseksualiteit in Nederland,['Homo-emancipatie in Nederland'],,[],['homoseksualiteit in de samenleving'],,
378,homoseksueel,Q592,gay,['homoseksueel persoon'],['synoniem voor homosexueel'],"['seksuele geaardheid', 'seksuele minderheid']","['LGBTI', 'homoseksualiteit']",gay,True
381,homoseksueel,Q104969456,homoseksuele man,"['homoseksueel', 'homo', 'gay']",['mannen die zich aangetrokken voelen tot andere mannen'],['seksuele geaardheid'],['mannelijke mens'],,
382,homoseksueel,Q6649,lesbianisme,,vrouwelijk homoseksueel,['seksuele geaardheid'],"['homoseksualiteit', 'LGBTI', 'gynefilie']",,
383,homoseksueel,Q113286753,Homoseksueel,,,"['seksuele geaardheid', 'seksuele minderheid']",['LGBTI'],homosexual,True
385,homoseksueel,Q110271724,Lesbienne,"['Lesbische vrouw', 'Homoseksuele vrouw']",vrouwelijke homoseksueel persoon,[],['vrouwelijk mens'],,
386,homoseksueel,Q40221,Homo-icoon,['Homoseksueel icoon'],['voorbeeldfiguur uit de homogemeenschap'],['sociale beweging'],[],,
387,homoseksueel,Q2335529,holebi,,"afkorting voor homoseksueel, lesbisch en biseksueel",['initiaalwoord'],[],,
388,homoseksueel,Q970145,heteroseksueel–homoseksueel continuum,,,['spectrum'],[],,
389,homoseksueel,Q17884,LGBTI,"['lhbt', 'lhbti', 'holebi', 'alterseksueel']","lesbisch, homoseksueel, biseksueel, transgender en interseks","['samenleving', 'groep mensen', 'minderheid', 'LGBT-slang']","['seksuele minderheid', 'genderminderheid']",queer,True
390,homoseksueel,Q19587709,Jillis Bruggeman,,waarschijnlijk een van de laatste om zijn seksuele geaardheid in Nederland ter dood veroordeelde en ter dood gebrachte homoseksueel,['mens'],[],,
391,homoseksuele,Q104969456,homoseksuele man,"['homoseksueel', 'homo', 'gay']",['mannen die zich aangetrokken voelen tot andere mannen'],['seksuele geaardheid'],['mannelijke mens'],,
392,homoseksuele,Q110271724,Lesbienne,"['Lesbische vrouw', 'Homoseksuele vrouw']",['vrouwelijke homoseksueel persoon'],[],['vrouwelijk mens'],,
393,homoseksuele,Q17015701,homoseksuele handelingen,"['gayseks', 'homoseks']",,[],[],gay,True
394,homoseksuele,Q16154286,veranderingspogingen van seksuele geaardheid,,pogingen om de seksuele geaardheid van homoseksuele mensen te veranderen,[],"['methode', 'misbruik']",,
395,homoseksuele,Q2249431,homoseksuele prostitutie,,,[],['prostitutie'],,
396,homoseksuele,Q2774274,lijst van mannelijke homoseksuele pornoacteurs,,['Wikimedia-lijst'],['Wikimedia-lijst'],[],,
397,homoseksuele,Q55186653,Mister Gay Netherlands,,schoonheidswedstrijd voor homoseksuele mannen,['onderscheiding'],[],,
398,homoseksuele,Q1903815,Instructie inzake de criteria om roepingen te beoordelen van personen met homoseksuele neigingen met het oog op hun toelating tot het seminarie en de Heilige Wijdingen,,['Homo-instructie roepingen Katholieke Kerk'],['document'],[],,
399,homoseksuele,Q16154065,circuit party,,dansfeest voor homoseksuele mensen,['soort evenement'],['feest'],,
400,homoseksuele,Q14209827,Wikivoyage:Informatie voor homoseksuele reizigers,,['Wikimedia-projectpagina'],['Wikimedia-projectpagina'],[],,
401,homoseksuelen,Q33487,homofobie,"['Lesbofobie', 'Homohaat', 'Homofobisch', 'Homophobie']",haat voor of afkeer van homoseksuelen en homoseksualiteit,['vooroordeel'],"['discriminatie', 'vooroordeel']",,
402,homoseksuelen,Q8380267,Categorie:Discriminatie tegen homoseksuelen,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
403,homoseksuelen,Q165371,roze driehoek,,herkenningsteken voor vervolging van homoseksuelen tijdens WOII en vervolgens geuzenteken van de homobeweging,"['LHBT-symbolen', 'geuzennaam']",['driehoek'],,
404,homoseksuelen,Q8578659,Categorie:Rechten van homoseksuelen,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
405,homoseksuelen,Q568945,Monument voor de onder het nationaalsocialisme vervolgde homoseksuelen,,['bouwwerk in Berlijn'],"['Holocaust-monument', 'sculptuur', 'historische lhbt-plek', 'herdenkingsmonument']",[],,
406,homoseksuelen,Q3343422,Levensrecht,,"1940-1948, eerste Nederlands tijdschrift van en voor homoseksuelen","['periodiek', 'tijdschrift']",[],,
407,hottentot,Q219252,Khoikhoi,"['Hottentot', 'Khoi', 'Hottentotten']",['etnische groep'],['etnische groep'],[],hottentot,True
408,hottentotten,Q219252,Khoikhoi,"['Hottentot', 'Khoi', 'Hottentotten']",['etnische groep'],['etnische groep'],[],hottentot,True
409,inboorling,Q115308828,"Selfie series: ""aaaaa een inboorling"" aaaaaaaa a native”",,['schilderij van Tanja Ritterbex'],['schilderij'],[],,
410,indiaan,Q85299977,[HM2015b] 263,,compacte groep van sterrenstelsels in sterrenbeeld Indiaan,['compacte groep van sterrenstelsels'],[],,
411,indiaan,Q85300151,[HM2015b] 193,,compacte groep van sterrenstelsels in sterrenbeeld Indiaan,['compacte groep van sterrenstelsels'],[],,
412,indiaan,Q85300132,[HM2015b] 190,,compacte groep van sterrenstelsels in sterrenbeeld Indiaan,['compacte groep van sterrenstelsels'],[],,
413,indiaan,Q93753953,2MASX J23260362-6910185,,laag-ioniserend nucleaire stralingslijn-regio in sterrenbeeld Indiaan,"['laag-ioniserend nucleaire stralingslijn-regio', 'sterrenstelsel']",[],,
414,indiaan,Q66548213,HD 201427,,overlappende dubbelster in sterrenbeeld Indiaan,"['infraroodbron', 'bron van astrofysische röntgenstraling', 'overlappende dubbelster', 'ster']",[],,
415,indiaan,Q88092031,CD-56 8417,,overlappende dubbelster in sterrenbeeld Indiaan,"['overlappende dubbelster', 'ster']",[],,
416,indiaan,Q88559330,TYC 9337-2511-1,,overlappende dubbelster in sterrenbeeld Indiaan,"['overlappende dubbelster', 'infraroodbron']",[],,
417,indiaan,Q89920129,UNSW-V 722,,overlappende dubbelster in sterrenbeeld Indiaan,"['overlappende dubbelster', 'hardlopende ster', 'ster']",[],,
418,indiaan,Q83790261,2MASS J21281337-5200292,,overlappende dubbelster in sterrenbeeld Indiaan,"['ster', 'overlappende dubbelster']",[],,
419,indiaan,Q83789588,2MASS J20383137-5933244,,overlappende dubbelster in sterrenbeeld Indiaan,"['ster', 'overlappende dubbelster']",[],,
420,indiaans,Q36747,Indianen,"['Indianenstam', 'Indiaanse', 'Indiaans', 'Oorspronkelijke Amerikanen', 'Roodhuid', 'inheemse Amerikaanse indianen', 'Amerikaanse indianen', 'inheemse indianen']",['oorspronkelijke bewoners van Amerika'],"['etnische groep', 'bevolkingsgroep', 'groep mensen']",['inheemse bevolking'],,
421,indiaans,Q92067916,Jupta Itoewaki,['Jupta Lilian Itoewaki'],Surinaams-indiaans belangenbehartiger en politica,['mens'],[],,
422,indiaans,Q77082483,Categorie:Surinaams indiaans persoon,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
423,indiaans,Q2553145,Emelina Sabajo,,Surinaams indiaans persoon en verteller,['mens'],[],,
424,indiaans,Q7462529,Shaka Laka Boom Boom,['Kinshuk Vaidya'],Indiaans televisieprogramma,['televisieprogramma'],[],,
425,indiaans,Q279879,Indiaans-Amerikaanse fluit,,,[],[],,
426,indiaans,Q4802174,Aruna Shanbaug,,Indiaans verpleegster (1948-2015),"['mens', 'rechtszaak']",[],,
427,indiaans,Q18580084,Rajakisora Raya,,Indiaans schrijver,['mens'],[],,
428,indiaans,Q98703813,Covaxin,"['BBV152', 'indiaans vacin']",,"['COVID-19-vaccin', 'geïnactiveerd vaccin']",[],,
429,indiaans,Q6780511,Mary Pickford,,Indiaans neurowetenschapper,['mens'],[],,
430,indianen,Q36747,Indianen,"['Indianenstam', 'Indiaanse', 'Indiaans', 'Oorspronkelijke Amerikanen', 'Roodhuid', 'inheemse Amerikaanse indianen', 'Amerikaanse indianen', 'inheemse indianen']",['oorspronkelijke bewoners van Amerika'],"['etnische groep', 'bevolkingsgroep', 'groep mensen']",['inheemse bevolking'],,
431,indianen,Q16910544,geschiedenis van de Indianen in de Verenigde Staten,,,"['aspect van de geschiedenis', 'gebeurtenis']",['geschiedenis van Indiaanse volkeren'],indian,True
433,indianen,Q510048,Mandan (volk),,"Indianen, oorspronkelijke bewoners van Noord-Amerika",['etnische groep'],[],,
434,indianen,Q100340285,Indianen van Latijns Amerika,,['Tentoonstelling uit 1978'],['tijdelijke tentoonstelling'],[],,
