term,QID,wd_bow,spacy_cs,check,link_wd
ethnic groups,Q115107478,"hacaritamas, hacaritama, historiographical, myth, generally, encompasses, indigenous, ethnic, group, ocaña, region",0.91,TRUE,https://www.wikidata.org/wiki/Q115107478
ethnic groups,Q28404843,"ethnic, group, yugoslavia, aspect, geographic, region, muntasir, mahmud, sium",0.908,TRUE,https://www.wikidata.org/wiki/Q28404843
ethnic groups,Q83739813,"ethnic, group, belize, wikimedia, category",0.906,TRUE,https://www.wikidata.org/wiki/Q83739813
ethnicities,Q5404320,"ethnicity, iran, ethnic, group, polyethnic, demography",0.885,TRUE,https://www.wikidata.org/wiki/Q5404320
ethnicities,Q3707278,"bangsa, malaysia, malaysian, policy, advocating, ethnicity, represented, national, culture",0.872,TRUE,https://www.wikidata.org/wiki/Q3707278
ethnicities,Q112934212,"influence, shifting, pacific, identity, learning, experience, parent, raising, child, mixed, pacific, ethnicity, thesis, thesis, rachael, violeti, leafe, massey, university",0.866,TRUE,https://www.wikidata.org/wiki/Q112934212
ethnicities,Q110147908,"political, affiliation, database, political, affiliation, database, plad, database, information, birthplace, ethnicity, political, leader",0.842,TRUE,https://www.wikidata.org/wiki/Q110147908
ethnicities,Q25048776,"ethnicity, philippine, cordilleras, ethnic, group, people, cordillera, mountain, range",0.839,TRUE,https://www.wikidata.org/wiki/Q25048776
ethnicities,Q16320185,"celt, celtic, people, modern, celtic, people, modern, celt, modern, group, ethnicity, share, celtic, language, culture",0.834,TRUE,https://www.wikidata.org/wiki/Q16320185
ethnicities,Q1362473,"ethnic, bioweapon, biogenetic, weapon, type, theoretical, bioweapon, aim, harm, primarily, people, specific, ethnicity, genotype",0.827,TRUE,https://www.wikidata.org/wiki/Q1362473
ethnicities,Q704501,"sergey, uvarov, count, sergey, semionovich, uvarov, sergey, semionovich, uvarov, russian, noble, classical, scholar, formulated, famous, doctrine, autocracy, united, many, ethnicity",0.826,TRUE,https://www.wikidata.org/wiki/Q704501
ethnicities,Q5450894,"finno, ugrian, suicide, hypothesis, hypothesis, link, genetic, tie, originating, among, finno, ugric, culture, ethnicity, high, rate, suicide",0.812,TRUE,https://www.wikidata.org/wiki/Q5450894
ethnicities,Q112947085,"wong, kito, galo, nation, clump, ethnicity, native, southeast, sumatra, indonesia",0.777,TRUE,https://www.wikidata.org/wiki/Q112947085
ethnicity,Q113465752,"cultural, identity, cg, identification, sense, belonging, particular, group, based, various, cultural, category, including, nationality, race, gender",0.944,TRUE,https://www.wikidata.org/wiki/Q113465752
ethnicity,Q7604529,"status, group, group, people, within, society, differentiated, basis, non, economic, quality, honour, prestige, race, religion",0.914,TRUE,https://www.wikidata.org/wiki/Q7604529
ethnicity,Q89668650,"intercultural, relationship, multicultural, relationship, transcultural, relationship, intimate, relationship, person, different, nationality, culture",0.9,TRUE,https://www.wikidata.org/wiki/Q89668650
ethnicity,Q637251,"ethnic, nationalism, ethno, nationalism, ethnicism, form, nationalism, wherein, defined, term",0.9,TRUE,https://www.wikidata.org/wiki/Q637251
ethnicity,Q5404323,"property, theory, ethnic, background",0.898,TRUE,https://www.wikidata.org/wiki/Q5404323
ethnicity,Q96195578,"racial, ethnic, socialization, re, racial, ethnic, socialization, racial, socialization, ethinic, socialization, ethnic, racial, socialization, racial, ethnic, socialization, ethnic, racial, socialization, r, e, teaching, reality, race, society, youth",0.893,TRUE,https://www.wikidata.org/wiki/Q96195578
ethnicity,Q111972519,"ethnic, gender, group, social, group, people, share, gender",0.884,TRUE,https://www.wikidata.org/wiki/Q111972519
ethnicity,Q59581366,"movement, asian, swahili, identity, impact, tourism, construction, community, gender, relation, zanzibar, town, thesis, doctoral, thesis, akbar, abdulali, keshodkar",0.881,TRUE,https://www.wikidata.org/wiki/Q59581366
ethnicity,Q1189816,"ethnic, religion, ethnoreligion, indigenous, religion, religion, defined, adherent",0.88,TRUE,https://www.wikidata.org/wiki/Q1189816
ethnicity,Q4533081,"ethnolinguistic, group, ethno, linguistic, group, group, unified, common, language",0.875,TRUE,https://www.wikidata.org/wiki/Q4533081
first world,Q876830,"first, world, classification, system, group, conceptual, country, classification",0.958,TRUE,https://www.wikidata.org/wiki/Q876830
first world,Q112890352,"contribution, first, world, city, region, global, sustainability, case, transboundary, externality, planning, auckland, new, zealand, doctoral, thesis, contribution, first, world, city, region, global, case, transboundary, externality, planning, auckland, new, zealand, doctoral, thesis, nathaniel, caramat, landingin, university, auckland",0.908,TRUE,https://www.wikidata.org/wiki/Q112890352
first world,Q5362123,"first, world, problem, internet, meme, notion, problem, first, world, problem, frustration, experienced, privileged, person, first, world, country",0.899,TRUE,https://www.wikidata.org/wiki/Q5362123
first world,Q5454266,"first, world, privilege, unearned, advantage, gained, national, first, world, country",0.895,TRUE,https://www.wikidata.org/wiki/Q5454266
first world,Q85816262,"regionialism, regional, architectural, style, inspired, local, material, technique, design, frequently, applied, reconstruction, first, world, war",0.873,FALSE,https://www.wikidata.org/wiki/Q85816262
first world,Q100097293,"persia, creating, new, context, understanding, emergence, first, world, empire, research, grant, research, project, persia, babylonia, eu, funded, research, project",0.873,TRUE,https://www.wikidata.org/wiki/Q100097293
first world,Q5454096,"first, world, konkani, convention",0.873,FALSE,https://www.wikidata.org/wiki/Q5454096
first world,Q104915635,"official, british, propaganda, allied, neutral, country, first, world, war, particular, reference, organisation, method, thesis, mphil, thesis, michael, lewis, sander",0.871,FALSE,https://www.wikidata.org/wiki/Q104915635
first world,Q64735564,"çanakkale, dardanelles, gelibolu, gallipoli, battle, zone, first, world, war, group, structure, building, tentative, world, heritage, site, turkey",0.86,FALSE,https://www.wikidata.org/wiki/Q64735564
first world,Q16930872,"europeana, project, digitise, publish, primary, secondary, historical, source, first, world, war",0.86,FALSE,https://www.wikidata.org/wiki/Q16930872
footman,Q49638341,"island, island, island, strafford, county, new, hampshire, united, state, america",0.613,FALSE,https://www.wikidata.org/wiki/Q49638341
footman,Q19912727,"sleeping, painting, painting, charles, bargue",0.604,FALSE,https://www.wikidata.org/wiki/Q19912727
footman,Q63486481,"operatic, character, fictional, human, operatic, character, opera, vanessa, samuel, barber",0.597,TRUE,https://www.wikidata.org/wiki/Q63486481
footman,Q897404,"berlin, berline, type, covered, fast, light, four, wheeled, travelling, horse, carriage, two, interior, seat, separate, hooded, rear, seat, detached, body",0.586,TRUE,https://www.wikidata.org/wiki/Q897404
footman,Q55033563,"operatic, character, fictional, human, operatic, character, opera, irrelohe, franz, schreker",0.581,TRUE,https://www.wikidata.org/wiki/Q55033563
footman,Q107794240,"u, colored, infantry, misc, camble, collection, file, unit, national, archive, record, holding",0.576,FALSE,https://www.wikidata.org/wiki/Q107794240
footman,Q26471830,"statue, running, south, end, theatre, garden, bury, grid, reference, tl, statue, statue, walden, north, hertfordshire, hertfordshire, uk",0.575,TRUE,https://www.wikidata.org/wiki/Q26471830
footman,Q5247283,"death, dancing, literary, work, book, ngaio, marsh",0.568,TRUE,https://www.wikidata.org/wiki/Q5247283
footman,Q107865522,"u, colored, amos, collection, file, unit, national, archive, record, holding, naid",0.539,FALSE,https://www.wikidata.org/wiki/Q107865522
footman,Q63884271,"fictional, human, musical, theatre, character, musical, character, musical, cinder, ellen, late",0.531,TRUE,https://www.wikidata.org/wiki/Q63884271
footmen,Q52270723,"pamela, flying, coach, lady, davers, sends, two, footman, stop, samuel, virtue, rewarded, vauxhall, supper, box, picture, painting, painting, francis, hayman, ra",0.687,TRUE,https://www.wikidata.org/wiki/Q52270723
footmen,Q63883739,"musical, character, musical, bluebell, fairyland, walter, also, reigning, king, queen",0.646,TRUE,https://www.wikidata.org/wiki/Q63883739
footmen,Q60481736,"charioteer, riding, rocky, landscape, entourage, footman, musician, page, razm, nama, book, war, adapted, sanskrit, mahabharata, translated, persian, mir, ghiyath, al, din, ali, qazvini, known, naqib, khan, p, painting, painting, yusuf, ali, indian, active, early",0.622,TRUE,https://www.wikidata.org/wiki/Q60481736
footmen,Q63526989,"ball, guest, operatic, character, opera, lady, royal, footman",0.61,TRUE,https://www.wikidata.org/wiki/Q63526989
footmen,Q114761400,"battle, dutch, horseman, spanish, footman, painting, painting, paulus, van, hillegaert",0.581,TRUE,https://www.wikidata.org/wiki/Q114761400
footmen,Q63892545,"footman, guest, gibson, girl, bridesmaid, fictional, human, musical, theatre, character, musical, character, musical, catch, season, herbert, haines",0.548,TRUE,https://www.wikidata.org/wiki/Q63892545
footmen,Q80004651,"combat, horseman, footman, print, print, hieronymous, hopfer, german",0.461,TRUE,https://www.wikidata.org/wiki/Q80004651
footmen,Q65085160,"direction, footman, print, print, national, gallery, art, nga",0.453,TRUE,https://www.wikidata.org/wiki/Q65085160
footmen,Q97788384,"direction, footman, print, print, thomas, rowlandson, met",0.421,TRUE,https://www.wikidata.org/wiki/Q97788384
footmen,Q97788386,"direction, footman, print, print, thomas, rowlandson, met",0.421,TRUE,https://www.wikidata.org/wiki/Q97788386
gay,Q2035068,"homosexuality, lutheranism, lutheranism, homosexuality, lesbian, sexuality, lutheranism",0.903,TRUE,https://www.wikidata.org/wiki/Q2035068
gay,Q17010038,"homosexuality, methodism, methodism, homosexuality, lesbian, sexuality, methodism",0.903,TRUE,https://www.wikidata.org/wiki/Q17010038
gay,Q40246,"gaydar, colloquialism, referring, intuitive, ability, person, ass, sexual, orientation, bisexual, heterosexual",0.899,TRUE,https://www.wikidata.org/wiki/Q40246
gay,Q17015701,"sexual, practice, homosexual, sexual, practice, sex, sex, men, sexual, activity, involving, men, sex, men, regardless, sexual, orientation, sexual, identity",0.892,TRUE,https://www.wikidata.org/wiki/Q17015701
gay,Q111823010,"lgb, lesbian, bisexual, person",0.887,TRUE,https://www.wikidata.org/wiki/Q111823010
gay,Q17884,"lgbt, glbt, lgbti, lgbtiq, lgbtq, lgb, quiltbag, lgbtqia, lgbtqiapn, lgbt, person, lgbt, people, lgbtq, person, lgbtq, people, glbt, person, glbt, people, queer, person, sexual, gender, minority, sexual, gender, minority, queer, people, lgbt, person, lgbtq, person, glbt, person, queer, person, lgbta, non, heterosexual, people, non, heterosexual, person, non, heterosexual, person, non, heterosexual, non, heterosexual, lesbian, bisexual, transgender, person",0.881,TRUE,https://www.wikidata.org/wiki/Q17884
gay,Q51424,"lgbt, stereotype, conventional, formulaic, generalization, opinion, image, lesbian, bisexual, transgender, lgbt, people",0.871,TRUE,https://www.wikidata.org/wiki/Q51424
gay,Q5504229,"friend, lesbian, bisexual, transgender, queer, concern, christian, organization",0.866,TRUE,https://www.wikidata.org/wiki/Q5504229
gay,Q5207989,"daddy, daddy, slang, term, culture, meaning, older, man, sexually, involved, relationship, sexual, interest, younger, man",0.864,TRUE,https://www.wikidata.org/wiki/Q5207989
gay,Q1065098,"homosexuality, anglican, communion, homosexuality, anglicanism, anglicanism, homosexuality, anglican, communion, homosexuality, lesbian, sexuality, anglican, communion",0.864,TRUE,https://www.wikidata.org/wiki/Q1065098
gayer,Q75889321,"france, dobbs, human, france, peerage, person",0.641,FALSE,https://www.wikidata.org/wiki/Q75889321
gayer,Q75907417,"agnes, echlin, human, agnes, peerage, person",0.636,FALSE,https://www.wikidata.org/wiki/Q75907417
gayer,Q99057528,"edmund, richard, biographical, article, entry, men, bar",0.517,FALSE,https://www.wikidata.org/wiki/Q99057528
gayer,Q75377183,"marilyn, emma, margaret, will, human, marilyn, will, marilyn",0.501,FALSE,https://www.wikidata.org/wiki/Q75377183
gayer,Q1031241,"gyula, gáyer, human, gyula, gyula, julius, gáyer, gáyer, julius, gáyer, botanist",0.418,FALSE,https://www.wikidata.org/wiki/Q1031241
gayer,Q19042276,"john, biographical, article, entry, dictionary, national, biography",0.401,FALSE,https://www.wikidata.org/wiki/Q19042276
gayer,Q19042285,"john, biographical, article, entry, dictionary, national, biography",0.401,FALSE,https://www.wikidata.org/wiki/Q19042285
gayer,Q19042266,"arthur, edward, biographical, article, entry, dictionary, national, biography",0.398,FALSE,https://www.wikidata.org/wiki/Q19042266
gayer,Q110550290,"william, biographical, article, entry, alumnus, member, university, oxford",0.394,FALSE,https://www.wikidata.org/wiki/Q110550290
gayer,Q5528757,"family, name, family, name",0.379,FALSE,https://www.wikidata.org/wiki/Q5528757
gayest,Q5528629,"time, jonny, mcgovern, podcast, gay, jonny, mcgovern, english, lgbtq, audio, podcast",0.511,TRUE,https://www.wikidata.org/wiki/Q5528629
gayest,Q3312937,"miguel, angel, garcia, human, miguel, angel, garcia, cortez, miguel, ángel, garcía, mikey, garcia, american, boxer",0.335,FALSE,https://www.wikidata.org/wiki/Q3312937
gays,Q701161,"hirschfeld, eddy, foundation, german, foundation, human, right, lesbian, gay, bisexual, transgender, people",0.878,TRUE,https://www.wikidata.org/wiki/Q701161
gays,Q5770369,"homonormativity, cishomonormativity, assimilation, heteronormative, ideal, institution, gay, lesbian",0.862,TRUE,https://www.wikidata.org/wiki/Q5770369
gays,Q112776353,"gay, gray, münchen, gay, gray, münchen, association, self, help, leisure, group, older, gay",0.835,TRUE,https://www.wikidata.org/wiki/Q112776353
gays,Q108737944,"gay, lgbt, slang, gay, gay, list, gay, gay, gay, class, gay, people, considered, money, power",0.834,TRUE,https://www.wikidata.org/wiki/Q108737944
gays,Q26253154,"röda, bögar, political, organization, red, gay, socialist, organization, gay, men",0.824,TRUE,https://www.wikidata.org/wiki/Q26253154
gays,Q8962884,"front, gay, liberation, catalonia, catalan, organization, gay, lesbian",0.823,TRUE,https://www.wikidata.org/wiki/Q8962884
gays,Q5432993,"family, friend, lesbian, gay, organization",0.821,TRUE,https://www.wikidata.org/wiki/Q5432993
gays,Q5098454,"child, lesbian, gay, everywhere, right, organization, virtual, organization, colage, organization",0.792,TRUE,https://www.wikidata.org/wiki/Q5098454
gays,Q16200616,"paulette, goodman, president, parent, friend, family, lesbian, gay, pflag",0.789,TRUE,https://www.wikidata.org/wiki/Q16200616
gays,Q60723854,"rainbow, association, right, gay, voluntary, association, defunct, gay, right, association, hungary",0.781,TRUE,https://www.wikidata.org/wiki/Q60723854
gypsies,Q875651,"traveller, ethnic, group, itinerant, group, europe, gypsy, pavee, mink, pickies, irish, traveller, traditionally, nomadic, people, ethnic, irish, origin",0.853,TRUE,https://www.wikidata.org/wiki/Q875651
gypsies,Q17150753,"itinerant, group, europe, ethnic, group, itinerant, group, europe, european, itinerant, group, traveler, traveller, gypsy, traditionally, nomadic, group, europe",0.798,TRUE,https://www.wikidata.org/wiki/Q17150753
gypsies,Q7437768,"scottish, gypsy, traveller, group, people, scotland, loosely, termed, gypsy, traveller",0.796,TRUE,https://www.wikidata.org/wiki/Q7437768
gypsies,Q8060,"romani, ethnic, group, itinerant, group, europe, indo, aryan, people, gipsy, rrom, tzigan, rroma, gypsy, rom, romany, romani, people, rom, people, gypsy, indo, aryan, ethnic, group",0.794,TRUE,https://www.wikidata.org/wiki/Q8060
gypsies,Q105395324,"sónia, matos, gypsy, socio, cultural, mediatorfounder, president, associationfor, development, portuguese, gypsy",0.772,TRUE,https://www.wikidata.org/wiki/Q105395324
gypsies,Q110922133,"sea, gypsy, ethnic, group, indigenous, people, sea, nomad, sea, gypsy, sea, nomad, seafarer, mořští, nomádi, three, four, ethnolinguistic, group, southeast, asia, combined, one, ethnic, category",0.75,TRUE,https://www.wikidata.org/wiki/Q110922133
gypsies,Q52153180,"extensive, woody, landscape, gypsy, telling, fortune, painting, painting, attributed, jacques",0.743,TRUE,https://www.wikidata.org/wiki/Q52153180
gypsies,Q23009058,"gypsy, common, painting, painting, maria, katharina, prestel",0.735,TRUE,https://www.wikidata.org/wiki/Q23009058
gypsies,Q1976511,"lom, people, ethnic, group, bosha, armenian, gypsy, caucasian, gypsy, ethnic, group, transcaucasia",0.733,TRUE,https://www.wikidata.org/wiki/Q1976511
gypsies,Q104528540,"four, gypsy, child, one, telling, peasant, fortune, painting, painting, david, teniers",0.733,TRUE,https://www.wikidata.org/wiki/Q104528540
gypsy,Q104867069,"white, irish, traveller, ethnicity, classification, used, united, kingdom, census",0.815,TRUE,https://www.wikidata.org/wiki/Q104867069
gypsy,Q108531492,"budapest, social, cultural, methodological, institution, organization, romano, kher, metropolitan, municipality, house",0.812,TRUE,https://www.wikidata.org/wiki/Q108531492
gypsy,Q51412682,"moth, management, united, state, cooperative, approach, final, environmental, impact, statement, publication, radnor, pa, agriculture, forest, service, northeastern, area, state, privat",0.799,FALSE,https://www.wikidata.org/wiki/Q51412682
gypsy,Q51521182,"predicting, rate, change, timber, value, forest, stand, infested, moth, publication, agriculture, forest, service, northeastern, forest, experiment, department, agriculture, national",0.793,FALSE,https://www.wikidata.org/wiki/Q51521182
gypsy,Q5625373,"moth, united, state, spread, invasive, specie, north, america",0.791,FALSE,https://www.wikidata.org/wiki/Q5625373
gypsy,Q49940536,"creek, natural, watercourse, natural, watercourse, trinity, county, california, united, state, america",0.79,FALSE,https://www.wikidata.org/wiki/Q49940536
gypsy,Q105395491,"toya, prudêncio, sónia, prudêncio, ethnic, activist, portuguese, dedicated, fight, discrimination, defending, social, recognized, dedication, defending, human",0.787,TRUE,https://www.wikidata.org/wiki/Q105395491
gypsy,Q51485942,"brown, tail, moth, control, publication, washington, department, agriculture, national, agricultural, library, view, book",0.774,FALSE,https://www.wikidata.org/wiki/Q51485942
gypsy,Q49945307,"creek, natural, watercourse, natural, watercourse, idaho, county, idaho, united, state, america",0.773,FALSE,https://www.wikidata.org/wiki/Q49945307
gypsy,Q12766588,"spirit, project, project, improve, situation, romani, people, slovakia",0.773,TRUE,https://www.wikidata.org/wiki/Q12766588
gypsys,Q4636510,"melancholy, gypsy, musical, group, american, hip, hop, group",0.559,FALSE,https://www.wikidata.org/wiki/Q4636510
gypsys,Q18640459,"gypsy, gift, musical, group, musical, artist",0.556,FALSE,https://www.wikidata.org/wiki/Q18640459
gypsys,Q4854258,"band, gypsy, written, work, book, gwyneth, jones",0.529,FALSE,https://www.wikidata.org/wiki/Q4854258
gypsys,Q8287763,"gypsy, member, wikimedia, category, wikimedia, category",0.518,FALSE,https://www.wikidata.org/wiki/Q8287763
gypsys,Q3038098,"distress, gypsy, rhapsodie",0.516,FALSE,https://www.wikidata.org/wiki/Q3038098
gypsys,Q21963911,"gypsy, hill, mountain, hill, mountain, australia",0.464,FALSE,https://www.wikidata.org/wiki/Q21963911
gypsys,Q13581327,"band, gypsy, musical, group, band, founded, jimi, hendrix",0.449,FALSE,https://www.wikidata.org/wiki/Q13581327
gypsys,Q56292350,"band, gypsy, rock, group",0.433,FALSE,https://www.wikidata.org/wiki/Q56292350
gypsys,Q5625379,"gypsy, tramp, thief, single, single, cher",0.377,FALSE,https://www.wikidata.org/wiki/Q5625379
gypsys,Q3233136,"le, gypsy, musical, group",0.344,FALSE,https://www.wikidata.org/wiki/Q3233136
half-breed,Q17144151,"half, breed, obsolete, term, mixed, native, american, european, ancestry",0.963,TRUE,https://www.wikidata.org/wiki/Q17144151
half-breed,Q6990906,"nemaha, half, breed, reservation, indian, reservation, united, state, place, nebraska, united, state",0.808,TRUE,https://www.wikidata.org/wiki/Q6990906
half-breed,Q66196096,"paper, relating, application, morgan, weir, locate, sioux, mixed, blood, land, western, michigan, using, sioux, half, breed, scrip, naid, collection, series, national, archive, record, holding",0.8,TRUE,https://www.wikidata.org/wiki/Q66196096
half-breed,Q59935951,"abstract, claim, allotment, nemaha, half, breed, reserve, naid, collection, series, national, archive, record, holding",0.8,TRUE,https://www.wikidata.org/wiki/Q59935951
half-breed,Q59935954,"list, allotted, unallotted, mixed, blood, nemaha, half, breed, reserve, naid, collection, series, national, archive, record, holding",0.789,TRUE,https://www.wikidata.org/wiki/Q59935954
half-breed,Q49497182,"half, breed, tract, historical, marker, commemorative, plaque, park, nemaha, county, nebraska, united, state, america",0.785,FALSE,https://www.wikidata.org/wiki/Q49497182
half-breed,Q59935953,"allotment, certificate, stub, nemaha, half, breed, reserve, naid, collection, series, national, archive, record, holding",0.783,TRUE,https://www.wikidata.org/wiki/Q59935953
half-breed,Q64402298,"abstract, sioux, half, breed, scrip, dakota, naid, collection, series, national, archive, record, holding",0.781,TRUE,https://www.wikidata.org/wiki/Q64402298
half-breed,Q59935215,"roll, claimant, allotment, nemaha, half, breed, reserve, naid, collection, series, national, archive, record, holding",0.78,TRUE,https://www.wikidata.org/wiki/Q59935215
half-breed,Q59935943,"schedule, mixed, blood, entitled, participate, distribution, fund, nemaha, half, breed, reservation, naid, collection, series, national, archive, record, holding",0.78,TRUE,https://www.wikidata.org/wiki/Q59935943
half-breeds,Q3024207,"half, breed, venus, literary, work, short, story, isaac, asimov",0.735,FALSE,https://www.wikidata.org/wiki/Q3024207
handicap,Q12131,"disability, property, physical, impairment, activity, limitation, participation, restriction",0.931,TRUE,https://www.wikidata.org/wiki/Q12131
handicap,Q64847362,"disability, evaluation, determination, degree, physical, mental, emotional",0.886,TRUE,https://www.wikidata.org/wiki/Q64847362
handicap,Q5508820,"functional, diversity, term, special, need, disability, impairment",0.878,TRUE,https://www.wikidata.org/wiki/Q5508820
handicap,Q112889444,"hearing, loss, disability, elderly, experience, hearing, loss, thesis, thesis, sally, crook, university, auckland",0.826,TRUE,https://www.wikidata.org/wiki/Q112889444
handicap,Q87930723,"italian, translation, transcultural, validation, two, tool, assessing, participation, stroke, frenchay, activity, index, walking, classification, faiwhc, clinical, trial, clinical, trial",0.805,TRUE,https://www.wikidata.org/wiki/Q87930723
handicap,Q76652377,"report, profound, special, need, sub, group, wale, advisory, panel, development, service, mentally, handicapped, people, version, edition, translation, published",0.792,TRUE,https://www.wikidata.org/wiki/Q76652377
handicap,Q1575043,"golf, handicapping, numerical, measure, potential, playing, ability",0.779,FALSE,https://www.wikidata.org/wiki/Q1575043
handicap,Q63817401,"relationship, hearing, threshold, time, treatment, seeking, clinical, trial, clinical, trial",0.779,TRUE,https://www.wikidata.org/wiki/Q63817401
handicap,Q104989528,"trecare, nh, trust, nh, trust, cornwall, isle, scilly, learning, disability, national, health, service, trust, trecare, national, health, service, trust, cornwall, isle, scilly, learning, disability, nh, trust, cornwall, isle, scilly, mental, national, health, service, trust, cornwall, isle, scilly, mental, nh, trust, uk, public, sector, healthcare, provider, cornwall, isle, scilly, england",0.771,TRUE,https://www.wikidata.org/wiki/Q104989528
handicap,Q57622943,"clause, abortion, act, healthcare, interpretation, ground, termination, pregnancy, doctoral, thesis, doctoral, thesis",0.77,TRUE,https://www.wikidata.org/wiki/Q57622943
handicaps,Q7669399,"tash, nonprofit, organization, american, association, education, severely, profoundly, handicapped, aaesph, association, severely, handicapped, association, person, severe, handicap, american, disability, advocacy, association",0.841,TRUE,https://www.wikidata.org/wiki/Q7669399
handicaps,Q61965765,"reduction, prevention, seizure, occurrence, exposure, auditory, stimulation, individual, neurological, handicap, clinical, trial, clinical, trial",0.836,TRUE,https://www.wikidata.org/wiki/Q61965765
handicaps,Q108563084,"bonner, testing, commitment, aid, individual, handicap, article",0.82,TRUE,https://www.wikidata.org/wiki/Q108563084
handicaps,Q77213109,"social, activity, centre, people, mental, handicap, dyfed, report, inspection, july, written, work, book, work",0.808,TRUE,https://www.wikidata.org/wiki/Q77213109
handicaps,Q51780079,"epidemiology, public, health, analysis, risk, chronic, disease, handicap, laboratory",0.801,TRUE,https://www.wikidata.org/wiki/Q51780079
handicaps,Q77212716,"service, adult, training, centre, people, mental, handicap, powys, report, inspection, november, written, work, book, work",0.796,TRUE,https://www.wikidata.org/wiki/Q77212716
handicaps,Q76745214,"social, activity, centre, people, mental, handicap, dyfed, report, inspection, july, version, edition, translation, published",0.784,TRUE,https://www.wikidata.org/wiki/Q76745214
handicaps,Q112882417,"engagement, music, therapy, detailed, study, communication, therapist, client, presenting, severe, multiple, handicap, thesis, engagement, music, detailed, study, communication, therapist, client, presenting, severe, multiple, handicap, thesis, miona, stamenovic, new, zealand, school, music",0.784,TRUE,https://www.wikidata.org/wiki/Q112882417
handicaps,Q77187860,"wale, advisory, panel, development, service, people, mental, handicap, report, progress, written, work, book, work",0.782,TRUE,https://www.wikidata.org/wiki/Q77187860
handicaps,Q77212710,"service, younger, people, physical, handicap, west, glamorgan, report, inspection, june, written, work, book, work",0.778,TRUE,https://www.wikidata.org/wiki/Q77212710
hermaphrodite,Q104717073,"intersex, person, gender, identity, gender, minority, intersex, organism, human, intersexual, person, intersexed, person, intersex, people, hermaphroditic, person, individual, intersex, identified, person, intersexual, person, ambiguous, genitalia, person, intersex, condition, intersex, individual, intersex, human, person, intersex, variation, intersex, person, person, born, several, variation, sex, characteristic, including, chromosome, gonad, sex, hormone, genitals, fit, typical, definition, male, female, body",0.95,TRUE,https://www.wikidata.org/wiki/Q104717073
hermaphrodite,Q303479,"sex, organism, intersex, organism, complete, partial, male, female, reproductive, organ",0.94,TRUE,https://www.wikidata.org/wiki/Q303479
hermaphrodite,Q22294367,"masculinization, soma, biological, process, somatic, sex, determination, promotion, male, sex, sexual, phenotype, hermaphroditic, nematode, example, found, caenorhabditis",0.894,TRUE,https://www.wikidata.org/wiki/Q22294367
hermaphrodite,Q22294368,"feminization, soma, biological, process, somatic, sex, determination, promotion, female, sex, sexual, phenotype, hermaphroditic, example, found, caenorhabditis",0.893,TRUE,https://www.wikidata.org/wiki/Q22294368
hermaphrodite,Q22294371,"masculinization, hermaphroditic, germ, line, determination, male, sex, sexual, phenotype, germ, line, example, found, caenorhabditis",0.867,TRUE,https://www.wikidata.org/wiki/Q22294371
hermaphrodite,Q22294366,"somatic, sex, determination, biological, process, somatic, sex, determination, determination, sex, sexual, phenotype, hermaphroditic, example, found, caenorhabditis",0.856,TRUE,https://www.wikidata.org/wiki/Q22294366
hermaphrodite,Q22294707,"spicule, insertion, insertion, male, copulatory, spicule, spicule, insertion, behavior, initiate, male, cloaca, contact, mating, encounter, spicule, tip, prod, vulva, continuously, partially, pene",0.836,TRUE,https://www.wikidata.org/wiki/Q22294707
hermaphrodite,Q22294370,"feminization, hermaphroditic, germ, line, determination, female, sex, sexual, phenotype, germ, line",0.83,TRUE,https://www.wikidata.org/wiki/Q22294370
hermaphrodite,Q22294706,"response, contact, biological, process, male, mating, behavior, response, male, initial, contact, following, mate, male, stop, forward, locomotion, press, ventral, side, tail, body, begin, moving, backward, along, male, re",0.825,TRUE,https://www.wikidata.org/wiki/Q22294706
hermaphrodite,Q22294369,"germ, line, sex, determination, biological, process, germ, line, sex, determination, determination, sex, sexual, phenotype, germ, line",0.808,TRUE,https://www.wikidata.org/wiki/Q22294369
hermaphrodites,Q104865018,"trioecy, presence, male, female, hermaphrodite, population",0.856,TRUE,https://www.wikidata.org/wiki/Q104865018
hermaphrodites,Q19071030,"intrigue, hermaphrodite, masculine, female",0.742,TRUE,https://www.wikidata.org/wiki/Q19071030
hermaphrodites,Q29259740,"hermaphrodite, attitude, academic, journal, hermaphrodite, attitude, journal",0.601,TRUE,https://www.wikidata.org/wiki/Q29259740
hermaphrodites,Q55920120,"hermaphrodite, deity, wikimedia, category, wikimedia, category",0.529,TRUE,https://www.wikidata.org/wiki/Q55920120
hermaphrodites,Q8447813,"androgyne, wikimedia, category, hermaphrodite, wikimedia, category",0.523,TRUE,https://www.wikidata.org/wiki/Q8447813
homosexual,Q3242821,"sex, relationship, intimate, relationship, interpersonal, relationship, gay, relationship, relationship, lesbian, relationship, romantic, sexual, relationship, people, sex",0.888,TRUE,https://www.wikidata.org/wiki/Q3242821
homosexual,Q116185205,"sexual, practice, human, sexual, behavior, sexual, relationship, two, people, gender",0.877,TRUE,https://www.wikidata.org/wiki/Q116185205
homosexual,Q2256824,"gay, skinhead, queerskin, gayskin, person, identifies, skinhead, subculture",0.865,TRUE,https://www.wikidata.org/wiki/Q2256824
homosexual,Q18349935,"transsexual, transgender, hsts, hsts, hsts, transsexual, exclusively, attracted, assigned, sex",0.857,TRUE,https://www.wikidata.org/wiki/Q18349935
