term,source_1,source_2,source_3,wm
third world,"['Third World', 'group']","['emerging nations', 'Third World', 'Refers to countries with low per capita income and an undeveloped industrial base relative to other countries.', 'countries, developing', 'developing country', 'less-developed countries', 'developing countries', 'developing nations', 'LDCs', 'least-developed countries']",[],"['While still used in everyday speech, the term “Third World” is regarded as a vestige of Cold War politics, when the world was divided into three groups based on political and economic orientations or alliances. “First World” describes the United States and its allies, including Japan, Canada and countries in Western Europe, while nations that were part of the Communist Bloc, including China, USSR, Cuba and countries in Eastern Europe comprised the “Second World.” The term was first used (Alfred Akfred Sauvy 1952) to describe countries that were politically aligned with neither the First nor the Second worlds. “Third World” also became an economic categorization, used to refer to the poorest countries and regions of the world. This included countries in Asia, Africa, Latin America and the Caribbean, many of which were formerly colonized by Europe. An increasing number of people agree that the term is no longer appropriate, as it is not an accurate description of the complexity of the world and because it reinforces a division of the world into Western superiority and non-Western inferiority.', 'The West is an ideological, historical, economic and geographical concept, the meaning of which has shifted over time. The term represents both a mental and physical division of the world that categorizes and contrasts people, cultures, religions and regions, placing them in a hierarchy. It is often contrasted with “niet-Westers” (not Western). Other terms with similar connotations include “Third World” (see also “Third World”), “developed”/”undeveloped,” etc.']"
medicine man,"['profession', 'healer', 'medicine man', 'religious leader']",[],[],"['The term “Medicine Man” is used to describe traditional or spiritual healers among some indigenous peoples in different parts of the world. Skilled in the healing powers of natural/herbal remedies, these persons are highly respected members of their communities. Traditional healers are consulted to heal both physical and mental illnesses of individuals and the social, cultural or environmental issues within a community. The figure of the medicine man has been represented in numerous films, novels and other popular media often in sensational and eroticizing terms. Such representations have denied the complexity of the knowledge associated with healing, as well as the important role traditional healers played in many societies. Within the last few decades the term has been regarded by many as pejorative.']"
hermaphrodite,"['organism', 'sex', 'hermaphrodite', 'intersex']","[""People that are born with both male and female sex organs. Historically the term 'hermaphrodite' has been used in this context, but now prefer 'intersex people'. Reserve use of the term 'hermaphrodite' for the context of organisms that can produce both gametes associated with male and female sexes."", 'intersexual (people)', 'intersexuals', 'hermaphrodite (person)', 'hermaphrodites (people)', 'intersex people']","['hermaphrodite', 'epicene_person', 'androgyne', 'gynandromorph', 'epicene', 'intersex', 'one having both male and female sexual characteristics and organs; at birth an unambiguous assignment of male or female cannot be made']",['“Hermaphrodite” is regarded as outdated and stigmatizing term that pathologizes people born with sexual organs from both sexes (see article Steinbock).']
half-breed,['Half-breed'],[],"['an offensive term for an offspring of parents of different racial group (especially of Caucasian and American Indian ancestry)', 'half-breed']","['This term, like “full blood” and “half-breed,” emerged in association with 18th- and 19th-century ideas of racial difference. In this period, racial sciences, based on the idea of biologically different races, were at their peak (see also “Race”). Blood, it was thought then, was also regarded as carrying hierarchical traits, with some blood being superior to others. The term is usually applied to someone of mixed White European and Non-White descent. This term is similar to other terms (in this list) such as “mulatto” and “mestizo”.']"
maroon,[],"['Style and culture of a community or group of formerly enslaved Africans and Amerindian peoples and their descendants who fled, resisted, or rebelled against enslavement and found freedom in remote regions near where they had been forcibly relocated. Many of these groups have survived in the Caribbean and the Americas. Note that this community of people did not originally refer to themselves as “Maroon,” though some of their contemporary descendants have adopted the term, while others may consider it pejorative.', 'Maroon', 'maroon']",[],"['In Dutch, this term originates from the two terms “bosch,” meaning “wild land” and “neger” (see also “Negro”). It was a pejorative term for Africans (and their descendants) who escaped from slavery in Suriname and the Guyanas and settled in inaccessible, interior/mountainous regions, from which they fought against colonization. Some people in Suriname and the Netherlands still use the term interchangeably with “Maroon” and “Boslandcreool” While the term “Maroon” is itself contested, there is broader popular and academic agreement about its appropriateness. (see also “Maroon”).', 'The term “Maroon” is used to refer to Africans (and their descendants) who escaped from slavery in the Americas, and settled in the inaccessible, interior/mountainous regions. The term itself derives from the 16th-century Spanish word “cimarrón,” meaning runaway cattle and is, thus, regarded by some as derogatory. Simultaneously, however, the term is used as one of empowerment as the Maroons have been celebrated as a symbol for the continuous resistance to colonialism. These differing views add some complexity to the use of the term. While in Suriname the term is accepted by some and not by others, in Jamaica, for example, there is more unanimity about the positive use of the term.']"
southern rhodesia,"['colony', 'crown colony', 'Southern Rhodesia']",[],[],"['Bombay is the colonial toponym—the name given to a geographic place under colonial rule—for the Indian city of Mumbai. The term was first used in the 16th century. The renaming of places is a common occurrence, both historically and in the present, often resulting from different political shifts over time. This was an important ideological practice, both during the colonial period and during decolonization. This practice continues today. On claiming territory, colonizers named cities and towns after important people or after their own places. Renaming—either restoring earlier names or creating new names— was an important practice for newly formed nations in the decolonization process. The use of names that were assigned under colonization can be painful for some, as a legacy of colonialism. The city of Mumbai continued to be called Bombay until long after independence but was officially changed in 1995. Calcutta (now Kolkata) and Chennai (Madras) are similar colonial toponyms that were Anglicized during the colonial period. Other contested colonial toponyms include: Jakarta (formerly Batavia), Myanmar (formerly Burma) and Zimbabwe (Southern Rhodesia).']"
immigrant,"['immigrant', 'migrant']","['immigrants', 'immigrant', ""immigrants'"", ""immigrant's"", 'People who enter a country or region from another to settle there. For those who depart from their native or usual country or region to live elsewhere, use ""emigrants.""']","['a person who comes to a country where they were not born in order to settle there', 'immigrant']","['Allochtoon entered the Dutch language in the 20th century as a geological term. The term, which literally means “from another soil/location” (antonym autochtoon) was introduced as an identity category in the Netherlands in the 1970s to replace “immigrant,” which by that time had started to develop negative connotations. While the term itself was intended to be generic and to describe anyone born outside or with one parent born outside the Netherlands, it was split into the subcategories of Western and non-Western, thus creating a distinction between different categories of outsiders. The term has increasingly been used as a stand-in for people who appear to be visibly different, i.e. non-White people. “Allochtoon” has lost favor with some, including policy makers and the public alike, with some municipalities deciding no longer to use the term.']"
handicap,"['property', 'disability']",[],"['injure permanently', 'He was disabled in a car accident', 'handicap', 'reading disability', 'hearing impairment', 'disability', 'disablement', 'invalid', 'the condition of being unable to perform as a consequence of physical or mental unfitness', 'impairment', 'disable', 'incapacitate']","['Disabled, like the word “handicap”, is an umbrella term to describe varying forms of intellectual to physical impairments. In recent years, “disability” has replaced “handicap” in much of Western Europe and the United States. At the beginning of the twentieth century, the term “handicap” was used to describe a person’s “deficit” or inability to function “normally.” Beginning in the 1970s this concept of “deficit” and related words like “handicapped” became increasingly contested. Activists argued that a disability was not an individual problem to solve, but a social construct that made living with an impairment into a problem. People no longer wanted to be called “the disabled,” but rather “disabled people” (UK) or “people with disabilities” or “differently abled” (US).']"
retarded,"['retard', 'slur']","['developmentally disabled', 'term is considered offensive', 'intellectually disabled', 'mentally retarded', 'People having any of several conditions characterized by subnormal intellectual functioning and impaired adaptive behavior that are identified during the individual’s developmental years.']","['developmentally_challenged', 'providing a secure and sometimes happy life for the retarded', 'relatively slow in mental or emotional or physical development', 'retarded', 'he started a school for the retarded', 'mentally_retarded', 'people collectively who are mentally retarded']","['“Mongoloid” is an outdated and offensive term used to describe both a so-called racial type and a person with the genetic condition Down Syndrome. As racial type, the terms emerged from 18th and 19th century studies of racial difference. The Mongoloid or Mongolian race was the umbrella term used to describe diverse indigenous peoples from East Asia, South East Asia, and the Artic region of North America. Like the other two presumed large racial groups, Caucasoid (Caucasian) and Negroid (Negro), this term is outdated and in general regarded as derogatory. The term is also used to describe people with the genetic condition Down Syndrome, due to the presumed similarity in facial features to the so-called Mongolian race. In modern day usage the term is used as a curse word to describe someone regarded as retarded.']"
mohammedan,"['word', 'Mohammedan']","['Mohammedan', 'islamisme', 'Mohammedanism', 'Muslim', 'Islamism', 'Islam', 'Mussulmanism', 'Islamic (religion)', 'mahométanisme', 'Moslem', 'Muhammadanism', 'Muslimism', ""Refers to the religious beliefs and social practices founded in the seventh century by the Arabian Prophet Muhammad, held to be the last of a series of major prophets, which include, according to Islamic dogma, Adam, Noah, and Jesus. It later spread throughout the Middle East, Africa, Europe, and parts of Asia. It is characterized by the belief in the fundamental idea that a devotee 'surrenders' and submits his will to Allah, the prime creator and sustainer of the universe and all creation. In Islam, God is unique and has no partner or intermediary as in the Christian Trinity. Social service and the active alleviation of suffering in others is considered the only path to salvation and prayer and sacred ritual alone are inadequate forms of submission to Allah. The Qur'an (Koran), the sacred text of the religion, is a compilation of revelations from Allah believed to have been received by Muhammad.""]","['a follower of Mohammed', 'Mohammedan', 'Muhammedan', 'Muhammadan', 'of or relating to the Arabian prophet Muhammad or to the religion he founded']","['Mohammedan was a commonly used term in the past. Originally, it referenced to someone who worships of the Prophet Muhammad. Many Muslims, for this reason, object to its use because Islam teaches the worship of God alone. The terms “Muslim” and “Islamic” are more common today. This term can most commonly be found in museum databases and not in daily language.']"
mongoloid,"['ethnic group', 'Mongoloid']",[],"['characteristic of or resembling a Mongol', 'the mongoloid epicanthic fold', 'of or pertaining to or characteristic of one of the traditional racial division of humankind including especially peoples of central and eastern Asia', '(offensive) of or relating to or suffering from Down syndrome', 'mongoloid', 'Mongoloid', 'a member of the Mongoloid family', 'a person suffering from Down syndrome (no longer used technically in this sense, now considered offensive)']","['“Mongoloid” is an outdated and offensive term used to describe both a so-called racial type and a person with the genetic condition Down Syndrome. As racial type, the terms emerged from 18th and 19th century studies of racial difference. The Mongoloid or Mongolian race was the umbrella term used to describe diverse indigenous peoples from East Asia, South East Asia, and the Artic region of North America. Like the other two presumed large racial groups, Caucasoid (Caucasian) and Negroid (Negro), this term is outdated and in general regarded as derogatory. The term is also used to describe people with the genetic condition Down Syndrome, due to the presumed similarity in facial features to the so-called Mongolian race. In modern day usage the term is used as a curse word to describe someone regarded as retarded.']"
gay,"['sexual orientation', 'homosexuality', 'gay', 'sexual minority', 'LGBT']","['homosexuality', 'homosexual (sexuality)', 'gay (general homosexuality)', ""Sexuality characterized by romantic love or sexual desire toward members of one's own sex."", 'queer (homosexual)']","['homosexual or arousing homosexual desires', 'homo', 'homophile', 'someone who is sexually attracted to persons of the same sex', 'gay', 'homosexual', 'queer']","['“Gay” is a commonly used term to refer to non-heterosexual sexualities, especially men. “Gay” is preferable to the more medical and legal term of “homosexual” (see also “Homosexual”). While “gay” is adopted by some people as a form of self-identification, the term is in some day-to-day contexts used in a derogatory way. Additionally, “homo” is used as a curse word.']"
native,[],"['Indigenous American', 'American, Native', 'Native American', 'Indian (Native American)', 'Indian, American', 'American Indian', 'Native (Native American)', 'Native Americans', 'Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""']","['a person born in a particular place or country', 'indigene', 'the native North American sugar maple', 'the Canadian government scrapped plans to tax the grants to aboriginal college students', 'characteristic of or relating to people inhabiting a region from the beginning', 'aborigine', 'many native artists studied abroad', 'characteristic of or existing by virtue of geographic origin', 'he is a native of Brazil', 'native Americans', 'an indigenous person who was born in a particular place', 'aboriginal', 'native', 'the art of the natives of the northwest coast', 'the aboriginal peoples of Australia', 'indigen']","['The term “native” derives from the Latin word natus, and has been used to describe people born to a particular place. While it was commonly used historically, the term has been criticized for not only reinforcing colonial hierarchies—natives were regarded as inferior to the civilized colonizer—but also (contradictorily) for implying an exclusionary racial and ethnic right to a place by a specific group. The term is currently used by some, for example, Native Americans, in their political claims for sovereignty. Within Europe this concept is increasingly used in xenophobic politics. Within the Netherlands, “native” is most commonly used to describe Indigenous Indonesians.', '“Inboorling” was used in the Netherlands from the 13th century onwards, and shares a basic meaning—someone born in the land—with the term “native.” It is, however, a more exaggerated form of native, having the connotations of primitive and wild. In the early 19th century, it was used by some to describe all Indonesians, but it later was ascribed only to so-called tribal peoples in the Dutch colonies. In the Colonial Exhibition of 1883 in Amsterdam, the term “inboorlingen,” for example, was used to describe peoples both from Indonesia and Suriname. In Surinam itself it was never used to describe the Indigenous peoples. Today the term is mostly associated with people who are considered to be primitive.']"
bombay,"['state capital', 'business cluster', 'metropolis', 'million city', 'megacity', 'big city', 'locality', 'second largest city', 'city', 'Mumbai']",[],"['Bombay', 'Mumbai', ""a city in western India just off the coast of the Arabian Sea; India's 2nd largest city (after Calcutta); has the only natural deep-water harbor in western India""]","['Bombay is the colonial toponym—the name given to a geographic place under colonial rule—for the Indian city of Mumbai. The term was first used in the 16th century. The renaming of places is a common occurrence, both historically and in the present, often resulting from different political shifts over time. This was an important ideological practice, both during the colonial period and during decolonization. This practice continues today. On claiming territory, colonizers named cities and towns after important people or after their own places. Renaming—either restoring earlier names or creating new names— was an important practice for newly formed nations in the decolonization process. The use of names that were assigned under colonization can be painful for some, as a legacy of colonialism. The city of Mumbai continued to be called Bombay until long after independence but was officially changed in 1995. Calcutta (now Kolkata) and Chennai (Madras) are similar colonial toponyms that were Anglicized during the colonial period. Other contested colonial toponyms include: Jakarta (formerly Batavia), Myanmar (formerly Burma) and Zimbabwe (Southern Rhodesia).']"
indo,"['Indo-European people', 'ethnic group']","['Japheth, one of the sons of the Biblical Noah', 'Indo-Germanic', 'Ancient cultures of the peoples associated with broad class of cognate languages that are still spoken over the greater part of Europe and extending into Asia as far as northern India. Included are the cultures associated with the existing and extinct language families of Anatolian, Hellenic, Indo-Iranian, Italic, Celtic, Germanic, Tocharian, Balto-Slavic, Armenian, Albanian, Illyrian, Venetic, Liburnian, Messapian, Phrygian, Paionian, Thracian, Ancient Macedonian, Ligurian, Sicel, and Lusitanian, among others.', 'Japhetic', 'Aryan (Indo-European culture)', 'Indo-European (culture)', 'Arian (Indo-European culture)']",[],"['“Indo” is an abbreviation for Indo-European. The term emerged during the colonial period to describe people of Indonesian and European descent (not restricted to the Netherlands). Arguably, the first known example of its use in the Netherlands dates to 1898. The term rapidly lost favor due to its ethnic and colonial connotations, but has recently been adopted as a term of pride and empowerment by people identifying as being of Indo-European heritage living in the Netherlands.']"
queer,"['umbrella term', 'reappropriation', 'identity', 'sexual identity', 'queer', 'gender identity']","['homosexuality', 'homosexual (sexuality)', 'gay (general homosexuality)', ""Sexuality characterized by romantic love or sexual desire toward members of one's own sex."", 'queer (homosexual)']","['homosexual or arousing homosexual desires', 'poof', 'nance', 'offensive term for a homosexual man', 'poove', 'homophile', 'pouf', 'fagot', 'gay', 'queer', 'faggot', 'fairy', 'fag', 'pansy', 'queen']","['Particularly since the 1980s, “queer” has served as an umbrella term for sexual interests and identities that challenge social norms for sexual behavior. The term is not only shorthand for “LGBT” but also the full range of human sexuality, for example people with sexual fetishes or who practice polyamory. “Queer” has been reclaimed as a proud political and sexual identity from earlier etymological usages that meant strange, aslant or curious. The term, however, is still used as a slur against people perceived to be sexually deviant.']"
slave,"['condition', 'personal property', 'social class', 'product', 'enslaved person', 'prisoner', 'occupation']","[""slaves' (peoples')"", 'people, enslaved', 'enslaved persons', 'enslaved person', 'slaves (people)', 'enslaved people', ""slave's (person's )"", 'Those who are treated as the property of and are entirely subject to another person, whether by capture, purchase, or birth.', 'slave (person)']","['slave', 'a person who is owned by someone']","['The term “slave” is used to describe a person who is the legal property of another and is forced to obey them by law and/or by force. The term itself refers to different forms of un-freedom, with different meanings and consequences over time and place. In the 6th century, for example, “sklabos” (Greek) meant an un-free person of Slavic descent, while in medieval Latin “sclavus” more generally meant “a person who is owned by another.” Today, the term is more generally used to describe people from Africa who were bought/captured and enslaved by Europeans and forced to work on plantations, often under inhumane conditions, within European colonial projects. Increasingly “slave” has become contested by activists, scholars and the public alike, as it is argued that using the term is to normalize the category “slave” as an inherent identity of a person, thus ignoring that this identity was created not by choice but through violent force. The term also denies the humanity of the person, reducing them to being no more than the property of another. Recently the term has been used to describe the victims of contemporary human trafficking or forced labor.']"
disabled,"['person', 'person with disabilities']","['disabled people', 'Those burdened with an encumbrance or disadvantage, physical or mental, that may hinder their ability to cope with the demands of daily life.', 'handicapped', 'disabled', ""handicapped's""]","['injure permanently', 'He was disabled in a car accident', 'having restricted mental or physical functioning as a consequence of injury or illness', 'handicap', 'technology to help the elderly and the disabled', 'invalid', 'people collectively who are crippled or otherwise physically handicapped', 'disable', 'incapacitate', 'disabled', 'handicapped']","['Disabled, like the word “handicap”, is an umbrella term to describe varying forms of intellectual to physical impairments. In recent years, “disability” has replaced “handicap” in much of Western Europe and the United States. At the beginning of the twentieth century, the term “handicap” was used to describe a person’s “deficit” or inability to function “normally.” Beginning in the 1970s this concept of “deficit” and related words like “handicapped” became increasingly contested. Activists argued that a disability was not an individual problem to solve, but a social construct that made living with an impairment into a problem. People no longer wanted to be called “the disabled,” but rather “disabled people” (UK) or “people with disabilities” or “differently abled” (US).']"
inuit,"['Eskimo', 'ethnic group', 'Inuit', 'people', 'Indigenous people in Canada']","['Canadian Eskimo', 'Eskimo, Canadian', 'Inuit (Canadian Arctic Native style)']","['Esquimau', ""a member of a people inhabiting the Arctic (northern Canada or Greenland or Alaska or eastern Siberia); the Algonquians called them Eskimo (`eaters of raw flesh') but they call themselves the Inuit (`the people')"", 'Eskimo', 'Inuit']","['The term “Aboriginal” stems from the Latin words ab and origine, meaning “from the beginning”, and is a commonly used word, including in museum databases. “Aboriginal” describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also “Indigenous”). However, in Canada, there has been a recent preference for the use of Indigenous. The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as “Aboriginal”, preferring to emphasize other markers of their identity such as language, land and clan relationships. In Canada the term came into general use in the 1980s, when a legal and overarching term was sought to collectively describe the existing—but controversial—categories “Indian,” “Inuit” and “Métis” (see also “Indian” and “Eskimo”).']"
caucasian,"['race (human categorization)', 'Caucasian', 'human']","['Caucasian (culture or style)', ""Refers to the people, styles, and cultures originating in the general Caucasus region, which is the area between the Black and Caspian Seas, surrounding the Caucasus mountains, comprising roughly the modern nations of Georgia, Armenia, Azerbaijan, southern parts of Russia, and northeastern Turkey. It refers specifically to the Indo-European and Turkic cultures that have occupied the area since around the first millennium BCE. It takes its name from the Caucasus tribes that settled here; was home to Milesian Greeks, subsequently was invaded numerous times; legendary site of Jason's quest for Golden Fleece; the Caucasus mountains have traditionally been the boundary separating Europe from Asia; however, the area is more subject to Asian influence and so is more often grouped with Asia in modern scholarship.""]","['Caucasoid', 'White', 'Caucasian', 'of or relating to Caucasian people', 'a Caucasian', 'White_person']","['“Mongoloid” is an outdated and offensive term used to describe both a so-called racial type and a person with the genetic condition Down Syndrome. As racial type, the terms emerged from 18th and 19th century studies of racial difference. The Mongoloid or Mongolian race was the umbrella term used to describe diverse indigenous peoples from East Asia, South East Asia, and the Artic region of North America. Like the other two presumed large racial groups, Caucasoid (Caucasian) and Negroid (Negro), this term is outdated and in general regarded as derogatory. The term is also used to describe people with the genetic condition Down Syndrome, due to the presumed similarity in facial features to the so-called Mongolian race. In modern day usage the term is used as a curse word to describe someone regarded as retarded.', 'The term “Caucasian” originally referred to the people of the Caucasus. In the 19th century, the term was taken up as a racial designation for White Europeans, informed by the anthropological work of J.F. Blumenbach (1752-1840). In the 20th century “Caucasian” was used within the Nazi ideology of racial hierarchies. Within the Netherlands, the term mainly appears in museum databases, and is not often used in common language. In other places— such as the US –the term is more commonly used in daily language. There is growing criticism of the term, however, because of its racialized origins.']"
pygmy,"['ethnic group', 'Pygmy people']","['The collective style and culture of various African peoples whose adult males grow to less than 59 inches (150 cm) in average height, and who live in Cameroon, Equatorial Guinea, Gabon, Democratic Republic of Congo, Congo Republic, Central African Republic, Rwanda, and Burundi. Use of ""Pygmy"" for a culture is considered pejorative; where possible use instead the most specific name for the subgroup.', 'Pigmy (African culture or style)', 'Bakola (Pygmy, culture or style)', 'Pygmy (African culture or style)']","['pygmy', 'pigmy', 'any member of various peoples having an average height of less than five feet', 'Pigmy', 'Pygmy', 'an unusually small individual']","['“Pygmy” is a term used in anthropology to describe diverse peoples, especially from (Equatorial) Africa and Asia (i.e. New Guinea), the adult males of whom are regarded as of unusually short stature. Beyond the term’s use to refer to the physical features of these diverse ethnic groups (and which in part makes it derogatory for some) the term is also used negatively as an insult to critique someone’s intellectual capacities. Some indigenous peoples, for example in the Democratic Republic of the Congo, have reclaimed the term as neutral and therefore non-problematic.', 'Dwarfism (Achondroplasie or dwerggroei in Dutch) is a medical or genetic condition for people of short stature. When used outside of a medical context the term is considered offensive. The term dwarf entered the Dutch language in the 14th century, when it had the connotation of monstrous. Satirical portrayals of people of short stature can often be found in (the history of) European art, literature, and film. In 19th- and early 20th-century colonial exhibitions, freak shows, and circuses, dwarfism was seen as a form of being abnormally “other” in very similar ways to the representation of formerly colonized and racialized people. Similar demeaning or insulting terms are “lilliputian” and “pygmy”.']"
kaffir,"['ethnic slur', 'kaffir']",[],"['kaffir', 'an offensive and insulting term for any Black African', 'caffer', 'kafir', 'caffre']","['The term Kaffir derives from the Arabic term “kafir,” meaning one without religion. In South Africa, it was originally used in the 16th century to describe Black non-Muslim people and later to identify Bantu-speaking people, especially in the wars of conquest of the Eastern Cape. In Afrikaans as in English, it soon became a label for Black people of African descent in general. The term gained its derogatory connotation during the apartheid era and is now understood as hate speech. The exception is a group of Sri Lankan peoples with shared ancestry from Portuguese traders (or more broadly European) and enslaved Bantu peoples who refer to themselves as Kaffir.']"
descent,"['quality', 'descent', 'lineage']",[],"['origin', 'line', 'blood_line', 'parentage', 'lineage', 'bloodline', 'the descendants of one individual', 'blood', 'filiation', 'pedigree', 'his entire lineage has been warriors', 'descent', 'extraction', ""the kinship relation between an individual and the individual's progenitors"", 'ancestry', 'he comes from good origins', 'line_of_descent', 'properties attributable to your ancestry', 'stock', 'stemma']","['The term refers to the group or place where someone comes from or was born. It is not a controversial term in itself. However, because the term is often used to ask someone where they are from based on a presumption of him or her being non-Dutch because of their appearance, it can be experienced as offensive (See article Zeefuik and Modest; also words such as “Roots” and “Allochtoon”.']"
trans,"['gender modality', 'transgender', 'person', 'gender minority', 'LGBT']",[],[],"['This is an umbrella term used to describe transgender or transsexual sexualities. “Transgender” and “transsexual” describe people whose gender identity and expression differs from what is understood to be typical to the sex they have been assigned at birth. As an overarching term “transgender” can describe a variety of gender identity and expressions, for example cross-dressing. “Transsexual” is the preferred term by some who intend to, or have permanently, changed their bodies in alignment with their gender identity.']"
madras,"['state capital', 'million city', 'big city', 'city', 'business cluster', 'Chennai']",[],"['a city in Tamil Nadu on the Bay of Bengal; formerly Madras', 'Madras', 'Chennai']","['Bombay is the colonial toponym—the name given to a geographic place under colonial rule—for the Indian city of Mumbai. The term was first used in the 16th century. The renaming of places is a common occurrence, both historically and in the present, often resulting from different political shifts over time. This was an important ideological practice, both during the colonial period and during decolonization. This practice continues today. On claiming territory, colonizers named cities and towns after important people or after their own places. Renaming—either restoring earlier names or creating new names— was an important practice for newly formed nations in the decolonization process. The use of names that were assigned under colonization can be painful for some, as a legacy of colonialism. The city of Mumbai continued to be called Bombay until long after independence but was officially changed in 1995. Calcutta (now Kolkata) and Chennai (Madras) are similar colonial toponyms that were Anglicized during the colonial period. Other contested colonial toponyms include: Jakarta (formerly Batavia), Myanmar (formerly Burma) and Zimbabwe (Southern Rhodesia).']"
primitivism,"['art', 'primitivism', 'genre', 'art style', 'art movement']","['primitivism (artistic concept)', 'neo-primitivism', 'neoprimitivism', 'A term sometimes used for artistic styles or movements intended, often romantically or sentimentally, to emulate the appearance of art that was formerly designated primitive and other art made by people operating outside of mainstream art markets. Distinct from ""primitive art"" and ""primitive architecture,"" which are outdated terms formerly used for art and architecture of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups. For the Russian art movement, active from about 1905 to 1920, which combined influences from Russian folk art with ideas borrowed from Cubism and Futurism, use ""Primitivist.""']","['a wild or unrefined state', 'primitiveness', 'primitivism', 'crudity', 'a genre characteristic of (or imitative of) primitive artists or children', 'crudeness', 'rudeness']","['Primitive derives from the Latin word primitivus, meaning the first-born or first of its kind. In European thought, it became synonymous with the racialized and temporal “Other” and was applied to cultures that were imagined as existing in a distant past (see Marijke Kunst and Simone Vermaat in this publication) that lacked qualities that were seen as European, specifically progress and rationality. The term is before still used today to denote someone or something as simple and uncivilized. “Primitivism” is a movement in art that connotes the beauty, natural qualities, or romance of a simpler way of life, in contrast to a more advanced, industrialized Europe. Both the term “primitive”, like the artistic movement, have received significant criticism from diverse quarters including academics.']"
hottentot,"['name', 'Hottentot']","['now considered pejorative, used after 1652/mid-20th century; probably invented by the Dutch colonists in imitation of the clicking sounds of their language', 'KhoiKhoi', 'Khoekhoe', 'Hottentot', 'meaning ""men of men""', 'Refers to the people and culture of southern Africa whom the first European explorers found in areas of the hinterland and who now live either in European settlements or on official reserves in South Africa or Namibia. Most Khoikhoi are either Nama or Oorlams, the latter term denoting remnants of the ""Cape Hottentots"" together with many of hybrid descent. The main Nama concentrations are the Bondelswarts, Rooinasie, Swartboois, and Topnaars; the main Orlams groups are the Witbooi, Amraal, Berseba, and Bethanie. The Khoikhoi are not easily distinguishable physically from the San, the Khoikhoi\'s slightly taller stature and decidedly longer and narrower head being the only marked differences.', 'Khoikhoi', 'Khoikhoin', 'Khoi (Khoikhoi)', 'Khoi Khoi', 'Khoe']",[],"['This term refers to the Khoikhoi people, who live in the western part of South Africa. It is a Dutch colonial term, first used in the 17th century, and was based on an imitation of the sound of the Khoikhoi language. The term “Hottentot” connoted culturally backward or primitive, stereotypes that were created in the early colonial period. In the 19th century, Khoikhoi people were violently exploited. They were also put on display, as an example of a primitive type, initially as entertainment but later as part of scientific colonial knowledge. One well-known example was the so-called Hottentot Venus, Sarah Baartman, who was displayed in Europe from 1810–1815. Her remains were displayed in a French museum until 1974. Baartmans remains were returned to South Africa in 2002.']"
