term,source_1,source_2,source_3,wm
achterlijk,[],[],[],"['‘Mongool’ is een ouderwetse en aanstootgevende term die wordt gebruikt als verwijzing naar een zogenaamd raciaal type enerzijds en mensen met de genetische conditie Downsyndroom anderzijds. De term in zijn raciale definitie kwam voort uit de 18de en 19de\xad-eeuwse studies naar raciale verschillen. Het Mongoloïde of Mongoolse ras werd als overkoepelende term gebruikt voor verschillende inheemse volken in Oost\xad-Azië, Zuidoost\xad-Azië en de Arctische regio’s in Noord\xad-Amerika. De term is ouderwets en wordt in sommige situaties beschouwd als beledigend, zoals dat ook het geval is met de andere zogenaamde rassencategorieën ‘Kaukasisch’ en ‘neger’ (zie: Kaukasisch en Neger). De term wordt ook gebruikt voor mensen met het Downsyndroom, omdat hun gelaatstrekken een gelijkenis zouden vertonen met die van mensen van het zogenaamde Mongoolse ras. Vandaag de dag wordt de term als scheldwoord gebruikt voor mensen die ten onrechte worden beschouwd als achterlijk.']"
inboorling,[],[],"['dr. Livingstone bezocht de inboorlingen in de jungle van Afrika', 'oorspronkelijke bewoner v.e. land', 'inboorling']","[""‘Inboorling’ wordt vanaf de 13de eeuw in Nederland gebruikt en deelt zijn betekenis –\xad iemand geboren in het land \xad met de term ‘Inlander'. Het is echter een overdrijvende vorm ervan, en heeft de connotaties van primitief en wild. In het begin van de 19de eeuw werd de term door sommige mensen gebruikt om alle Indonesiërs te beschrijven, maar later werd het uitsluitend toegepast op zogenaamde stammen in Nederlandse koloniën. In de Koloniale Tentoonstelling van 1883 in Amsterdam werd de term ‘inboorlingen’ bijvoorbeeld gebruikt om volken uit zowel Indonesië als Suriname te beschrijven. In Suriname zelf werd het nooit gebruikt om de inheemse volken te omschrijven. Tegenwoordig wordt de term vooral geassocieerd met mensen die als primitief worden beschouwd.""]"
boslandcreool,"['etnische groep', 'groep mensen', 'marrons', 'woordenboekpagina op Wikipedia']",[],[],"['In het Nederlands komt de term ‘bosneger’ voort uit de termen ‘bosch’ en ‘neger’ (zie: Neger). Het was een pejoratieve term voor Afrikanen (en hun afstammelingen) die aan de slavernij ontsnapten in Suriname en de Guyana’s en in bergachtige gebieden gingen wonen. Hiervandaan vochten zij tegen kolonisatie. Sommige mensen in Suriname en in Nederland gebruiken de term vandaag de dag als synoniem voor ‘Marron’ en ‘Boslandcreool’ Hoewel de term ‘Marron’ ook betwist wordt, wordt deze beter aanvaard (zie: Marron).']"
lagelonenland,"['land', 'lagelonenland']",[],[],"[""Hoewel de term ‘Derde Wereld’ nog steeds voorkomt in alledaags taalgebruik, wordt het beschouwd als een overblijfsel van de Koude Oorlogspolitiek. De wereld werd toen verdeeld in drie groepen op basis van politieke en economische oriëntaties of allianties. De term ‘Eerste Wereld’ beschrijft de Verenigde Staten en hun bond\xad genoten, waaronder Japan, Canada en landen in West\xadEuropa, terwijl landen die deel uitmaakten van het communistische blok, inclusief China, USSR, Cuba en landen in Oost\xadEuropa, de ‘Tweede Wereld’ vormden. ‘Derde Wereld’ werd voor het eerst gebruikt (in een artikel van Alfred Sauvy in 1952) om die landen te beschrijven die politiek georiënteerd waren op de Eerste noch de Tweede Wereld. De term werd ook een economische indeling, die werd gebruikt om te verwijzen naar de armste landen en regio's van de wereld. Dit omvatte landen in Azië, Afrika, Latijns\xadAmerika en het Caribisch gebied, waarvan er velen voorheen door Europa waren gekoloniseerd. Steeds meer mensen vinden dat de term niet langer geschikt is, omdat het geen nauwkeurige beschrijving is van de complexiteit van de wereld en omdat het een verdeling van de wereld suggereert in westerse superioriteit en niet\xadwesterse inferioriteit.""]"
bosneger,"['etnische groep', 'groep mensen', 'marrons', 'woordenboekpagina op Wikipedia']",[],"['in de bossen gevluchte negerslaaf', 'bosneger']","['In het Nederlands komt de term ‘bosneger’ voort uit de termen ‘bosch’ en ‘neger’ (zie: Neger). Het was een pejoratieve term voor Afrikanen (en hun afstammelingen) die aan de slavernij ontsnapten in Suriname en de Guyana’s en in bergachtige gebieden gingen wonen. Hiervandaan vochten zij tegen kolonisatie. Sommige mensen in Suriname en in Nederland gebruiken de term vandaag de dag als synoniem voor ‘Marron’ en ‘Boslandcreool’ Hoewel de term ‘Marron’ ook betwist wordt, wordt deze beter aanvaard (zie: Marron).']"
politionele actie,[],[],[],"['Met ‘politionele acties’ worden de grootschalige militaire operaties van het Nederlandse leger tussen 1945\xad-1949 bedoeld, die erop gericht waren om Indonesische Onafhankelijkheid te voorkomen. De toenmalige Nederlandse regering wilde oorlogsterminologie vermijden, omdat zij de operaties zagen als een legitieme onderdrukking van een opstand. Zij gebruikten de term ‘politionele actie’. ‘Politionele actie’ wordt om die reden als een misleidend begrip gezien door velen, waaronder de nazaten van de slachtoffers. Het wordt beschouwd als een eufemistische term, die de structurele inmenging van het leger en de gewelddadigheden verdoezelt en die de slachtoffers reduceert tot rebellen.']"
travestiet,['travestie'],[],"['travestiet', 'tootsie', 'persoon die aan travestie doet', 'transvestiet']","['‘Trans’ is een overkoepelende term die wordt gebruikt om transgender of transseksuele seksualiteit te beschrijven. Transgender/transseksueel beschrijft mensen wiens genderidentiteit en \xaduitdrukking afwijkt van wat als typerend wordt beschouwd voor het geslacht dat zij bij de geboorte hebben gekregen. Als een overkoepelende term kan ‘transgender’ een verscheidenheid aan genderidentiteiten en \xad-uitdrukkingen beschrijven, bijvoorbeeld crossdressing. Sommige mensen geven de voorkeur aan de term ‘transgender’. Het gaat dan met name om mensen die van plan zijn om hun lichaam te veranderen in overeenstemming met hun genderidentiteit, of dit al gedaan hebben.']"
koelie,"['medewerker', 'bezigheid', 'koelie']",[],"['loonslaaf', 'iemand die werkt tegen betaling', 'koelie', 'grondwerker', 'bediende zoals in de tropen']","['De term ‘koelie’ is waarschijnlijk afgeleid van het Hindi\xad-woord ‘quli’, dat ‘dagwerker’ betekent. In het Nederlands verwijst het specifiek naar ongeschoolde contractarbeiders uit Azië, die in de jaren 1850 veldarbeid verrichtten in de koloniën Nederlands\xad-Indië (Indonesië) en later in West\xad-Indië (Suriname). De term is buiten Nederland ook gebruikt om contractarbeiders in de Britse koloniën in het Caribisch gebied te beschrijven, voornamelijk die uit India. Vanaf het midden van de 20ste eeuw zijn wetenschappers, activisten en diverse belangengemeenschappen het erover eens dat het een beledigende term is. Desondanks wordt het nog steeds gebruikt als een scheldwoord voor mensen van Aziatische afkomst.']"
zuid-rhodesië,"['kolonie', 'kroonkolonie', 'Zuid-Rhodesië']",[],[],"['‘Bombay’ is het koloniale toponiem – de (nieuwe) naamgeving van geografische plaatsen door koloniale heersers – van de Indiase stad Mumbai. De term werd voor het eerst gebruikt in de 16de eeuw. Het hernoemen van plaatsen komt vaak voor, zowel vroeger als nu, en vaak vanwege politieke veranderingen. Zowel onder kolonialisme als tijdens dekolonisatie, maar ook nu nog, is dit een belangrijke ideologie. Koloniale overheersers noemden steden en andere plaatsen naar belangrijke figuren of plekken uit eigen land. Het hernoemen van plekken – dan wel door nieuwe namen te geven dan wel oude namen in ere te herstellen – is een belangrijk symbool voor nieuwe naties. De naam uit het koloniale tijdperk kan voor sommige inwoners beledigend zijn, omdat het een pijnlijke herinnering is aan het kolonialisme. Ook toen Mumbai onafhankelijk was geworden, bleef men het nog lang Bombay noemen. Calcutta (nu Kolkata) en Chennai (Madras) zijn vergelijkbare voorbeelden van koloniale toponiemen die verengelst werden tijdens de koloniale periode. Andere koloniale toponiemen zijn onder meer: Jakarta (Batavia), Myanmar (Birma) en Zimbabwe (Zuid\xad-Rhodesië).']"
zwart,[],[],[],"['‘Gekleurd’ is een controversiële term waarmee iemand (of een groep mensen) wordt beschreven met een gemengde afkomst: wit Europees enerzijds en niet\xad-wit anderzijds, bijvoorbeeld mensen van Afrikaanse of Aziatische afkomst. In sommige gevallen wordt de term gebruikt voor Zwarte mensen. ‘Gekleurd’ kent verschillende gebruiksgeschiedenissen en betekenissen over de wereld, maar wordt over het algemeen als beledigend beschouwd. In Zuid\xad-Afrika beschrijft de term bijvoorbeeld iemand van gemengde afkomst, waaronder Khoisan, Maleis en Wit. In de VS werd de term voorheen vooral gebruikt voor Zwarte mensen of de Zwarte gemeenschap, en is restrictiever dan de vergelijkbare term ‘iemand/mensen van kleur’. In Nederland wordt de term eveneens voor Zwarte mensen of mensen van gemengde afkomst gebruikt. Er bestaan verschillende aan elkaar verbonden varianten op de term, zoals ‘gekleurd’, ‘met een kleurtje’ of ‘met een donkerdere huidskleur’. Het gebruik hiervan grijpt terug op het raciale idee van witheid als norm, en de termen worden steeds meer beschouwd als ongepast en denigrerend. Steeds meer mensen omarmen de Amerikaanse identiteitscategorie ‘iemand/mensen van kleur’ (in het Engels afgekort tot POC). De categorie ‘Zwarte en niet\xad-Zwarte mensen van kleur’ wordt tegen\xadwoordig ook steeds vaker gebruikt om niet\xad-witte mensen te omschrijven. Hoewel de termen ‘Zwart’ en ‘mensen van kleur’ voor velen algemeen aanvaardbare termen blijven, is het beter om die termen te gebruiken die mensen zelf gebruiken en respectvol vinden.', '‘Zwart’ is een identiteitscategorie met verschillende betekenissen in verschillende contexten, maar in het algemeen verwijst het naar mensen van Afrikaanse afkomst. De term is de vroegere raciale categorie ‘neger’ (zie: Neger) gaan vervangen, die nu door velen beschouwd wordt als denigrerend. In Nederland wordt ‘Zwart’ het meest gebruikt om mensen van Afrikaanse of Afro\xad-Caribische oorsprong te beschrijven. Op deze manier gebeurt dit ook in Groot\xad-Brittannië. Daar wordt de term echter ook gebruikt als verschillende niet\xadwitte groepen mensen te verenigen, die allen racistisch bejegend worden (ongeacht hun etnische of geografische afkomst). In Nederland is dat in mindere mate het geval. Ook in de Verenigde Staten verwijst de term vooral naar Afro\xad-Amerikanen: ‘mensen van kleur’ wordt gebruikt als een politieke categorie voor iedereen die niet wit is. Met name door de inspanningen van de Noord\xad-Amerikaanse Civil Rights en Black Power bewegingen, maar ook door de strijd tegen racisme wereldwijd, is ‘Zwart’ een identiteitscategorie geworden waar veel mensen van Afrikaanse afkomst trots op zijn. Daarmee neemt men afstand van eerdere stereotypen waarmee Zwarte mensen geassocieerd worden.']"
mohammedaan,"['religieuze identiteit', 'moslim']",[],"['mohammedaan', 'aanhanger v.d. islam']","['‘Mohammedaan’ werd in het verleden vaak gebruikt. Oorspronkelijk refereerde het aan de aanbidding van de profeet Mohammed. Veel moslims verzetten zich om deze reden tegen het gebruik van de term, omdat de islam de aanbidding van God alleen onderwijst. ‘Mohammedaan’ is voornamelijk te vinden in museumdatabases en niet meer in de dagelijkse taal. De termen ‘moslim’ en ‘islamitisch’ komen tegenwoordig vaker voor.']"
berber,[],[],"['Berber', 'Noord-Afrikaan']","[""‘Berber’ verwijst naar diverse groepen mensen die in verschillende landen in het noorden van Afrika leven. De term stamt uit de klassieke oudheid en verscheen voor het eerst in Arabische manuscripten in 900 v.C. Velen denken echter ten onrechte dat de term door Europeanen gecreëerd is en gerelateerd is aan de term ‘barbaar' (zie: Barbaar). Hoewel nog steeds gebruikt door veel mensen die zichzelf als Berber beschouwen, raakt het uit de gratie en geven steeds meer mensen de voorkeur aan de term ‘Amazigh’.""]"
calcutta,"['metropool', 'miljoenenstad', 'Calcutta']",[],"['Kolkata', 'Calcutta']","['‘Bombay’ is het koloniale toponiem – de (nieuwe) naamgeving van geografische plaatsen door koloniale heersers – van de Indiase stad Mumbai. De term werd voor het eerst gebruikt in de 16de eeuw. Het hernoemen van plaatsen komt vaak voor, zowel vroeger als nu, en vaak vanwege politieke veranderingen. Zowel onder kolonialisme als tijdens dekolonisatie, maar ook nu nog, is dit een belangrijke ideologie. Koloniale overheersers noemden steden en andere plaatsen naar belangrijke figuren of plekken uit eigen land. Het hernoemen van plekken – dan wel door nieuwe namen te geven dan wel oude namen in ere te herstellen – is een belangrijk symbool voor nieuwe naties. De naam uit het koloniale tijdperk kan voor sommige inwoners beledigend zijn, omdat het een pijnlijke herinnering is aan het kolonialisme. Ook toen Mumbai onafhankelijk was geworden, bleef men het nog lang Bombay noemen. Calcutta (nu Kolkata) en Chennai (Madras) zijn vergelijkbare voorbeelden van koloniale toponiemen die verengelst werden tijdens de koloniale periode. Andere koloniale toponiemen zijn onder meer: Jakarta (Batavia), Myanmar (Birma) en Zimbabwe (Zuid\xad-Rhodesië).']"
lilliputter,"['mens', 'dwerg']",[],"['in de groei belemmerd persoon', 'mini-', 'dwerg-', 'dwerg', 'lilliputter', 'iemand met zeer korte armen en benen']","[""Dwerggroei (Achondroplasie) is een medische of genetische aandoening van kleine mensen. Als de term ‘dwerg' niet binnen de medische context wordt gebruikt, wordt het als een belediging opgevat. De term ‘dwerg’ wordt in het Nederlands gebruikt sinds de 14de eeuw. Toen had het de connotatie van monsterlijk. Satirische verbeeldingen van kleine mensen komen vaak voor in (de geschiedenis van) Europese kunst, literatuur en film. In 19de en vroeg 20ste\xadeeuwse koloniale tentoonstellingen, freak shows en circussen werden mensen met dwerggroei gezien als abnormaal ‘anders’, in sommige opzichten vergelijkbaar met de raciale verbeelding van gekoloniseerde mensen. Vergelijkbare beledigende termen zijn ‘lilliputter’ en ‘pygmee’""]"
indiaan,[],"[""Verwijst meestal naar de cultuur van de inheemse bevolking van het westelijk halfrond, en in het bijzonder naar de inheemse bevolking van Noord-Amerika, met uitzondering van de Eskimo's en Aleoeten. De term wordt ook wel in breder verband gebruikt om te verwijzen naar de cultuur van alle oorspronkelijke bewoners van Noord-, Midden- en Zuid-Amerika en West-Indië die tot het Mongoolse ras worden gerekend. In het Nederlands wordt voor dit brede begrip vaak de term 'indiaan(s)' gebruikt, terwijl 'Native American' uitsluitend verwijst naar de culturen van de inheemse inwoners van de Verenigde Staten en Canada met uitzondering van de Eskimo's en de Aleoeten. Inheemse volkeren van Canada gebruiken de term ‘First Nations’ om naar hun eigen gemeenschappen te verwijzen; vaak gebruiken ze deze term ook in bredere zin om naar alle inheemse volkeren van Noord-, Midden- en Zuid-Amerika te verwijzen."", 'Inheems Amerikaans', 'Amerikaans Indiaans', 'Indiaans']","['inwoner Amerika', 'Indiaan']","['Toen Christopher Columbus in de 16de eeuw aankwam in Amerika, noemde hij de inwoners ‘Índios’ omdat hij dacht dat hij in India was aangekomen. De onjuiste benaming ‘indiaan’ werd al gauw algemeen gebruikt om de inheemse volken van Noord\xad-Amerika te beschrijven. Er bestaat geen consensus over het gebruik van de term. In de VS is ‘American Indian’ een term die een geschiedenis van verdeeldheid kent, maar desondanks wordt het door individuen en gemeenschappen gebruikt als een vorm van zelfidentificatie. Het blijft een sleutelbegrip voor zowel de Amerikaanse als de Canadese overheid. In de Spaanssprekende landen in Midden\xad- en Zuid\xad-Amerika wordt ‘índio’ veelal beschouwd als problematisch en zelden of nooit gebruikt door de inheemse mensen zelf. In Brazilië wordt de term ‘índio’ in mindere mate betwist.', ""De term ‘Aboriginal' komt van de Latijnse woorden ab en origine, die samen ‘van het begin’ betekenen. ‘Aboriginal' komt vaak voor, onder andere in collectiedatabases van musea, om de oorspronkelijke bewoners van een plek te omschrijven. De term wordt vooral gebruikt om te verwijzen naar inheemse volken in Australië en Canada (zie: Inheems). In Canada heeft men echter recentelijk de voorkeur gegeven aan de term Inheems. ‘Aboriginal’ houdt onvoldoende rekening met de complexiteit en diversiteit van inheemse volken. Veel inheemse volken in beide landen willen geen ‘Aboriginal’ genoemd worden en geven de voorkeur aan andere termen die hun identiteit kenmerken, zoals taal, land en clan relaties. In Canada begon men de term toe te passen in de jaren 1980, toen men een juridische en overkoepelende term zocht om de bestaande – maar controversiële – categorieën ‘indiaan’, ‘Inuit’ en ‘Métis’ te beschrijven (zie: Indiaan en Eskimo).""]"
hermafrodiet,"['sekse', 'intersekse', 'organisme', 'hermafrodiet']","['Mensen die zowel mannelijke als vrouwelijke geslachtsorganen hebben.', 'hermafrodiet', 'hermafrodieten']","['tweeslachtig wezen', 'hermafrodiet']","['‘Hermafrodiet’ wordt gezien als een ouderwetse en stigmatiserende term, die mensen pathologiseert die geboren zijn met de geslachtsorganen van beide geslachten (zie artikel Steinbock)']"
mongool,[],[],"['geesteszieke', 'cretin', 'waanzinnige', 'mogool', 'geestelijk gehandicapte', 'gestoorde', 'vrouwelijke fanaat', 'iemand die gek is', 'mongool', 'zwakzinnige', 'debiel', 'kretijn', 'idioot', 'iemand met het Downsyndroom', 'krankzinnige', 'imbeciel', 'gek', 'verstandelijke gehandicapte']","['‘Mongool’ is een ouderwetse en aanstootgevende term die wordt gebruikt als verwijzing naar een zogenaamd raciaal type enerzijds en mensen met de genetische conditie Downsyndroom anderzijds. De term in zijn raciale definitie kwam voort uit de 18de en 19de\xad-eeuwse studies naar raciale verschillen. Het Mongoloïde of Mongoolse ras werd als overkoepelende term gebruikt voor verschillende inheemse volken in Oost\xad-Azië, Zuidoost\xad-Azië en de Arctische regio’s in Noord\xad-Amerika. De term is ouderwets en wordt in sommige situaties beschouwd als beledigend, zoals dat ook het geval is met de andere zogenaamde rassencategorieën ‘Kaukasisch’ en ‘neger’ (zie: Kaukasisch en Neger). De term wordt ook gebruikt voor mensen met het Downsyndroom, omdat hun gelaatstrekken een gelijkenis zouden vertonen met die van mensen van het zogenaamde Mongoolse ras. Vandaag de dag wordt de term als scheldwoord gebruikt voor mensen die ten onrechte worden beschouwd als achterlijk.']"
handicap,"['handicap', 'eigenschap']",[],"['fysieke of mentale invaliditeit', 'gebrek', 'een zware handicap', 'handicap', 'gebrekkigheid', 'onvolkomenheid', 'iets dat last geeft', 'ongemak', 'affectie', 'ziekte aan een bepaald lichaamsdeel', 'wij organiseren actieve zeilvakanties voor mensen met een handicap', 'een lichte handicap', 'door zijn handicap moet hij in een rolstoel zitten', 'aandoening', 'met een handicap', 'een lichamelijke/verstandelijke handicap']","[""‘Handicap’ is een overkoepelende term om verschillende vormen van geestelijke of lichamelijke beperkingen te beschrijven. In de afgelopen jaren is de term vooral in West\xad-Europa en de Verenigde Staten steeds meer vervangen door ‘beperking’. Aan het begin van de twintigste eeuw werd de term ‘handicap' gebruikt om iemands ‘gebrek’ of onvermogen om ‘normaal’ te functioneren aan te duiden. Vanaf de jaren zeventig werden dit concept en daaraan gerelateerde woorden steeds meer bekritiseerd. Activisten voerden aan dat een beperking geen individueel probleem was dat moest worden verholpen, maar dat het de samenleving was die het leven met een beperking tot een probleem maakte. Mensen wilden niet langer aangesproken worden als ‘gehandicapten', maar als ‘mensen met een beperking’.""]"
marron,[],[],[],"['De term ‘Marron’ wordt gebruikt om te verwijzen naar (de nakomelingen van) Afrikanen in Amerika, die aan slavernij ontsnapten en in gebieden gingen wonen die moeilijk bereikbaar waren, zoals het regenwoud. De term komt van het 16de-eeuwse Spaanse woord ‘cimarrón’, dat weggelopen vee betekent. Het wordt om die reden als beledigend ervaren. Tegelijkertijd viert de term het voortdurende verzet tegen kolonialisme en slavernij, en wordt daarom gezien als empowering. Deze verschillende opvattingen maken het gebruik van het woord complex. In Suriname en Nederland bieden sommigen weerstand tegen de term, terwijl die elders, bijvoorbeeld in Jamaica, meer geaccepteerd wordt.', 'In het Nederlands komt de term ‘bosneger’ voort uit de termen ‘bosch’ en ‘neger’ (zie: Neger). Het was een pejoratieve term voor Afrikanen (en hun afstammelingen) die aan de slavernij ontsnapten in Suriname en de Guyana’s en in bergachtige gebieden gingen wonen. Hiervandaan vochten zij tegen kolonisatie. Sommige mensen in Suriname en in Nederland gebruiken de term vandaag de dag als synoniem voor ‘Marron’ en ‘Boslandcreool’ Hoewel de term ‘Marron’ ook betwist wordt, wordt deze beter aanvaard (zie: Marron).']"
baboe,"['huishoudelijke hulp', 'kinderjuffrouw', 'beroep', 'bezigheid']",[],"['oppas in Nederlands-Indië', 'baboe']","[""‘Bediende’, ‘page’, ‘knecht’ en ‘baboe’ zijn termen die vaak voorkomen in museumdatabases, en dan met name in de beschrijvingen van schilderijen en foto’s. Deze verwante termen beschrijven een persoon die in andermans huishouden werkzaam is om huishoudelijke taken te verrichten, zoals koken en schoonmaken, of ter assistentie. De termen veronderstellen op zich geen grove uitbuiting ofschoon zij een hiërarchische relatie op basis van klasse en macht beschrijven die soms gekenmerkt wordt door uitbuiting. De veelvoudige en complexe relaties die bedienden kunnen hebben met hun meesters maken het niet makkelijk, zelfs riskant, om een oordeel te vellen over de rol van de bediende of de omstandigheden waaronder deze leefde. De term ‘page' beschrijft een jonge, mannelijke bediende die voor een edelman werkt, of – wanneer het de Renaissance betreft \xad als bediende voor modieuze dames en heren. Vandaag de dag wordt het in sommige kringen als vernederend of beledigend beschouwd om te verwijzen naar iemand als bediende of page. De term noemen in de beschrijving van historische schilderijen of foto’s kan in sommige gevallen echter wel worden aangeraden""]"
ras,"['classificatiesysteem', 'identiteit', 'menselijk ras']","['Vaststelling van de identiteit van een groep mensen ter onderscheiding van andere groepen, op basis van fysieke of sociale kenmerken, zoals taal.', 'ras (begrip)']",[],"['‘Ras’ is een veelbesproken term die verwijst naar de indeling van mensen op basis van fysieke kenmerken, zoals huidskleur. In raciaal denken wordt de kleur van iemands huid beschouwd als een teken van onvergelijkbare verschillen tussen groepen, met een hiërarchie in aanleg, vaardigheden, zelfs gedrag en ontwikkeling. Volgens 18de\xad- en 19de\xad-eeuwse raciale wetenschappers was het mogelijk om mensen in verschillende groepen te verdelen en in een hiërarchie te plaatsen. Deze typologieën versterkten koloniale ideologieën over verschil, met de witte Europeaan aan de top in een raciale hiërarchie (zie: Kaukasisch en Neger). Hoewel ras geen biologisch feit is, heeft het sociale gevolgen, zoals discriminatie, vooroordelen en ongelijkheid. Racisme moet daarom worden begrepen als een vorm van discriminatie en vooroordelen, dat gebaseerd wordt op de veronderstelde superioriteit van de ene groep boven de andere.', '‘Etniciteit’ verwijst naar de gedeelde sociale, culturele of historische ervaringen en praktijken van een groep mensen, bijvoorbeeld taal, religie of kleding, en meestal een nationale of regionale achtergrond. Mensen die deze kenmerken met elkaar delen, worden gezamenlijk omschreven als ‘etnische groep’. Hoewel dit een neutrale categorie lijkt te zijn, wordt het vaak gebruikt voor iemand of iets dat afwijkt van de norm of buitenlands is. Denk bijvoorbeeld aan ‘etnisch eten’ of ‘etnische muziek’. Wanneer het over mensen gaat, wordt de term normaal gesproken geassocieerd met minderheidsgroepen. Iedereen heeft echter een etnische identiteit. Etniciteit wordt soms verward met ras en door velen ten onrechte gebruikt als een alternatieve term, waar de verwijzing naar biologische verschillen omzeild wordt (zie: Ras).']"
bombay,"['bevolkte plaats', 'grote stad', 'stad', 'metropool', 'tweede grootste stad', 'cluster', 'Mumbai', 'miljoenenstad']",[],"['Bombay', 'Mumbai']","['‘Bombay’ is het koloniale toponiem – de (nieuwe) naamgeving van geografische plaatsen door koloniale heersers – van de Indiase stad Mumbai. De term werd voor het eerst gebruikt in de 16de eeuw. Het hernoemen van plaatsen komt vaak voor, zowel vroeger als nu, en vaak vanwege politieke veranderingen. Zowel onder kolonialisme als tijdens dekolonisatie, maar ook nu nog, is dit een belangrijke ideologie. Koloniale overheersers noemden steden en andere plaatsen naar belangrijke figuren of plekken uit eigen land. Het hernoemen van plekken – dan wel door nieuwe namen te geven dan wel oude namen in ere te herstellen – is een belangrijk symbool voor nieuwe naties. De naam uit het koloniale tijdperk kan voor sommige inwoners beledigend zijn, omdat het een pijnlijke herinnering is aan het kolonialisme. Ook toen Mumbai onafhankelijk was geworden, bleef men het nog lang Bombay noemen. Calcutta (nu Kolkata) en Chennai (Madras) zijn vergelijkbare voorbeelden van koloniale toponiemen die verengelst werden tijdens de koloniale periode. Andere koloniale toponiemen zijn onder meer: Jakarta (Batavia), Myanmar (Birma) en Zimbabwe (Zuid\xad-Rhodesië).']"
indo,"['etnische groep', 'Indische Nederlanders']","['Oude culturen van de volkeren die horen bij de brede klasse verwante talen die nog steeds worden gesproken in het grootste deel van Europa en tot aan Noord-India in Azië. Het betreft onder andere de culturen die horen bij de volgende bestaande en uitgestorven taalfamilies: Anatolisch, Helleens, Indo-Iraans, Italisch, Keltisch, Germaans, Tochaars, Balto-Slavisch, Armeens, Albanees, Illyrisch, Venetisch, Liburnisch, Messapisch, Frygisch, Paionisch, Thracisch, Oudmacedonisch, Ligurisch, Sjekelesj en Lusitanisch.', 'Indo-Europees']",[],"['‘Indo’ is een afkorting van Indo\xad-Europeaan. De term is ontstaan in het koloniale tijdperk om mensen met een Indonesische en Europese afkomst (niet alleen van Nederlandse afkomst) aan te duiden. De term werd waarschijnlijk voor het eerst gebruikt in de Nederlands taal in 1898. De term werd al gauw impopulair vanwege de etnische en koloniale connotatie, maar is recentelijk weer in gebruik genomen als geuzennaam door jonge mensen met een Indo\xad-Europese afkomst in Nederland.']"
primitivisme,"['kunst', 'kunststroming', 'kunststijl', 'genre', 'primitivisme']","[""Artistieke stijlen of stromingen die bedoeld zijn om, vaak op romantische of sentimentele gronden, het uiterlijk na te bootsen van kunstvormen die daarvoor als primitief werden bestempeld. Te onderscheiden van 'primitieve kunst' en 'primitieve architectuur', termen die voorheen werden gebruikt om kunst en architectuur aan te duiden van volkeren die niet onder invloed staan van de dominante westerse cultuur. Gebruik 'primitivistisch' voor op de volkskunst, het kubisme en het futurisme gebaseerde kunst in Rusland in het eerste kwart van de 20e eeuw."", 'primitivisme']",[],"[""‘Primitief’ komt van het Latijnse woord primitivus, dat eerstgeboren of eerste in zijn soort betekent. In Europa werd het een synoniem voor de raciale en temporale ‘ander’ en werd de term toegepast op culturen die beschouwd werden als simpel, onbeschaafd en niet van deze tijd en ‘Europese’ kwaliteiten zoals ‘vooruitgang’ en ‘rationaliteit’ misten. Zo wordt de term nog steeds vaak gebruikt. ‘Primitivisme’ is een stroming in de beeldende kunst. Deze beweging waardeerde culturen en plekken die zij associeerden met de natuurlijke kwaliteit of romantiek van een eenvoudiger manier van leven. Dit in tegenstelling tot het geavanceerdere, geïndustrialiseerde Europa, zo dacht men. Zowel de term ‘primitief’ als ‘Primitivisme' zijn bekritiseerd door verschillende groepen, waaronder wetenschappers.""]"
trans,[],[],"['transseksueel iemand', 'trans']","['‘Trans’ is een overkoepelende term die wordt gebruikt om transgender of transseksuele seksualiteit te beschrijven. Transgender/transseksueel beschrijft mensen wiens genderidentiteit en \xaduitdrukking afwijkt van wat als typerend wordt beschouwd voor het geslacht dat zij bij de geboorte hebben gekregen. Als een overkoepelende term kan ‘transgender’ een verscheidenheid aan genderidentiteiten en \xad-uitdrukkingen beschrijven, bijvoorbeeld crossdressing. Sommige mensen geven de voorkeur aan de term ‘transgender’. Het gaat dan met name om mensen die van plan zijn om hun lichaam te veranderen in overeenstemming met hun genderidentiteit, of dit al gedaan hebben.']"
inuk,"['etnische groep', ""eskimo's"", 'Inuit', 'volk']",[],[],"[""De term ‘Aboriginal' komt van de Latijnse woorden ab en origine, die samen ‘van het begin’ betekenen. ‘Aboriginal' komt vaak voor, onder andere in collectiedatabases van musea, om de oorspronkelijke bewoners van een plek te omschrijven. De term wordt vooral gebruikt om te verwijzen naar inheemse volken in Australië en Canada (zie: Inheems). In Canada heeft men echter recentelijk de voorkeur gegeven aan de term Inheems. ‘Aboriginal’ houdt onvoldoende rekening met de complexiteit en diversiteit van inheemse volken. Veel inheemse volken in beide landen willen geen ‘Aboriginal’ genoemd worden en geven de voorkeur aan andere termen die hun identiteit kenmerken, zoals taal, land en clan relaties. In Canada begon men de term toe te passen in de jaren 1980, toen men een juridische en overkoepelende term zocht om de bestaande – maar controversiële – categorieën ‘indiaan’, ‘Inuit’ en ‘Métis’ te beschrijven (zie: Indiaan en Eskimo).""]"
