N,term NL,term EN,page NL,page EN,explanation NL,explanation EN,preferred alternative NL,preferred alternative EN,links to,links to 2,links to 3,links to 4,links to 5,links to 6,links to 7,links to 8,links to 9,links to 10
31,Kaukasisch,Caucasian,124.0,124.0,"De term ‘Kaukasisch’ verwees oorspronkelijk naar de volken uit de Kaukasus, maar werd later in gebruik genomen als een raciale
benaming voor witte Europeanen. Dit gebeurde onder invloed van het antropologische werk van J.F. Blumenbach (1752­1840).
In de 20ste eeuw gebruikten leden van de nazipartij de term om hun superioriteit te verklaren.
In Nederland zien we de term vooral in museumdatabases maar in andere landen – zoals de VS – komt het vaak voor in het dagelijks taalgebruik. De term krijgt steeds meer kritiek vanwege de raciale oorsprong.","The term “Caucasian” originally referred to the people of the Caucasus.
In the 19th century, the term was taken up as a racial designation for White Europeans, informed by the anthropological work of J.F. Blumenbach (1752-1840).
In the 20th century “Caucasian” was used within the Nazi ideology of racial hierarchies.
Within the Netherlands, the term mainly appears in museum databases, and is not often used in common language. In other places— such as the US –the term is more commonly used in daily language. There is growing criticism of the term, however, because of its racialized origins.","•	Als men verwijst naar mensen in de Kaukasus­regio is ‘Kaukasisch’ de correcte term.
•	De term kan gebruikt worden in een beschrijvende of historische context. Gebruik in dat geval aanhalingstekens.
•	Hoewel er discussie over de term ‘Wit’ bestaat, is dat nog steeds de meest geschikte term om te gebruiken.","•	When referring to people from the Caucasus region, “Caucasian” is correct.
•	When used within the context of the history of racial categories we suggest the use of quotation marks.
•	White (see also White in this table)",7,48.0,55.0,,,,,,,
32,Koelie,Coolie,125.0,100.0,"De term ‘koelie’ is waarschijnlijk afgeleid van het Hindi­woord ‘quli’, dat ‘dagwerker’ betekent. In het Nederlands verwijst het specifiek naar ongeschoolde contractarbeiders uit Azië, die in de jaren 1850 veldarbeid verrichtten in de koloniën Nederlands­Indië (Indonesië) en
later in West­Indië (Suriname). De term is buiten Nederland ook gebruikt om contractarbeiders in de Britse koloniën in het Caribisch gebied te beschrijven, voornamelijk die uit India.
Vanaf het midden van de 20ste eeuw zijn wetenschappers, activisten en diverse belangengemeenschappen het erover eens dat het een beledigende term is. Desondanks wordt het nog steeds gebruikt als een scheldwoord voor mensen van Aziatische afkomst.","The term “Coolie” is thought to be derived from the Hindi word “quli,” meaning “day worker.” In Dutch it specifically refers to untrained contract/indentured laborers from Asia, who in the 1850s worked in the Dutch colonies of the Dutch East Indies (Indonesia) and later in the West Indies (Suriname). The term has also been used to describe contract laborers, especially from India, working in the British colonized regions of the Caribbean.
There has been broad agreement among scholars, activists and diverse communities of interest from the mid-20th century onwards that the term is offensive. It is still used as a term of abuse for people of Asian descent.","•	Dit is een denigrerende term, maar kan wel gebruikt worden in een beschrijvende of historische context. Gebruik in dat geval aanhalingstekens.","•	This term is derogatory, but can be used in a descriptive or historical context, in which case we suggest the use of quotation marks.
For example: “Coolies” is a term that was used to describe people who labored in European colonized regions, for example on plantations.",,,,,,,,,,
33,Koppensneller,Headhunter,126.0,111.0,"Historisch gezien werd de term gebruikt om iemand te omschrijven die deelneemt aan de rituele praktijk van het verkrijgen van trofee­hoofden, bijvoorbeeld in tijden van oorlog. Dit ritueel werd op veel plaatsen en door vele volken over de hele wereld (inclusief Europeanen) uitgevoerd. In Nederland werd de term voor het eerst gebruikt in de 19de eeuw.
Koppensnellen is al lang aanwezig in de populaire cultuur, bijvoorbeeld in boeken en films. Vaak om hiermee de indruk te wekken van primitieve, wilde, wrede en bloed­dorstige volken uit de jungle. Dit geeft echter een verkeerde voorstelling van de significante rituele rol  die  koppensnellen had voor het goed functioneren van de samenlevingen die deze praktijken uitvoerden.
Het gebruik van termen als deze versterkt het idee dat bepaalde mensen in wezen onveranderlijk en ‘primitief’ zijn.","The term “headhunter” has two distinct meanings. The term has come to describe a professional recruiter who finds candidates for specific jobs. In this context it is not regarded as sensitive.
Historically the term has been used to describe someone who participated in the ritual practice of taking trophy heads, for example during times of war. This practice was done in many places and by many peoples across the world including Europeans. In the Netherlands, the term was first used in the 19th century.
Headhunting has long been represented in popular books and films, often to give the impression of primitive, wild, cruel and bloodthirsty tribal peoples of the jungle. This portrayal misrepresents the significant ritual role it had for the proper functioning of those societies that practiced it.
The use of such terms and ideas reinforces the idea that certain peoples are essentially unchanging and “primitive”.","•	Wanneer verwezen wordt naar de manier waarop de term historisch is gebruikt, zijn aanhalingstekens aan te raden.
•	Het is beter om de term te vermijden bij het beschrijven van diverse rituele praktijken. Kies er liever voor om deze praktijken uit te leggen, met gebruik van hun inheemse naam, evenals hun rituele waarde","•	In the first context the term is acceptable.
•	When referring to how the term has been used historically we suggest the use of quotation marks.
•	When describing diverse ritual practices it is better to avoid using the term. Choose rather to explain the specific practices, using their Indigenous names, and ritual importance/value.",21,22.0,45.0,,,,,,,
34,Marron,Maroon,127.0,122.0,"De term ‘Marron’ wordt gebruikt om te verwijzen naar (de nakomelingen van) Afrikanen in Amerika, die aan slavernij ontsnapten en in gebieden gingen wonen die moeilijk bereikbaar waren, zoals het regenwoud.
De term komt van het 16e­eeuwse Spaanse woord ‘cimarrón’, dat weggelopen vee betekent. Het wordt om die reden als beledigend ervaren.
Tegelijkertijd viert de term het voortdurende verzet tegen kolonialisme en slavernij, en wordt daarom gezien als empowering. Deze verschillende opvattingen maken het gebruik van het woord complex.
In Suriname en Nederland bieden sommigen weerstand tegen de term, terwijl die elders, bijvoorbeeld in Jamaica, meer geaccepteerd wordt.","The term “Maroon” is used to refer to Africans (and their descendants) who escaped from slavery in the Americas, and settled in the inaccessible, interior/mountainous regions.
The term itself derives from the 16th-century Spanish word “cimarrón,” meaning runaway cattle and is, thus, regarded by some as derogatory. Simultaneously, however, the term is used as one of empowerment as the Maroons have been celebrated as a symbol for the continuous resistance to colonialism. These differing views add some complexity to the use of the term.
While in Suriname the term is accepted by some and not by others, in Jamaica, for example, there is more unanimity about the positive use of the term.","•	Over het algemeen is de term gepast, maar in de context van Suriname is het beter om de specifieke namen van de verschillende groepen Marrons te gebruiken: Saamaka, Matawai, Aluku, Kwinti, Paamaka.","•	Generally acceptable to use the term.
•	In the context of Suriname, however, it is better to use the specific names for each Maroon group: such as Saamaka, Matawai, Aluku, Kwinti, Paamaka.",9,41.0,50.0,,,,,,,
35,Medicijnman,Medicine Man,128.0,123.0,"Deze term wordt gebruikt voor de traditionele of spirituele healers onder inheemse volken over de hele wereld. Deze personen zijn deskundig op het gebied van natuurlijke middelen en hun helende krachten. Traditionele healers zijn zeer gerespecteerde leden in hun gemeenschap. Zij worden geraadpleegd wanneer individuen fysiek of mentaal ziek zijn, maar ook om sociale, culturele of milieukwesties binnen de gemeenschap te genezen.
De medicijnman is vertegenwoordigd in talloze films, romans en andere populaire media, vaak op een sensationele en erotiserende manier. Dergelijke voorstellingen ontkennen de complexiteit van de kennis die geassocieerd wordt met healing, net als de belangrijke rol die traditionele healers spelen in veel samenlevingen. In de afgelopen decennia zijn velen de term als pejoratief gaan beschouwen.","The term “Medicine Man” is used to describe traditional or spiritual healers among some indigenous peoples in different parts of the world. Skilled in the healing powers of natural/herbal remedies, these persons are highly respected members of their communities. Traditional healers are consulted to heal both physical and mental illnesses of individuals and the social, cultural or environmental issues within a community.
The figure of the medicine man has been represented in numerous films, novels and other popular media often in sensational and eroticizing terms. Such representations have denied the complexity of the knowledge associated with healing, as well as the important role traditional healers played in many societies. Within the last few decades the term has been regarded by many as pejorative.","•	Traditionele of spirituele healer
•	Indien bekend, gebruik de term die door de groep waartoe de healer
behoort als respectvol wordt ervaren.","•	Traditional or spiritual healer
•	Where known use the term that the group to which the traditional healer belongs regard as acceptable and respectful.",,,,,,,,,,
36,Mohammedaan,Mohammedan,129.0,124.0,"‘Mohammedaan’ werd in het verleden vaak gebruikt. Oorspronkelijk refereerde het aan de aanbidding van de profeet Mohammed. Veel moslims verzetten zich om deze reden tegen het gebruik van de term, omdat de islam de aanbidding van God alleen onderwijst.
‘Mohammedaan’ is voornamelijk te vinden in museumdatabases en niet meer in de dagelijkse taal. De termen ‘moslim’ en ‘islamitisch’ komen tegenwoordig vaker voor.","Mohammedan was a commonly used term in the past. Originally, it referenced to someone who worships of the Prophet Muhammad. Many Muslims, for this reason, object to its use because Islam teaches the worship of God alone.
The terms “Muslim” and “Islamic” are more common today. This term can most commonly be found in museum databases and not in daily language.",Moslim,Muslim,28,,,,,,,,,
37,Mongool,Mongoloid,130.0,125.0,"‘Mongool’ is een ouderwetse en aanstootgevende term die wordt gebruikt als verwijzing naar een zogenaamd raciaal type enerzijds en mensen met de genetische conditie Downsyndroom anderzijds.
De term in zijn raciale definitie kwam voort uit de 18de en 19de­eeuwse studies naar raciale verschillen. Het Mongoloïde of Mongoolse ras werd als overkoepelende term gebruikt voor verschillende inheemse volken in Oost­Azië, Zuidoost­Azië en de Arctische regio’s in Noord­Amerika. De term is ouderwets en wordt in sommige situaties beschouwd als beledigend, zoals dat ook het geval is met de andere zogenaamde rassencategorieën ‘Kaukasisch’ en ‘neger’ (zie: Kaukasisch en Neger).
De term wordt ook gebruikt voor mensen met het Downsyndroom, omdat hun gelaatstrekken een gelijkenis zouden vertonen met die van mensen van het zogenaamde Mongoolse ras.
Vandaag de dag wordt de term als scheldwoord gebruikt voor mensen die ten onrechte worden beschouwd als achterlijk.","“Mongoloid” is an outdated and offensive term used to describe both a so-called racial type and a person with the genetic condition Down Syndrome.
As racial type, the terms emerged from 18th and 19th century studies of racial difference. The Mongoloid or Mongolian race was the umbrella term used to describe diverse indigenous peoples from East Asia,
South East Asia, and the Artic region of North America. Like the other two presumed large racial groups, Caucasoid (Caucasian) and Negroid (Negro), this term is outdated and in general regarded as derogatory.
The term is also used to describe people with the genetic condition Down Syndrome, due to the presumed similarity in facial features to the so-called Mongolian race.
In modern day usage the term is used as a curse word to describe someone regarded as retarded.","•	Wat de eerste definitie betreft; gebruik liever specifieke nationale of culturele termen om mensen te omschrijven.
•	Wat de tweede definitie betreft; de term is denigrerend. Gebruik ‘iemand met het Downsyndroom’.
•	Het gebruik van ‘Mongool’ of ‘achterlijk’ voor mensen met een beperking is beledigend.","•	In relation to the first definition, use specific national or cultural terms when describing persons.
•	In relation to the second definition, the term is derogatory. Use “someone with Down Syndrome.”
•	The use of “mongoloid” or “retarded” to describe someone with a disability is offensive.",31,41.0,,,,,,,,
38,Moor,Moor,131.0,126.0,"‘Moor’ is een controversiële term waarvan de betekenis in de loop van de tijd is veranderd. Hoewel de term is gebruikt voor verschillende groepen mensen wordt het over het algemeen begrepen als een beschrijving van Moslims van Arabische en Amazigh­afkomst uit Noord­Afrika en Zuid­ Europa.
Tegelijkertijd wordt gezegd dat de term is afgeleid van een Griekse term, die zwart of verkoold betekent en die sinds de oudheid in Europa wordt gebruikt om Zwarte mensen uit Afrika te beschrijven.
In Nederland, evenals elders, wordt de term gebruikt als een denigrerende term voor moslims uit Noord­Afrika of voor Zwarte mensen.","This is a controversial term. Its meaning has changed over time. While the term has been used to describe different groups of people it is commonly understood to describe Muslim people of Arab and Amazigh descent from North Africa and Southern Europe.
At the same time, the term is said to be derived from a Greek term meaning “black, blackened or charred” and has been used in Europe since antiquity to describe Black people from Africa.
In the Netherlands, as elsewhere, the term is used as a derogatory term for Muslims from North Africa or for a Black person.","•	De term is beledigend en het gebruik wordt daarom afgeraden in de hedendaagse context.
•	Er is geen acceptabel alternatief voor deze term.
•	Kan wel worden gebruikt in een historische of beschrijvende context. Gebruik in dit geval aanhalingstekens.","•	This term is derogatory and is therefore not recommended for use in contemporary context.
•	There is no acceptable alternative for this term.
•	Can be used in historical or descriptive sense. In this case we suggest using quotation marks.",16,41.0,57.0,,,,,,,
39,Mulat,Mulatto,132.0,127.0,"Sinds de 17de eeuw verwijst ‘mulat’ naar de eerste generatie nakomelingen van een niet­witte persoon en een witte persoon. De term is afgeleid van het Latijnse woord ‘mulus’ (muilezel), dat het hybride nageslacht van een paard en een ezel is.
Net als de raciale wetenschappen waaruit de term voortkwam, suggereert ‘mulat' een fundamenteel verschil tussen twee menselijke soorten. Dit resulteert, net als bij de muilezel, in een abnormaal nageslacht waarvan verondersteld wordt dat het onvruchtbaar is. Er werd gedacht dat mulatten de ‘verschrikkingen’ van vermenging vertegen­ woordigden (zie: Halfbloed), maar vanwege hun zogenaamd witte bloed vond men dat ze intelligenter waren ­ en vaak aantrekkelijker ­ dan Zwarte mensen.
Tegenwoordig komen dergelijke ideeën nog steeds op subtiele manier terug in het dagelijks taalgebruik.","Since the 17th century, “mulatto” refers to first-generation offspring of  a non-White person and a White person. The term derives from the Latin word “mulus” (mule), the hybrid offspring of a horse and a donkey.
Like the racial sciences from which the term emerged, it suggests an incommensurability between two so-regarded different species
of mankind. Like the mule, then, this results in an abnormal offspring, presumed infertile. Mulattos were deemed to represent the “horrors” of miscegenation (see also “Half-blood”), but because of their so-called White blood they were believed to be more intelligent—and often more attractive—than Black people.
Today such ideas still remain in subtle ways in daily speech.","•	De term kan gebruikt worden in een historische of beschrijvende context. Gebruik in dit geval aanhalingstekens.
•	Zie suggesties bij Halfbloed.","•	The term “mulatto” can be used in a descriptive or historical context, in which case we suggest the use of quotation marks.
•	See suggestions for half-blood.",17,25.0,,,,,,,,
40,,Native,,128.0,,"The term “native” derives from the Latin word natus, and has been used to describe people born to a particular place.
While it was commonly used historically, the term has been criticized for not only reinforcing colonial hierarchies—natives were regarded as inferior to the civilized colonizer—but also (contradictorily) for implying an exclusionary racial and ethnic right to a place by a specific group.
The term is currently used by some, for example, Native Americans, in their political claims for sovereignty. Within Europe this concept is increasingly used in xenophobic politics.
Within the Netherlands, “native” is most commonly used to describe Indigenous Indonesians.",,Should be used with caution,1,2.0,3.0,12.0,23.0,26.0,27.0,,,
41,Neger,Negro,133.0,129.0,"‘Neger’ komt van het Latijnse woord ‘niger’, dat zwart betekent. In het Nederlands werd de term vanaf de 17de eeuw gebruikt om te verwijzen naar Zwarte mensen in en uit (sub­Sahara) Afrika. Niet veel later werd het een verwijzing naar tot slaaf gemaakte mensen, en werd het geassocieerd met de raciale wetenschappen van de 18de en 19de eeuw (zie: Kaukasisch en Ras).
In de 20ste eeuw werd ‘neger’ gebruikt in een raciale typologie waarmee stereotiepe opvattingen gecreëerd werden over Zwarte mensen. Tegelijkertijd functioneerde het juist als onderdeel van de opkomende anti­koloniale strijd en het toenemende Zwarte bewustzijn.
Vandaag de dag wordt de term door zowel Zwarte en andere activisten, academici en anderen als zeer denigrerend beschouwd.","This term derives from the Latin word “niger,” meaning black. In the Netherlands, the term has been used since the 17th century to refer to Black people in and from (sub-Saharan) Africa. Not much later, it came into use to describe enslaved people, and became associated with the racial sciences of the 18th and 19th centuries (see also “Caucasian” and “Race”).
In the 20th century, “Negro” was used in a racial typology that supported stereotypes about Black people, but functioned simultaneously, even contradictorily, as part of emergent anti-colonial struggles and increasing Black consciousness.
Nowadays, the word is widely regarded as derogatory including by Black and other activists, academics among others.","•	Het gebruik van deze term wordt afgeraden in de hedendaagse context.
•	De term kan gebruikt worden in een historische of beschrijvende context. Gebruik in dit geval aanhalingstekens.","•	Black 
•	This term is not recommended for use in contemporary context.
•	The term can be used in a descriptive or historical context, in which case we suggest the use of quotation marks.",9,16.0,30.0,34.0,48.0,57.0,,,,
42,Ontdekken,Discover,134.0,103.0,"De term ‘ontdekken’ kan op een neutrale manier worden gebruikt, bijvoorbeeld in een zin zoals: ik heb ontdekt (ben erachter gekomen) hoe dit werkt.
Wanneer het echter gebruikt wordt om te suggereren dat een plaats niet bestond, niet bekend was bij Europeanen of niet bewoond werd voorafgaand aan de aanwezigheid van Europeanen, is het echter allesbehalve neutraal. Bijvoorbeeld: “Bijna 40 jaar na de ontdekking van
‘Amerika’ in 1492 door Columbus, gaf dit kunstwerk een van de vroegste afbeeldingen weer van het nieuwe continent.”
Een tekst als deze is pejoratief, omdat het impliceert dat er voorafgaand aan Columbus’ ‘ontdekking’ geen kunst, mensen noch samenlevingen bestonden op het continent.","“Discover” can be used in a neutral manner, for example when used in the context of to find out something, or to uncover how something works.
However, when used to suggest that a place did not exist, was not known by Europeans or was not inhabited prior to European encounter it is far from neutral. For example: “painted almost 40 years after the discovery of ‘America’ by Columbus in 1492, this work of art was one of the earliest attempts by an artist to give an impression of the new continent.”
Such a text essentially omits the fact that the continent was populated with thriving societies, and thus is pejorative, as it implies neither art nor people existed prior to Columbus’s “discovery.”",•	Een zinsconstructie als “was de eerste Europeaan die …” is gepaster.,•	Phrases like “was the first European to reach…” would be more appropriate.,,,,,,,,,,
43,Oriëntaals,Oriental,135.0,130.0,"De term ‘Oriëntaals’ komt van het Latijnse woord ‘Oriënt’, het oosten. Oorspronkelijk werd het in Europa gebruikt om mensen of dingen uit Azië mee aan te duiden.
De term kreeg steeds meer kritiek te verduren na de publicatie  van Edward Saids baanbrekende werk “Oriëntalisme” in 1978. Dit werk bekritiseerde Euro­Amerikaanse representaties van het (Midden­)Oosten.
De term wordt betwist vanwege de eurocentrische visie op Azië. Het draagt ook bij aan het romantiserende en stereotyperende beeld van Aziatische mensen als mysterieus, exotisch en buitenlands. De term wordt nog steeds veel gebruikt.","This term derives from the Latin word “Oriënt”, meaning east. Historically, the term came to be used in Europe to describe people or things from Asia.
“Oriental” gained widespread critique after the 1978 publication of Edward Said’s seminal work Orientalism, which critiqued Euro-American patronizing representations of the (Middle) East.
While the term is contested for being geographically Eurocentric, and especially for its romanticizing and stereotypical image of Asian people as mysterious, “exotic” and foreign, it is still widely used.","•	Aziatisch
•	Het is echter beter om de specifieke termen te gebruiken van de landen, talen en culturen van het Aziatische continent en het Midden­Oosten.","•	“Asian”
•	The use of more specific terms for the countries, languages and cultures from Asia and the Middle East is suggested.",14,54.0,,,,,,,,
44,Politionele actie,Politionele actie,136.0,131.0,"Met ‘politionele acties’ worden de grootschalige militaire operaties van het Nederlandse leger tussen 1945­1949 bedoeld, die erop gericht waren om Indonesische Onafhankelijkheid te voorkomen.
De toenmalige Nederlandse regering wilde oorlogsterminologie vermijden, omdat zij de operaties zagen als een legitieme onderdrukking van een opstand. Zij gebruikten de term ‘politionele actie’.
‘Politionele actie’ wordt om die reden als een misleidend begrip gezien door velen, waaronder de nazaten van de slachtoffers. Het wordt beschouwd als een eufemistische term, die de structurele inmenging van het leger en de gewelddadigheden verdoezelt en die de slachtoffers reduceert tot rebellen.","This phrase refers to the large-scale military operations carried out by the Dutch army between 1945 and 1949, to prevent Indonesian Independence.
The Dutch government at the time refused to speak in terms of war, as for them this was a legitimate suppression of a rebellion. They in turn employed the term “Politionele acties.”
“Politionele actie” is now considered misleading by many, including the descendants of victims, as its use of euphemistic vocabulary obscures the physical and structural violence that was perpetrated and reduces the victims of this violence to rebels.","•	Er is geen consensus over alternatieve terminologie. In Indonesië worden ‘Agresi Militer Belanda I & II’ gebruikt.
•	In Nederland heeft men onder andere ‘Eerste en Tweede Nederlands­ Indonesische oorlogen’ gesuggereerd.","•	There is no consensus on alternative terms. “Agresi Militer Belanda I & II” are used in Indonesia.
•	In the Netherlands “First and Second Dutch-Indonesian Wars” has been suggested.",,,,,,,,,,
45,Primitief,Primitieve,137.0,132.0,"‘Primitief’ komt van het Latijnse woord primitivus, dat eerstgeboren of eerste in zijn soort betekent. In Europa werd het een synoniem voor de raciale en temporale ‘ander’ en werd de term toegepast op culturen die beschouwd werden als simpel, onbeschaafd en niet van deze tijd en ‘Europese’ kwaliteiten zoals ‘vooruitgang’ en ‘rationaliteit’ misten. Zo wordt de term nog steeds vaak gebruikt.
‘Primitivisme’ is een stroming in de beeldende kunst. Deze beweging waardeerde culturen en plekken die zij associeerden met de natuurlijke kwaliteit of romantiek van een eenvoudiger manier van leven. Dit in tegenstelling tot het geavanceerdere, geïndustrialiseerde Europa, zo dacht men.
Zowel de term ‘primitief’ als ‘Primitivisme' zijn bekritiseerd door verschillende groepen, waaronder wetenschappers.","Primitive derives from the Latin word primitivus, meaning the first-born or first of its kind. In European thought, it became synonymous with the racialized and temporal “Other” and was applied to cultures that were imagined as existing in a distant past that lacked qualities that were seen as European, specifically progress and rationality.
The term is before still used today to denote someone or something as simple and uncivilized.
“Primitivism” is a movement in art that connotes the beauty, natural qualities, or romance of a simpler way of life, in contrast to a more advanced, industrialized Europe.
Both the term “primitive”, like the artistic movement, have received significant criticism from diverse quarters including academics.","•	De term kan gebruikt worden in een historische of beschrijvende context. Gebruik in dit geval aanhalingstekens.
Bijvoorbeeld: “Er was een kunstbeweging die ‘primitivisme’ heette""","•	The term is not recommended for use.
•	The term can be used in a descriptive or historical context, in which case we suggest the use of quotation marks.
For example: There was an artistic movement called ‘primitivism’",4,21.0,22.0,33.0,51.0,,,,,
46,Pygmee,Pygmy,138.0,133.0,"‘Pygmee’ wordt in de antropologie gebruikt voor verschillende (etnische) groepen uit met name (Equatoriaal) Afrika en Azië (o.a. Nieuw­Guinea), waarvan de volwassen mannen beschouwd worden als ongewoon klein. Deze verwijzing naar uiterlijke kenmerken, maar ook het feit dat de term gebruikt wordt als kritiek op iemands intellectuele capaciteiten, maakt dat sommigen de term als een belediging zien. Tegelijkertijd hebben sommige inheemse volken de term juist opnieuw opgeëist als neutraal en niet­problematisch. Dit is bijvoorbeeld het geval in de Democratische Republiek Congo.","“Pygmy” is a term used in anthropology to describe diverse peoples, especially from (Equatorial) Africa and Asia (i.e. New Guinea), the adult males of whom are regarded as of unusually short stature. Beyond the term’s use to refer to the physical features of these diverse ethnic groups (and which in part makes it derogatory for some) the term is also used negatively as an insult to critique someone’s intellectual capacities.
Some indigenous peoples, for example in the Democratic Republic of the Congo, have reclaimed the term as neutral and therefore non- problematic.","•	‘Pygmee’ is beledigend, en kan beter vermeden worden.
•	Wanneer je naar een individu of groep mensen verwijst, is het beter om de specifieke etnische of culturele termen te gebruiken die de mensen zelf gebruiken en respectvol vinden.","•	“Pygmy” is derogatory and should therefore be avoided.
•	When referring to an individual or group of people it is better to use the specific ethnic or cultural terms that the people find acceptable and respectful.",11,,,,,,,,,
47,Queer,Queer,139.0,134.0,"Vooral sinds de jaren 1980 heeft ‘queer’ gediend als een overkoepelende term voor seksuele interesses en identiteiten die de sociale normen voor seksueel gedrag uitdagen.
De term is niet alleen een afkorting voor ‘LGBT’, maar ook het volledige scala aan menselijke seksualiteit, bijvoorbeeld mensen met seksuele fetisjen of diegenen die polyamorie beoefenen.
‘Queer’ is teruggeclaimd als een politieke en seksuele identiteit waar men trots op kan zijn, waarbij men bewust afstand neemt van eerdere etymologische betekenissen als vreemd, dwars of nieuwsgierig.
De term wordt echter nog steeds gebruikt als een negatieve benaming voor mensen die worden beschouwd als ‘seksueel afwijkend’.","Particularly since the 1980s, “queer” has served as an umbrella term for sexual interests and identities that challenge social norms for sexual behavior.
The term is not only shorthand for “LGBT” but also the full range of human sexuality, for example people with sexual fetishes or who practice polyamory.
“Queer” has been reclaimed as a proud political and sexual identity from earlier etymological usages that meant strange, aslant or curious.
The term, however, is still used as a slur against people perceived to be sexually deviant",•LGBT                                                                                                                               -Gebruik terminologie die de gemeenschap zelf gebruikt en respectvol vindt.,"•	LGBT
- Use terminology and pronouns that are regarded as respectful by the community themselves",15,20.0,53.0,,,,,,,
48,Ras,Race,140.0,135.0,"‘Ras’ is een veelbesproken term die verwijst naar de indeling van mensen op basis van fysieke kenmerken, zoals huidskleur.
In raciaal denken wordt de kleur van iemands huid beschouwd als een teken van onvergelijkbare verschillen tussen groepen, met een hiërarchie in aanleg, vaardigheden, zelfs gedrag en ontwikkeling.
Volgens 18de­ en 19de­eeuwse raciale wetenschappers was het mogelijk om mensen in verschillende groepen te verdelen en in een hiërarchie te plaatsen. Deze typologieën versterkten koloniale ideologieën over verschil, met de witte Europeaan aan de top in een raciale hiërarchie (zie: Kaukasisch en Neger).
Hoewel ras geen biologisch feit is, heeft het sociale gevolgen, zoals discriminatie, vooroordelen en ongelijkheid. Racisme moet daarom worden begrepen als een vorm van discriminatie en vooroordelen, dat gebaseerd wordt op de veronderstelde superioriteit van de ene groep boven de andere.","“Race” is a debated term that refers to the categorization of humans based on physical features, including skin color. In racial thinking the color of one’s skin is regarded as a sign of incommensurable difference between groups, including a hierarchy in aptitude, abilities, even behavior and development.
According to 18th- and 19th-century racial sciences, humans were divided into different groups, arranged hierarchically. These typologies reinforced colonial ideologies of difference, with the White European at the top of a racial hierarchy (see also “Caucasian” and “Negro”).
While race is not a biological fact, it has social consequences, for example in discrimination, prejudice and inequality. Racism, therefore, should be understood as a form of prejudice and discrimination based on the presumed superiority of one group over another.","•	Er is geen alternatief voor deze term. Door sommigen wordt de term tussen aanhalingstekens geplaatst om zo de controverse te erkennen.
•	Racisme kan als term gebruikt worden, omdat het een erkenning is van discriminerende praktijken die gebaseerd zijn op raciaal denken","•	There is no easy alternative for this term. The term is used by some in quotation marks to acknowledge the controversy surrounding the term.
•	Racism is a valid term to use, as it acknowledges the discriminatory practices of racial thinking.",7,13.0,16.0,17.0,25.0,27.0,31.0,41.0,55.0,57.0
49,Roots,Roots,141.0,136.0,"‘Roots’ in de dagelijkse taal is een populaire term geworden om de eigen identiteit te definiëren. De term wordt gebruikt om te verwijzen naar de plaats waar men oorspronkelijk vandaan komt, letterlijk of figuurlijk.
‘Roots’ is vaak gekoppeld aan gevoelens van verlies die verbonden zijn aan (vrijwillige of onvrijwillige) migratie,  en  wordt  vooral  geassocieerd met diasporagemeenschappen.
In de afgelopen jaren is de term bekritiseerd vanwege de manier waarop het – vaak op een nostalgische manier ­ verwijst naar een stabiele en vaste identiteit waarnaar mensen zouden kunnen terugkeren.
Iemand vragen naar zijn wortels kan voor sommige mensen problematisch zijn, omdat het veronderstelt dat zij er niet bij horen of dat hun wortels als enige factor bepalend zijn voor wie ze zijn. Dit wordt nog verergerd door het feit dat de vraag meestal wordt gesteld aan niet­witte mensen.","“Roots” has become popular in daily language, as a way of describing one’s identity. The term is used to refer to the place from where one originally comes, whether literally or figuratively.
“Roots” is often tied to feelings of displacement or loss (to search for one’s roots), especially associated with diasporic communities.
In recent years, the term has come under criticism because of the way it references, often in nostalgic ways, a stable and fixed identity to which people could return.
To ask someone about their roots may be problematic for some, as it presupposes that they do not belong or that their roots are the sole or predominant defining factor for their identity. This is further compounded by the fact that the question is mostly asked of non-White people.","•	Over het algemeen wordt de term niet als ongepast beschouwd wanneer mensen het als omschrijving van zichzelf gebruiken. Wanneer de vraag echter gesteld wordt, kunnen sommigen het wel ervaren als respectloos.
•	Recent hebben wetenschappers het concept van routes gesuggereerd als een betere manier om over de culturele en sociale biografiën van mensen te spreken.","•	Generally, it is not considered problematic if people choose to speak of roots when referring to themselves. Some people, however, experience it as an intrusion or disrespectful to be asked this question by others.
•	Recent scholarship has suggested that it might be more useful to refer to routes (as in the cultural and social bopgraphy of people) than to roots.",2,3.0,,,,,,,,
