lemma,lang,resource,entity_id,link,implicit_value,implicit_property,explicit_value,explicit_property,notes
berber,nl,aat,300016593,http://vocab.getty.edu/aat/300016593,None,None,None,None,
indian,en,aat,300017437,http://vocab.getty.edu/aat/300017437,"Whenever possible, use the specific tribal name; many groups now prefer [alternative]; use [alternative]",skos:scopeNote,http://vocab.getty.edu/term/kind/AvoidUse; http://vocab.getty.edu/historic/historic,gvp:termKind; gvp:historicFlag,"alternatives are given: ""American Indian"" or ""Indigenous American.""; For the indigenous peoples of Canada use the term ""First Nations.""; the scopeNote has changed: the explanations of ehy the term was senitive and suggestions are changed; on 11.08.2023:  Whenever possible, use the specific tribal name. The collective term ""Native American"" is currently widely used in the United States for indigenous peoples. However, many groups increasingly prefer ""American Indian"" or ""Indigenous American."" For the indigenous peoples of Canada use the term ""Indigenous peoples."" which refers to the First Nations, Inuit and Métis. For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies, use ""Indigenous people (culture).""@en ; explicit markers: http://vocab.getty.edu/term/kind/AvoidUse is not defined; only one label is flagged, but there are other labels with the term ""Indian""; for example http://vocab.getty.edu/aat/term/1000267642-en ""Indian, American"" is not flagged;"
native,en,aat,300017437,http://vocab.getty.edu/aat/300017437,"Whenever possible, use the specific tribal name; many groups now prefer [alternative]; use [alternative]",skos:scopeNote,http://vocab.getty.edu/term/kind/AvoidUse; http://vocab.getty.edu/historic/historic,gvp:termKind,"the term is marked in one label, but nor marked in other labels (like Native Americans), it means that the term van be sensitive in conjuction, in a phrase;"
indiaan,nl,aat,300017437,http://vocab.getty.edu/aat/300017437,None,None,None,None,"in Dutch scopeNote, there are only explanations about the terms usage, but no indications of the terms sensitivities, like in the English note;"
eskimo,en,aat,300017447,http://vocab.getty.edu/aat/300017447,"For names of specific native peoples of the present, use descriptors such as",skos:scopeNote,None,None,specific terms are suggested; very subtle indicator
eskimo,nl,aat,300017447,http://vocab.getty.edu/aat/300017447,"Gebruik termen zoals 'Chugach', 'Inuit' of 'Katlâdlit' voor namen van specifieke, hedendaagse inheemse volkeren.""",skos:scopeNote,None,None,specific terms are suggested
inuit,en,aat,300017455,http://vocab.getty.edu/aat/300017455,None,None,None,None,
inuk,nl,aat,300017455,http://vocab.getty.edu/aat/300017455,None,None,None,None,
negro,en,aat,300018125,http://vocab.getty.edu/aat/300018125,None,None,None,None,
oriental,en,aat,300018279,http://vocab.getty.edu/aat/300018279,None,None,None,None,
moor,nl,aat,300021016,http://vocab.getty.edu/aat/300021016,None,None,None,None,
aboriginal,nl,aat,300021862,http://vocab.getty.edu/aat/300021862,None,None,None,None,
immigrant,en,aat,300025844,http://vocab.getty.edu/aat/300025844,None,None,None,None,
servant,en,aat,300025874,http://vocab.getty.edu/aat/300025874,Generally in historical usage,skos:scopeNote,None,None,historical indication
bediende,nl,aat,300025874,http://vocab.getty.edu/aat/300025874,None,None,None,None,
disabled,en,aat,300025921,http://vocab.getty.edu/aat/300025921,None,None,None,None,
gehandicapte,nl,aat,300025921,http://vocab.getty.edu/aat/300025921,None,None,None,None,
retarded,en,aat,300025925,http://vocab.getty.edu/aat/300025925,term is considered offensive,xl:altLabel / rdfs:comment,None,None,
achterlijk,nl,aat,300025925,http://vocab.getty.edu/aat/300025925,None,None,None,None,
tribe,en,aat,300049946,http://vocab.getty.edu/aat/300049946,None,None,None,None,
stam,nl,aat,300049946,http://vocab.getty.edu/aat/300049946,None,None,None,None,
gay,en,aat,300055188,http://vocab.getty.edu/aat/300055188,None,None,None,None,
queer,en,aat,300055188,http://vocab.getty.edu/aat/300055188,None,None,None,None,
homoseksualiteit,nl,aat,300055188,http://vocab.getty.edu/aat/300055188,None,None,None,None,
primitive,en,aat,300056500,http://vocab.getty.edu/aat/300056500,An outdated designation formerly used for;  Use instead [alternative],skos:scopeNote,http://vocab.getty.edu/term/kind/Pejorative; http://vocab.getty.edu/historic/historic,gvp:termKind; gvp:historicFlag,"alternative terms are given: ""indigenous art,"" ""tribal art"", but not used pref or alt labels; http://vocab.getty.edu/term/kind/Pejorative is not defined (PJ flag in the interface)"
primitivism,en,aat,300056548,http://vocab.getty.edu/aat/300056548,None,None,None,None,
primitivisme,nl,aat,300056548,http://vocab.getty.edu/aat/300056548,None,None,None,None,
mohammedan,en,aat,300073715,http://vocab.getty.edu/aat/300073715,None,None,None,None,
ethnic groups,en,aat,300191997,http://vocab.getty.edu/aat/300191997,None,None,None,None,
etnische groep,nl,aat,300191997,http://vocab.getty.edu/aat/300191997,None,None,None,None,
medicine man,en,aat,300218522,http://vocab.getty.edu/aat/300218522,None,None,None,None,
slave,en,aat,300230899,http://vocab.getty.edu/aat/300230899,None,None,http://vocab.getty.edu/term/kind/Pejorative,gvp:termKind,"plural term is marked, but singular is not"
slaaf,nl,aat,300230899,http://vocab.getty.edu/aat/300230899,None,None,None,None,
dwarf,en,aat,300236748,http://vocab.getty.edu/aat/300236748,None,None,None,None,
dwerg,nl,aat,300236748,http://vocab.getty.edu/aat/300236748,None,None,None,None,
caucasian,en,aat,300244536,http://vocab.getty.edu/aat/300244536,None,None,None,None,
kaukasisch,nl,aat,300244536,http://vocab.getty.edu/aat/300244536,None,None,None,None,
ethnicity,en,aat,300250435,http://vocab.getty.edu/aat/300250435,None,None,None,None,
etniciteit,nl,aat,300250435,http://vocab.getty.edu/aat/300250435,None,None,None,None,
race,en,aat,300256475,http://vocab.getty.edu/aat/300256475,None,None,None,None,
ras,nl,aat,300256475,http://vocab.getty.edu/aat/300256475,None,None,None,None,
métis,en,aat,300265512,http://vocab.getty.edu/aat/300265512,None,None,None,None,
métis,nl,aat,300265512,http://vocab.getty.edu/aat/300265512,None,None,None,None,
moor,en,aat,300375152,http://vocab.getty.edu/aat/300375152,None,None,None,None,
aboriginal,en,aat,300379660,http://vocab.getty.edu/aat/300379660,None,None,None,None,
indigenous,en,aat,300379660,http://vocab.getty.edu/aat/300379660,None,None,None,None,
inheems,nl,aat,300379660,http://vocab.getty.edu/aat/300379660,None,None,None,None,
third world,en,aat,300379994,http://vocab.getty.edu/aat/300379994,None,None,None,None,
developing nations,en,aat,300379994,http://vocab.getty.edu/aat/300379994,None,None,None,None,
ontwikkelingsland,nl,aat,300379994,http://vocab.getty.edu/aat/300379994,None,None,None,None,
hermaphrodite,en,aat,300386060,http://vocab.getty.edu/aat/300386060,Historically; but now prefer [alternative],skos:scopeNote,http://vocab.getty.edu/term/kind/Deprecated,gvp:termKind,historical indication; deprecated is not defined; 
hermafrodiet,nl,aat,300386060,http://vocab.getty.edu/aat/300386060,None,None,None,None,
indo,en,aat,300386794,http://vocab.getty.edu/aat/300386794,None,None,http://vocab.getty.edu/historic/historic ,gvp:historicFlag,"the label ""Indo-Germanic"" is marked as historic, others with ""Indo-"" are not marked; "
indo,nl,aat,300386794,http://vocab.getty.edu/aat/300386794,None,None,None,None,
mongool,nl,aat,300387497,http://vocab.getty.edu/aat/300387497,None,None,None,None,
transvestite,en,aat,300400510,http://vocab.getty.edu/aat/300400510,None,None,None,None,
gypsy,en,aat,300404070,http://vocab.getty.edu/aat/300404070,None,None,None,None,
zigeuner,nl,aat,300404070,http://vocab.getty.edu/aat/300404070,None,None,None,None,
indisch,nl,aat,300418042,http://vocab.getty.edu/aat/300418042,None,None,None,None,
homosexual,en,aat,300435115,http://vocab.getty.edu/aat/300435115,None,None,None,None,
black,en,aat,300435249,http://vocab.getty.edu/aat/300435249,None,None,None,None,
traditional,en,aat,300435679,http://vocab.getty.edu/aat/300435679,None,None,None,None,
maroon,en,aat,300443390,http://vocab.getty.edu/aat/300443390,Note that this community of people did not originally refer to themselves as [term]; others may consider it pejorative,skos:scopeNote,None,None,
first world,en,aat,300449024,http://vocab.getty.edu/aat/300449024,"Generally consider this more current and accurate than ""First World.""",skos:scopeNote,None,None,
